Strain,WP_000667982.1,WP_002079019.1,WP_240738570.1,WP_241468520.1,WP_241468521.1,target
012K,56.038782608695655,73.125,11.052568421052632,29.850985074626866,12.352941176470589,0
028K,56.038782608695655,73.125,11.052568421052632,29.850985074626866,14.11764705882353,0
080K,56.038782608695655,73.125,11.052568421052632,29.850985074626866,12.352941176470589,0
138034,100.0,99.375,68.42092105263158,49.25373134328358,32.94117647058823,1
1530d,58.212797101449276,0.0,92.368,61.19379104477611,46.47061176470588,0
158145,100.0,99.375,65.00031578947367,49.25373134328358,48.235058823529414,1
168079,100.0,99.375,68.9475,49.25373134328358,32.94117647058823,1
168148,100.0,99.375,47.368373684210525,49.25373134328358,48.235058823529414,1
178047,100.0,99.375,56.31574736842105,49.25373134328358,48.235058823529414,1
178101,100.0,99.375,78.94701052631578,49.25373134328358,48.235058823529414,1
185K,56.038782608695655,73.125,11.052568421052632,37.31373134328358,15.882352941176471,0
189K,56.038782608695655,73.125,11.052568421052632,37.31373134328358,15.882352941176471,0
198076,58.453654589371986,0.0,76.84171578947368,47.761343283582086,25.882470588235297,0
198085,56.038782608695655,86.249625,10.526294736842107,37.31373134328358,19.411817647058825,0
200010104,58.453654589371986,0.0,38.68422105263158,44.776283582089555,20.588223529411763,0
2002000634,58.453654589371986,0.0,40.26328947368421,38.80598507462687,18.8236,0
2002009669,58.453654589371986,0.0,39.47359736842105,38.80573134328358,31.17660294117647,0
200201191,58.453654589371986,0.0,38.68422105263158,43.28382089552239,20.588223529411763,0
200202130,58.453654589371986,0.0,61.8422,44.77597014925373,24.117635294117648,0
200208340,58.453654589371986,0.0,36.84232631578948,46.26880597014925,19.411829411764707,0
200209405,58.453654589371986,0.0,38.68422105263158,43.28382089552239,20.588223529411763,0
200210329,58.453654589371986,0.0,56.842026315789475,43.28382089552239,22.941282352941176,0
200302438,58.453654589371986,0.0,47.631499999999996,46.26880597014925,19.411829411764707,0
200309516,58.453654589371986,0.0,76.84171578947368,46.26880597014925,24.705811764705878,0
200412424,58.453654589371986,0.0,40.00019736842105,43.28382089552239,20.588223529411763,0
2006006960,90.57971014492753,96.87485625,87.499925,57.462686567164184,40.294082352941174,1
2006006972,58.453654589371986,0.0,66.84231842105262,44.77585074626866,29.70594117647059,0
2006006973,100.0,96.87485625,60.78976184210527,52.238895522388056,55.88235294117647,1
2006006982,58.453654589371986,0.0,48.684084210526315,37.31358208955224,14.705941176470589,0
2007005490,58.453654589371986,0.0,68.6846052631579,49.25368656716417,42.35262352941176,0
200701182,58.453654589371986,0.0,69.21061578947368,37.31358208955224,14.705941176470589,0
200701872,100.0,99.375,71.84207368421053,52.23880597014925,34.1175,1
200801910,38.16426086956522,73.125,11.052643421052633,32.83610447761194,12.941188235294119,0
200804418,58.453654589371986,0.0,35.00017105263158,43.28376119402985,19.99995882352941,0
