Strain,WP_004420971.1,WP_004421009.1,WP_004421032.1,WP_004421044.1,WP_004421149.1,WP_004421318.1,WP_004421329.1,WP_004421346.1,WP_004421360.1,WP_004421390.1,WP_004421440.1,WP_004421446.1,WP_004421471.1,WP_004434437.1,WP_004434460.1,WP_004434462.1,WP_004434466.1,WP_004434477.1,WP_004434481.1,WP_004434561.1,WP_004434567.1,WP_004434629.1,WP_004434663.1,WP_004434686.1,WP_004434732.1,WP_004434738.1,WP_004434740.1,WP_004434756.1,WP_004434771.1,WP_004434773.1,WP_004434810.1,WP_004434874.1,WP_004434935.1,WP_004434939.1,WP_004434977.1,WP_004434989.1,WP_004450657.1,WP_004456870.1,WP_036032236.1,WP_036032239.1,WP_036032297.1,WP_051060727.1,WP_053522407.1,WP_157434982.1,WP_198289705.1,WP_198289710.1,WP_232417455.1,WP_232436020.1,WP_243815746.1,WP_243829358.1,WP_243829359.1,target
1051,96.73166666666668,87.98437209302324,94.306,92.803,73.73184782608695,91.295,93.35845977011495,72.33562471655328,93.28533333333333,64.8268658008658,72.63645771144279,68.041470790378,66.247213836478,23.567562499999998,99.512,79.97161373390557,78.80366666666667,45.691672335600906,71.19824577572966,0.0,49.68566666666666,37.73918103448276,52.30010734463277,61.706846597462516,91.93548387096774,52.80427243589744,14.789451649601821,77.663,53.25305005005006,59.770333333333326,46.694303030303026,71.79038738738738,51.25103703703703,57.1782896039604,97.48833333333333,99.82,90.82333333333334,73.57933806818181,59.07657230769231,0.0,70.62138983050848,32.317243902439024,59.34054212454212,0.0,70.42078498293516,89.385,73.01829420731707,47.70461477045908,35.91469809203142,23.096673704414588,62.71187288135594,0
1315,95.686,61.240211240310074,0.0,95.455,32.8805,91.401,96.935,40.64645238095238,92.086,52.92200974025974,29.850850746268655,90.722,91.509,23.04703125,94.146,72.53242060085836,66.923,76.87105102040816,64.51606451612903,0.0,59.74874056603774,38.50603448275862,62.46951089588377,44.636920415224914,87.63474193548387,78.4852139423077,15.016894197952217,82.69262130177515,62.762642642642646,80.45943103448275,54.132386363636364,71.11491554054054,51.05135135135135,80.44577227722773,97.26,80.93481654676259,63.36038259109313,82.6704715909091,0.0,0.0,0.0,31.707634146341462,59.497466248037675,0.0,61.43338566552901,69.83204469273743,0.0,55.38909580838323,7.407400673400673,14.779009596928981,0.0,1
148231,95.49,92.24805813953488,0.0,95.455,54.89152173913043,91.72,96.935,40.47591836734694,92.086,89.935,29.850850746268655,90.722,91.195,23.04703125,0.0,72.1027296137339,68.718,20.407809523809526,79.03226958525345,0.0,25.786481132075473,38.50603448275862,29.539975786924938,45.674892733564015,0.0,37.26,15.016894197952217,68.195,30.030285285285288,44.827632183908044,16.528772727272727,58.78329054054054,49.84968468468469,12.376202970297028,97.26,0.0,94.332,82.9546619318182,61.231144615384615,0.0,71.18664406779662,31.707634146341462,59.497466248037675,0.0,64.50509215017064,67.598,0.0,22.155443113772456,10.437656565656566,35.892264875239924,27.118677966101696,0
148237,95.686,92.24805813953488,0.0,95.455,54.89152173913043,91.401,96.552,40.47591836734694,92.086,89.935,29.850850746268655,90.722,91.509,23.04703125,93.821,72.53242060085836,66.923,76.87105102040816,78.34095622119814,0.0,94.025,38.2183908045977,62.46951089588377,44.636920415224914,87.63474193548387,78.60550240384616,15.016894197952217,82.69262130177515,95.495,80.45943103448275,91.736,71.11491554054054,51.05135135135135,80.44577227722773,97.26,80.93481654676259,93.927,82.38628125,0.0,0.0,0.0,31.707634146341462,59.654722135007844,0.0,61.43338566552901,69.83204469273743,0.0,76.6462754491018,10.437656565656566,14.779009596928981,0.0,1
148260,95.686,92.24805813953488,0.0,95.455,54.89152173913043,91.401,96.552,35.03391666666666,92.086,89.935,29.850850746268655,90.722,91.509,23.04703125,93.821,72.53242060085836,66.923,76.87105102040816,78.34095622119814,0.0,94.025,38.2183908045977,62.46951089588377,44.636920415224914,87.63474193548387,78.60550240384616,15.016894197952217,82.69262130177515,95.495,80.45943103448275,91.736,71.11491554054054,51.05135135135135,80.44577227722773,97.26,80.93481654676259,93.927,82.38628125,0.0,0.0,0.0,31.707634146341462,59.654722135007844,0.0,61.43338566552901,69.83204469273743,0.0,76.6462754491018,10.437656565656566,14.779009596928981,0.0,1
148274,95.49,92.24805813953488,0.0,95.455,54.89152173913043,91.72,96.935,40.47591836734694,92.086,89.935,29.850850746268655,90.722,91.195,23.04703125,0.0,72.1027296137339,68.718,20.407809523809526,79.03226958525345,0.0,25.786481132075473,38.50603448275862,29.539975786924938,45.674892733564015,0.0,37.26,15.016894197952217,68.195,30.030285285285288,44.827632183908044,16.528772727272727,58.78329054054054,49.84968468468469,12.376202970297028,97.26,0.0,94.332,82.9546619318182,61.231144615384615,0.0,71.18664406779662,31.707634146341462,59.497466248037675,0.0,64.50509215017064,67.598,0.0,22.155443113772456,10.437656565656566,35.892264875239924,27.118677966101696,0
158130,95.882,92.24805813953488,0.0,95.455,54.89152173913043,92.038,96.935,40.64645238095238,92.086,89.935,29.850850746268655,90.722,91.195,22.6562109375,0.0,72.1027296137339,68.718,20.407809523809526,79.26239170506912,0.0,25.786481132075473,37.06920114942528,28.813414043583535,45.674892733564015,0.0,37.74,15.016894197952217,68.93482396449704,30.33007507507508,44.827632183908044,16.528772727272727,58.78329054054054,51.05132132132132,13.118752475247522,97.26,0.0,93.927,83.807,0.0,0.0,0.0,0.0,59.654722135007844,0.0,64.84592491467576,87.709,0.0,17.963976047904193,7.407400673400673,0.0,27.118677966101696,0
158174,95.49,92.24805813953488,0.0,95.455,54.89152173913043,91.72,96.935,40.47591836734694,92.086,89.935,29.850850746268655,90.722,91.195,23.04703125,0.0,72.1027296137339,68.718,20.407809523809526,79.03226958525345,0.0,25.786481132075473,38.50603448275862,29.539975786924938,45.674892733564015,0.0,37.26,15.016894197952217,68.195,30.030285285285288,44.827632183908044,16.528772727272727,58.61472635135135,49.84968468468469,12.376202970297028,97.26,0.0,94.332,82.9546619318182,61.231144615384615,0.0,71.18664406779662,31.707634146341462,59.497466248037675,0.0,64.50509215017064,67.598,0.0,22.155443113772456,10.437656565656566,35.892264875239924,27.118677966101696,0
178081,95.686,92.24805813953488,0.0,95.455,54.89152173913043,91.401,96.552,40.47591836734694,92.086,89.935,29.850850746268655,90.722,91.509,23.04703125,93.821,72.53242060085836,66.923,76.87105102040816,78.34095622119814,0.0,94.025,38.2183908045977,62.46951089588377,44.636920415224914,87.63474193548387,78.60550240384616,15.016894197952217,82.69262130177515,95.495,80.45943103448275,91.736,71.11491554054054,51.05135135135135,80.44577227722773,97.26,80.93481654676259,93.927,82.38628125,0.0,0.0,0.0,31.707634146341462,59.654722135007844,0.0,61.43338566552901,69.83204469273743,0.0,76.6462754491018,10.437656565656566,14.779009596928981,0.0,1
200201189,95.882,30.619856589147286,0.0,94.697,9.239157608695653,0.0,95.785,0.0,93.525,15.909019480519481,29.10428358208955,0.0,0.0,23.8277109375,0.0,40.77260944206009,69.231,20.407809523809526,76.95812903225807,0.0,24.843,37.930689655172415,28.57179661016949,46.36663667820069,0.0,36.538048076923076,15.358361774744026,69.231,30.33007507507508,40.80491379310345,20.247954545454547,58.277304054054056,51.95182582582582,15.841675742574257,98.288,0.0,32.793765182186235,83.52250568181819,0.0,0.0,0.0,32.317243902439024,38.93249293563579,0.0,63.48136518771331,89.385,0.0,16.766640718562872,24.915851851851848,0.0,0.0,0
