	WP_002725873.1	WP_002740826.1	WP_002740861.1	WP_032853071.1	WP_002740902.1	WP_002740804.1	WP_002740724.1	WP_078313319.1	WP_016749081.1	WP_002738232.1	WP_002740722.1	WP_002741071.1	WP_002740041.1	WP_230456805.1	WP_002738295.1	WP_002733661.1	WP_050547976.1	WP_002727927.1	WP_000406134.1	WP_000275679.1	WP_000799637.1	WP_000579813.1	WP_001052314.1	WP_002115474.1	WP_000600954.1	WP_004503087.1	WP_061236010.1	WP_198288176.1	WP_004503102.1	WP_239248150.1	WP_223809837.1	WP_001106774.1	WP_002733615.1	WP_039942433.1	WP_244265121.1	WP_010578390.1	WP_000667982.1	WP_003009953.1	WP_036096970.1	WP_003009503.1	WP_003009636.1	WP_036096962.1	WP_196221670.1	WP_003009473.1	WP_003009529.1	WP_003009523.1	WP_003009310.1	WP_282974009.1	WP_004479640.1	WP_282974006.1	WP_004479635.1	WP_282973988.1	WP_004434477.1	WP_004434773.1	WP_004434738.1	WP_004434663.1	WP_004434686.1	WP_004434935.1	WP_004421329.1	WP_004421044.1	WP_004448468.1	WP_036063888.1	WP_243817855.1	WP_004450690.1	WP_004450706.1	WP_004421460.1	WP_004450681.1	WP_036063866.1	WP_004450670.1	WP_016748630.1	WP_016560406.1	WP_016560441.1	WP_016560449.1	WP_016560426.1	WP_016560398.1	WP_244266170.1	WP_016560457.1	WP_000980525.1	WP_000653659.1	WP_017214689.1	WP_020981249.1	WP_001256699.1	WP_000020777.1	WP_002076509.1	WP_000535865.1	WP_001117631.1	WP_000697351.1	WP_029781911.1	WP_000041234.1	WP_002108488.1	WP_002108487.1	WP_002108506.1	WP_002108485.1	WP_002108483.1	WP_025180280.1	WP_002108502.1	WP_002108526.1	WP_000580577.1	WP_000665193.1	WP_000651740.1	WP_000579360.1	WP_002108484.1	WP_000723079.1	WP_002108504.1	WP_237578347.1	WP_004280040.1	WP_237578348.1	WP_004280867.1	WP_004280058.1	WP_100224632.1	WP_020780101.1	WP_011669928.1	WP_004779589.1	WP_004779550.1	WP_011669929.1	WP_004779559.1	WP_000361605.1	WP_000699347.1	WP_000808025.1	WP_000623952.1	WP_000208484.1	WP_000373631.1	WP_000673831.1	WP_000723077.1	WP_000853941.1	WP_000824284.1	WP_001055393.1	WP_000125000.1	WP_000950837.1	WP_002102575.1	WP_000952994.1	WP_000721297.1	WP_000358359.1	WP_000703222.1	WP_000513413.1	WP_032921258.1_26	WP_004483359.1_59	WP_004462134.1_62	WP_004462133.1_63	WP_004462126.1_69	WP_004462125.1_70	WP_004478059.1_71	WP_016551793.1_72	WP_016551804.1_73	WP_004477829.1_74	WP_004462889.1_79	WP_004477915.1_81	WP_061208429.1	WP_061209096.1	WP_228039699.1	WP_061209098.1	WP_228008733.1	WP_061208037.1	True_serogroup	class
441_izsler	72.64116981	95.628	95.368	92.258	0	39.41629197	63.92611074	0	29.71286901	38.80632836	81.105	87.01265455	55.872	0	87.93736965	82.215	72.20318644	84.043	0	72.83649038	99.296	96.50793651	99.82	98.606223	99.245	89.286	43.86578824	53.48885788	54.27759292	13.32226644	99.531	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0	44.82763218	37.01963942	35.10915254	0	0	31.03445211	29.16657955	0	21.10531658	32.39785714	0	29.30557704	26.39988	19.00486425	34.86576628	0	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	0	0	29.04587552	0	25.42365617	12.78839413	0	41.55132687	32.28668161	25.21333333	27.13203101	29.67433276	0	27.81766187	0	0	21.29652778	0	0	29.7517686	30.57334395	36.17068085	0	11.60394198	30.89704319	38.23522059	0	73.795	29.1138481	41.89813748	0	0	0	57.46007143	23.04856506	0	0	0	0	0	0	22.2779397	30.57094286	0	36.43755061	21.672	13.9575665	0	83.735	66.16785629	60.36297668	0	44.14109375	33.48851163	0	0	17.67260345	0	0	0	47.27286234	41.88057692	0	38.21851149	0	0	7.786772541	0	0	0	35.49806061	15.67297615	0	0	0	64.88525191	32.58705473	0	Icterohaemorrhagiae	1
d64	71.69816981	34.42604918	35.69481199	35.80629677	0	0	26.67767114	0	29.39311821	27.61164179	64.53485174	37.9216987	22.06419929	0	50.19492607	31.87941275	70.50880678	84.397	0	0	30.98630282	32.38087619	0	0	98.868	0	25.54621008	54.2631137	58.11193805	21.24831535	70.89221127	0	26.55362712	15.19603431	0	26.36826866	0	22.59885876	0	21.23730936	23.65836098	29.10447761	0	0	0	20.54361969	36.87710963	25.49003676	32.87310497	0	39.50905177	37.13096203	0	0	22.83684615	0	41.17598616	22.22198498	0	29.16657955	0	52.26142714	81.63237245	41.33351	30.51340483	26.39988	28.73264932	34.86576628	23.26310574	17.41756757	17.60212245	23.56287931	26.41985185	32.04437017	0	0	0	29.04587552	24.09636145	53.9949322	0	0	0	31.83881166	35.04271795	30.49054264	0	15.5593007	25.41960671	0	0	21.29652778	0	0	35.12405785	30.57334395	39.71591489	0	12.62804096	41.52815947	38.23522059	0	74.398	33.33346835	0	0	0	0	0	32.34218587	0	0	0	0	0	0	100	100	100	100	99.69	100	100	100	100	100	100	99.609	100	75.95712098	100	100	100	94.02985075	100	46.7528961	90.17138462	51.16908052	39.368	36.75500662	0	11.27036885	0	32.463	0	35.4978355	19.25046678	0	49.25871499	35.94807843	89.56751145	41.29320896	69.62993704	Bataviae	4
128024	72.64116981	33.06036885	36.23941962	35.80629677	0	0	26.67767114	0	29.39311821	27.61166418	35.75567442	0	22.42015302	0	22.56789105	27.51698658	72.54269831	84.043	0	0	30.98623239	32.38087619	0	0	32.0757283	0	23.36137311	0	39.233	32.37731872	70.42220657	0	26.55362712	0	0	24.54381095	0	22.59885876	0	21.23730936	0	28.35853731	0	43.44895522	0	29.71113922	32.55772425	0	34.80632044	0	39.23679564	0	0	0	0	0	0	0	31.03445211	29.16657955	0	21.10528476	32.39785714	0	29.00347432	26.39988	19.23108597	34.48272414	0	17.41756757	0	23.56287931	0	31.76787293	0	14.3244973	0	16.18244813	0	0	0	0	100	99.552	100	100	100	100	100	99.71	100	100	82.29467869	99.526	99.587	99.682	100	100	99.829	95.34883721	99.51	99.722	99.699	99.578	91.48961047	0	36.71480676	0	90.952	40.14883271	0	0	40.0003619	0	79.50263768	90.949	22.44572864	25.14312857	0	0	21.672	10.67344828	0	74.096	38.3233982	0	0	43.74971875	33.48851163	0	0	12.50013793	0	12.83585075	0	19.22097403	0	0	22.9887069	0	0	7.786772541	0	0	0	0	11.24365417	0	11.36755519	0	28.24403053	0	0	Hebdomadis	3
mm0342ck	100	100	100	100	100	99.757	100	100	100	100	100	100	100	99.597	100	100	100	99.645	76.882	38.46184615	36.62005634	33.65044762	0	54.00682927	33.20712453	0	74.45355294	54.78008269	55.75249558	21.75426307	0	40.04783933	26.55362712	23.28400735	75.828	45.7715058	38.16426087	23.72908475	73.04552022	75.7526689	89.02460488	79.104	53.76329749	29.35272968	27.98392593	24.10873854	71.42891694	29.65727451	33.42498619	35.59689696	80.65424796	36.70917722	20.748	20.11459195	28.36564904	39.22557869	0	0	0	31.81775758	12.79068605	20.77037186	33.9290051	0	29.90898489	27.60028	17.87315385	37.16505747	0	17.11725526	24.23479592	22.98850575	29.87614815	31.7678453	26.15011622	0	0	27.38582988	0	22.76047458	14.04592034	0	0	26.45717489	27.7774359	29.71578295	42.02452487	0	25.89939568	0	0	0	0	0	28.92609917	0	36.52488298	0	21.84340444	26.91	38.2354902	0	29.51846386	31.22331646	31.09679214	0	0	0	0	39.77685502	0	0	0	0	0	0	22.11075377	30.57094286	0	35.22280567	20.43341176	0	0	28.6145	66.16785629	62.69415803	0	43.74971875	34.41816744	0	0	16.95378879	0	12.53727761	0	85.71396623	42.73459829	0	39.94224713	0	0	0	0	0	0	37.66192208	15.33202726	0	0	0	35.62305344	33.33355224	0	Ballum	1
2006006986	72.64116981	95.628	95.368	92.903	0	25.54756691	26.67767114	0	29.39311821	26.86525373	31.68630523	0	22.42015302	0	24.12432296	20.47004027	72.88122034	84.397	79.839	26.68295192	30.98623239	32.38087619	0	0	99.245	0	23.19327059	0	31.85853982	0	70.89221127	27.09815348	80.79105085	22.30433333	30.13266556	24.54381095	22.70504348	80.79105085	75.2019407	21.23730936	31.95146341	28.35853731	0	0	0	0	19.26887043	83.33309069	32.32066298	25.05877283	38.96453951	0	0	44.82763218	37.74069712	29.05530266	45.67489273	49.84968468	96.935	95.076	88.566	92.96501843	95.918	83	90.03	97.6	95.701	92.337	72.50739577	17.41756757	26.02008163	54.598	64.44417778	29.55769337	86.683	13.78371892	98.63	100	98.494	26.63438983	42.34775681	0	0	32.28668161	30.76888034	30.74911628	0	15.55964161	26.37851799	0	0	21.29652778	0	0	31.81780165	30.57334395	39.71591489	0	0	15.61447176	38.23522059	0	31.92795181	26.58253165	0	0	0	0	0	47.95525651	0	0	0	0	0	0	51.75884757	30.8568	0	0	21.672	0	0	28.6145	36.82622754	0	0	44.14109375	33.48851163	0	43.9865945	40.23	0	0	0	85.45422078	0	0	13.79295402	0	0	7.786772541	0	0	0	0	11.24365417	0	0	0	24.68181679	0	0	Grippotyphosa	2
202102996	72.64116981	95.628	95.368	92.258	0	39.41629197	63.92611074	0	29.71286901	38.80632836	81.105	87.01265455	55.872	0	87.93736965	82.215	72.20318644	84.043	0	72.83649038	99.296	96.50793651	99.82	98.606223	98.868	89.286	43.86578824	53.48885788	54.27759292	13.32226644	99.531	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0	44.82763218	37.01963942	35.10915254	0	0	31.03445211	29.16657955	0	21.10531658	32.39785714	0	29.30557704	26.39988	19.00486425	34.86576628	0	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	0	0	29.04587552	0	25.42365617	12.78839413	0	41.55132687	31.83809865	25.21333333	27.13203101	29.67433276	0	27.81766187	0	0	21.29652778	0	0	29.7517686	30.57334395	36.17068085	0	11.60394198	30.89704319	38.23522059	0	73.795	29.1138481	41.89813748	0	0	0	57.46007143	23.04856506	0	0	0	0	0	0	22.2779397	30.57094286	0	36.43755061	21.672	13.9575665	0	83.735	66.16785629	60.36297668	0	44.14109375	33.48851163	0	0	17.67260345	0	0	0	47.27286234	41.88057692	0	38.21851149	0	0	7.786772541	0	0	0	35.49806061	15.67297615	0	0	0	64.88525191	32.58705473	0	Icterohaemorrhagiae	1
2006006972	72.64116981	95.628	95.368	92.258	0	39.41629197	63.92611074	0	29.71286901	38.80632836	81.105	87.01265455	55.872	0	87.93736965	82.215	72.20318644	84.043	0	72.83649038	99.296	96.50793651	99.82	98.606223	99.245	89.286	43.86578824	53.48885788	54.27759292	13.32226644	70.89221127	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0	44.82763218	37.01963942	35.10915254	0	0	31.03445211	29.16657955	0	21.10531658	32.39785714	0	29.30557704	26.39988	19.00486425	34.86576628	0	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	0	0	29.04587552	0	25.42365617	12.78839413	0	41.55132687	32.28668161	25.21333333	27.13203101	29.67433276	0	27.81766187	0	0	21.29652778	0	0	29.7517686	30.57334395	36.17068085	0	11.60394198	30.89704319	38.23522059	0	73.494	29.1138481	41.89813748	0	0	0	57.46007143	23.04856506	0	0	0	0	0	0	22.2779397	30.57094286	0	36.43755061	21.672	13.9575665	0	83.735	66.16785629	60.36297668	0	44.14109375	33.48851163	0	0	17.67260345	0	0	0	47.27286234	41.88057692	0	38.21851149	0	0	7.786772541	0	0	0	35.49806061	15.67297615	0	0	0	64.88525191	32.58705473	0	Icterohaemorrhagiae	1
k56	72.64116981	33.60671585	38.96502452	87.742	94.444	37.71328467	41.94630201	0	90.096	88.06	80.523	81.55810909	55.516	0	87.93736965	81.544	72.20318644	84.043	0	53.36561538	35.91521127	32.38087619	0	98.606	98.868	0	97.311	54.78018605	54.27759292	12.47873356	69.9531831	58.27316547	26.55362712	20.83354657	42.71523179	39.80120564	99.758	22.59885876	0	41.97311037	89.99972927	79.851	75.98567025	44.9418209	24.27967078	11.5451511	68.43901661	30.1474902	32.87264917	51.05374707	79.83628883	37.55265823	0	0	27.88461538	32.9299322	0	0	31.03445211	29.16657955	0	21.10528476	32.39785714	0	29.30539577	26.39988	19.00486425	34.86576628	0	17.41756757	24.74507653	23.56287931	29.3830963	30.93875414	27.36060533	0	0	29.04587552	0	24.21289104	11.11124528	0	41.55132687	32.28668161	25.21333333	30.74911628	15.26598113	0	27.81766187	0	0	19.44438889	0	0	29.33905785	30.57334395	36.17068085	0	23.03799147	30.56465116	38.23522059	0	73.795	29.95782278	22.74971522	0	0	0	57.45984444	28.99628253	0	0	0	0	0	0	22.11055276	30.8568	0	36.84246559	21.672	13.95755501	0	83.434	65.86807186	62.43533161	0	43.74971875	33.48851163	0	0	17.81613793	0	0	0	85.45422078	41.88057692	0	37.93089943	0	0	7.786772541	0	0	0	36.36351515	15.67297615	0	0	0	64.63120611	33.08503234	0	Pyrogenes	1
201900332	100	33.60637158	36.7843733	37.41945806	0	0	22.65091946	0	30.67130671	29.10474627	35.75567442	0	20.99641281	0	24.51386381	31.20841611	97.62693559	98.227	0	0	31.68982394	33.65044762	0	0	32.83027925	0	28.73985882	0	39.233	34.23289713	0	0	21.46911864	0	0	17.24725705	0	19.77433898	0	18.22759866	0	29.10447761	0	43.28352239	0	29.37193548	32.22613953	0	35.91116575	0	39.23679564	0	20.748	0	0	0	0	0	30.26812261	29.16695455	0	20.60321608	33.9290051	0	28.39864048	27.60028	17.87315385	36.01547893	0	17.11725526	0	19.54003448	0	32.04383978	0	13.24328649	0	28.63113693	0	0	0	0	97.23	94.61880269	91.45320513	97.933	97.77	93.531	93.525	87.826	92.30736264	38.88924074	0	0	88.43	90.127	94.681	95.595	62.45740444	86.04660465	86.765	91.944	92.771	86.076	39.27943208	0	44.928	0	82.698	18.58734201	99.708	100	100	100	95.23809524	100	22.61306533	25.14312857	0	0	23.52920433	10.18055172	0	73.494	38.62229042	0	0	43.74971875	34.41816744	0	0	13.07457615	0	13.13426866	0	9.090818182	0	0	22.12655172	0	0	0	0	0	0	0	11.75459114	0	12.02616145	0	28.24403053	0	0	Sejroe	3
ip1512014	72.64116981	95.628	95.64	93.871	0	25.06096837	26.67767114	0	29.39311821	27.61166418	31.39553779	0	22.42015302	0	23.73561479	20.47004027	72.54269831	83.688	0	28.12526202	30.98623239	32.38087619	0	0	99.623	48.05205195	23.36137311	0	32.44846018	0	70.89221127	26.61863309	53.67261017	54.65671569	30.46309934	24.54381095	24.1542029	52.54210169	0	21.23730936	29.51180488	29.10418657	0	0	0	0	19.26887043	63.23544118	75.96705801	26.22988525	39.23679564	0	0	41.37883908	36.53859375	29.29787409	46.0202699	51.6512973	96.935	95.455	65.69807558	92.46186265	95.663	83	90.03	97.2	95.701	91.954	76.737	86.18628228	99.745	90.805	94.815	96.133	66.586	92.703	0	28.21563485	87.349	24.69723971	41.29946541	100	0	31.83881166	30.76888034	30.74911628	0	15.38445804	26.37851799	0	0	21.29652778	0	0	32.23119008	30.89178344	39.71591489	0	0	15.61447176	38.72529412	0	29.81915964	21.09702532	0	0	0	0	0	44.23791822	0	0	0	0	0	0	51.92643216	30.8568	0	0	21.672	0	0	28.91559036	36.82634731	0	0	44.14109375	33.48851163	0	44.33021649	40.374	0	0	0	85.45422078	0	0	14.36786207	0	0	7.786772541	0	0	0	0	11.07311414	0	0	0	24.68181679	0	0	Pomona	2
