Strain,WP_061208025.1,WP_061208033.1,WP_061208034.1,WP_061208035.1,WP_061208036.1,WP_061208037.1,WP_061208038.1,WP_061208039.1,WP_061208040.1,WP_061208042.1,WP_061208428.1,WP_061208429.1,WP_061208753.1,WP_061208754.1,WP_061208755.1,WP_061208984.1,WP_061209096.1,WP_061209098.1,WP_061209107.1,WP_061209108.1,WP_081101349.1,WP_228008733.1,WP_228039699.1,WP_235590276.1,WP_257945214.1,WP_257945376.1,target
1342KT,79.88627246790301,86.73237346437347,89.407,81.92776936316695,52.51580188679246,39.629777777777775,86.22755688622755,81.39,78.40189349112426,20.91513725490196,71.21857352941177,75.16345751633988,11.977805013927577,86.29785422740525,79.62087677725118,79.31,33.77291268533772,90.58491603053436,95.27922746781115,98.974,62.20514435695538,86.81604477611941,74.1832679738562,48.62402752293578,28.571404081632654,44.44444444444444,0
1489,89.87201640513553,13.206491400491402,19.70341631355932,37.349469879518075,57.54677987421384,69.62993703703705,19.08686377245509,24.379651364764268,43.638908284023664,65.3593137254902,12.184957983193275,13.235160130718956,36.35081615598886,43.58614285714285,28.673104265402845,69.82755459770115,31.21915074135091,69.78356488549619,33.69122317596566,55.641175,15.222990813648295,36.87808333333333,35.784333333333336,52.29401376146789,8.979526530612244,59.25934814814815,0
1548,0.0,14.250751842751843,19.915360169491525,42.34078485370052,57.54677987421384,69.62993703703705,19.461209580838325,30.024868486352357,55.02929585798816,65.3593137254902,0.0,10.78424183006536,62.395197771587746,55.68507288629738,0.0,78.161,49.25871499176277,89.56751145038169,31.759793991416306,75.89757692307691,0.0,41.29320895522388,35.784333333333336,52.29401376146789,0.0,55.555888888888894,0
201502616,0.0,14.250751842751843,19.915360169491525,42.34078485370052,57.54677987421384,69.62993703703705,19.461209580838325,30.024868486352357,55.02929585798816,65.3593137254902,0.0,10.78424183006536,62.395197771587746,55.68507288629738,0.0,78.161,49.25871499176277,89.56751145038169,31.759793991416306,76.154,0.0,41.29320895522388,35.94807843137255,52.29401376146789,0.0,55.555888888888894,0
201700296,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.26302729528535,100.0,100.0,100.0,100.0,94.70732033426184,99.708,100.0,98.851,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.541,82.0408163265306,97.778,1
201801179,0.0,14.250751842751843,19.915360169491525,42.34078485370052,57.54677987421384,69.62993703703705,19.76052994011976,30.024868486352357,55.02929585798816,65.3593137254902,12.184957983193275,10.78424183006536,62.395197771587746,55.68507288629738,0.0,73.563,49.25871499176277,89.56751145038169,31.759793991416306,76.154,0.0,41.29320895522388,35.94807843137255,52.29401376146789,0.0,55.555888888888894,0
201801751,0.0,14.250751842751843,19.915360169491525,42.34078485370052,57.54677987421384,69.62993703703705,19.76052994011976,30.024868486352357,55.02929585798816,65.3593137254902,12.184957983193275,10.78424183006536,62.395197771587746,55.68507288629738,0.0,73.563,49.25871499176277,89.56751145038169,31.759793991416306,76.154,0.0,41.29320895522388,35.94807843137255,52.29401376146789,0.0,55.555888888888894,0
202100064,84.5935035663338,93.61142997542997,96.186,88.124,86.164,92.593,20.359598802395208,30.024416873449134,58.579988165680476,84.314,86.55492857142856,84.64097058823529,62.67374930362117,93.87730320699708,95.972,0.0,91.43347611202637,77.354,92.704,97.436,11.286,88.80553980099502,84.31330718954248,58.256536697247704,85.30653061224491,44.4448,1
202100065,79.60045934379458,86.97776904176904,89.407,81.75566265060242,52.51562264150943,39.62938518518518,86.22755688622755,81.638,78.10653846153845,64.0524705882353,75.21,75.49013071895425,11.977805013927577,86.00556851311954,79.14700236966824,81.609,33.77291268533772,90.58491603053436,95.27922746781115,98.974,67.19142782152231,86.81549751243782,74.83696405228758,49.082119266055045,42.04069387755103,48.88897777777778,0
202200045,79.88627246790301,86.97776904176904,89.407,81.92776936316695,56.60374842767296,70.74103703703705,21.55664670658683,29.280580645161287,54.734103550295856,63.399013071895425,75.21,75.81680392156863,11.977743732590527,85.71427696793003,79.62087677725118,81.60885057471263,84.84319275123559,90.33056488549619,94.42042918454935,98.974,11.54854593175853,86.81560447761194,65.68660130718955,52.75190366972477,53.87757551020408,39.99966666666666,1
