Unnamed: 0	WP_002725873.1	WP_002740826.1	WP_002740861.1	WP_032853071.1	WP_002740724.1	WP_016749081.1	WP_002738232.1	WP_002740722.1	WP_002740041.1	WP_002738295.1	WP_002733661.1	WP_050547976.1	WP_002727927.1	WP_000799637.1	WP_000579813.1	WP_000600954.1	WP_061236010.1	WP_004503102.1	WP_239248150.1	WP_223809837.1	WP_002733615.1	WP_010578390.1	WP_003009953.1	WP_003009503.1	WP_036096962.1	WP_196221670.1	WP_003009473.1	WP_003009523.1	WP_003009310.1	WP_004479640.1	WP_004479635.1	WP_004434477.1	WP_004434773.1	WP_004421329.1	WP_004421044.1	WP_036063888.1	WP_243817855.1	WP_004450706.1	WP_004421460.1	WP_004450681.1	WP_036063866.1	WP_016748630.1	WP_016560441.1	WP_016560426.1	WP_244266170.1	WP_000980525.1	WP_000020777.1	WP_002076509.1	WP_000535865.1	WP_001117631.1	WP_000697351.1	WP_029781911.1	WP_000041234.1	WP_002108488.1	WP_002108487.1	WP_002108506.1	WP_002108485.1	WP_002108483.1	WP_025180280.1	WP_002108502.1	WP_002108526.1	WP_000580577.1	WP_000665193.1	WP_000651740.1	WP_000579360.1	WP_002108484.1	WP_000723079.1	WP_002108504.1	WP_237578347.1	WP_004280040.1	WP_237578348.1	WP_004280867.1	WP_004280058.1	WP_100224632.1	WP_020780101.1	WP_011669928.1	WP_004779589.1	WP_004779550.1	WP_011669929.1	WP_004779559.1	WP_000361605.1	WP_000699347.1	WP_000208484.1	WP_000373631.1	WP_000723077.1	WP_000853941.1	WP_001055393.1	WP_000125000.1	WP_000950837.1	WP_000721297.1	WP_000703222.1	WP_032921258.1_26	WP_004462133.1_63	WP_004478059.1_71	WP_004477915.1_81	WP_061209096.1	WP_061209098.1	True_serogroup
128024	72.64116981	33.06036885	36.23941962	35.80629677	26.67767114	29.39311821	27.61166418	35.75567442	22.42015302	22.56789105	27.51698658	72.54269831	84.043	30.98623239	32.38087619	32.0757283	23.36137311	39.233	32.37731872	70.42220657	26.55362712	24.54381095	22.59885876	21.23730936	28.35853731	0.0	43.44895522	29.71113922	32.55772425	34.80632044	39.23679564	0.0	0.0	31.03445211	29.16657955	21.10528476	32.39785714	29.00347432	26.39988	19.23108597	34.48272414	17.41756757	23.56287931	31.76787293	14.3244973	16.18244813	100.0	99.552	100.0	100.0	100.0	100.0	100.0	99.71	100.0	100.0	82.29467869	99.526	99.587	99.682	100.0	100.0	99.829	95.34883721	99.51	99.722	99.699	99.578	91.48961047	0.0	36.71480676	0.0	90.952	40.14883271	0.0	0.0	40.0003619	0.0	79.50263768	90.949	22.44572864	25.14312857	21.672	10.67344828	74.096	38.3233982	0.0	43.74971875	33.48851163	12.50013793	12.83585075	19.22097403	22.9887069	7.786772541	11.24365417	11.36755519	28.24403053	Hebdomadis
201900332	100.0	33.60637158	36.7843733	37.41945806	22.65091946	30.67130671	29.10474627	35.75567442	20.99641281	24.51386381	31.20841611	97.62693559	98.227	31.68982394	33.65044762	32.83027925	28.73985882	39.233	34.23289713	0.0	21.46911864	17.24725705	19.77433898	18.22759866	29.10447761	0.0	43.28352239	29.37193548	32.22613953	35.91116575	39.23679564	20.748	0.0	30.26812261	29.16695455	20.60321608	33.9290051	28.39864048	27.60028	17.87315385	36.01547893	17.11725526	19.54003448	32.04383978	13.24328649	28.63113693	97.23	94.61880269	91.45320513	97.933	97.77	93.531	93.525	87.826	92.30736264	38.88924074	0.0	0.0	88.43	90.127	94.681	95.595	62.45740444	86.04660465	86.765	91.944	92.771	86.076	39.27943208	0.0	44.928	0.0	82.698	18.58734201	99.708	100.0	100.0	100.0	95.23809524	100.0	22.61306533	25.14312857	23.52920433	10.18055172	73.494	38.62229042	0.0	43.74971875	34.41816744	13.07457615	13.13426866	9.090818182	22.12655172	0.0	11.75459114	12.02616145	28.24403053	Sejroe
tc129	100.0	33.60637158	36.7843733	37.41945806	24.66452517	30.67130671	29.10474627	35.75567442	20.99641281	24.51386381	31.20841611	97.62693559	98.227	31.68982394	33.65044762	32.83027925	28.73985882	39.233	34.23289713	0.0	21.46911864	26.69976783	19.77433898	18.22759866	29.10447761	0.0	43.28352239	29.37193548	32.22613953	35.91116575	39.23679564	20.748	0.0	30.26812261	31.06097727	20.60321608	33.9290051	28.39864048	27.60028	17.87315385	36.01547893	17.11725526	19.54003448	32.04383978	13.24328649	28.63113693	97.23	94.61880269	91.45320513	97.933	97.77	93.531	93.525	87.826	92.30736264	38.88924074	0.0	0.0	88.43	90.127	94.681	95.595	62.45740444	86.04660465	86.765	91.944	92.771	86.076	39.27943208	0.0	44.928	0.0	82.698	25.27889963	99.708	100.0	100.0	100.0	95.23809524	100.0	22.94775209	27.14267714	23.52920433	10.18055172	73.494	38.62229042	0.0	43.74971875	34.41816744	13.07457615	13.13426866	9.090818182	22.12655172	0.0	12.26568143	12.02616145	28.24403053	Sejroe
203	100.0	33.60637158	36.7843733	37.41945806	24.66452517	30.67130671	29.10474627	35.75567442	20.99641281	24.51386381	31.20841611	97.62693559	98.227	31.68982394	33.65044762	32.83027925	28.73985882	39.233	34.23289713	0.0	21.46911864	26.69976783	19.77433898	18.22759866	29.10447761	0.0	43.28352239	29.37193548	32.22613953	35.91116575	39.23679564	20.748	0.0	30.26812261	31.06097727	20.60321608	33.9290051	28.39864048	27.60028	17.87315385	36.01547893	17.11725526	19.54003448	32.04383978	13.24328649	28.63113693	97.23	94.61880269	91.45320513	97.933	97.77	93.531	93.525	87.826	92.30736264	38.88924074	0.0	0.0	88.43	90.127	94.681	95.595	62.45740444	86.04660465	86.765	91.944	92.771	86.076	39.27943208	0.0	44.928	0.0	82.698	25.27889963	99.708	100.0	100.0	100.0	95.23809524	100.0	22.94775209	27.14267714	23.52920433	10.18055172	73.494	38.62229042	0.0	43.74971875	34.41816744	13.07457615	13.13426866	9.090818182	22.12655172	0.0	12.26568143	12.02616145	28.24403053	Sejroe
202300082	100.0	33.60637158	36.7843733	37.41945806	22.65091946	30.67130671	29.10474627	35.75567442	20.99641281	24.51386381	31.20841611	96.94924068	98.227	31.68982394	33.65044762	32.83027925	28.73985882	39.233	34.23289713	0.0	21.46911864	17.24725705	19.77433898	18.22759866	29.10447761	0.0	43.28352239	29.37193548	32.22613953	35.91116575	39.23679564	20.748	0.0	30.26812261	29.16695455	20.60321608	33.9290051	28.39864048	27.60028	17.87315385	36.01547893	17.11725526	19.54003448	32.04383978	13.24328649	28.63113693	97.23	94.61880269	91.45320513	97.933	97.77	93.531	93.525	87.826	92.30736264	38.88924074	0.0	0.0	88.43	90.127	94.681	95.595	62.45740444	86.04660465	86.765	91.944	92.771	86.076	39.27943208	0.0	44.928	0.0	82.698	25.27889963	99.708	100.0	100.0	100.0	95.23809524	100.0	22.61306533	25.14312857	23.52920433	10.18055172	73.494	38.62229042	0.0	43.74971875	34.41816744	13.07457615	13.13426866	9.090818182	22.12655172	0.0	11.75459114	12.02616145	28.24403053	Sejroe
188076	72.64116981	33.06036885	36.23941962	35.80629677	26.67767114	29.39311821	27.61166418	35.75567442	22.42015302	22.56789105	27.51698658	72.54269831	84.043	30.98623239	32.38087619	32.0757283	23.36137311	39.233	32.37731872	70.89221127	26.55362712	24.54381095	22.59885876	21.23730936	28.35853731	0.0	43.44895522	29.71113922	32.55772425	34.80632044	39.23679564	0.0	0.0	31.03445211	29.16657955	21.10528476	32.39785714	29.00347432	26.39988	19.23108597	34.48272414	17.41756757	23.56287931	31.76787293	14.3244973	16.18244813	100.0	99.552	100.0	100.0	100.0	100.0	100.0	99.71	100.0	100.0	82.29467869	99.526	99.587	99.682	100.0	100.0	99.829	95.34883721	99.51	99.722	99.699	99.578	91.48961047	0.0	36.71480676	0.0	90.952	40.89234201	0.0	0.0	40.0003619	0.0	79.50263768	90.949	22.44572864	25.14312857	21.672	10.67344828	74.096	38.3233982	0.0	43.74971875	33.48851163	12.50013793	12.83585075	19.22097403	22.9887069	7.786772541	11.24365417	11.36755519	28.24403053	Hebdomadis
201501058	77.35849057	31.69431694	34.33232698	37.41945806	22.81898993	30.99000319	29.10474627	35.17451163	22.77561566	24.51386381	30.87281208	89.831	82.979	30.98630282	33.65044762	32.83027925	28.5710084	39.233	34.40147049	0.0	26.55381921	17.41308126	23.72844068	21.23753846	29.85095522	0.0	43.78083582	31.23922581	31.22886047	34.80632044	38.69228338	21.42902041	20.68968966	30.65132184	32.95480682	20.77037186	33.9290051	28.39864048	27.600248	17.87315385	36.78153257	17.41756757	22.98850575	31.49190608	13.78365405	28.21540249	96.676	95.51542601	93.58955983	97.933	97.77	93.007	93.525	88.406	95.604	35.18502315	0.0	0.0	83.471	89.809	94.681	96.035	62.96931399	85.71448505	87.745	91.944	93.675	86.498	99.836	100.0	100.0	100.0	99.841	42.75069145	0.0	0.0	44.28617143	0.0	81.9876087	82.561	22.27809045	25.14312857	20.43341176	11.0014844	73.795	38.02350299	8.23790389	44.5315	34.41816744	12.93107759	13.73128358	0.0	22.41390805	11.06541803	11.07311414	11.8614827	28.49922392	Mini
201101154	100.0	33.06047541	36.51189646	36.77419355	22.81898993	31.30977636	29.10474627	35.4655814	21.70785053	23.73547471	29.53032886	98.64447458	98.936	31.68982394	33.65044762	33.20712453	28.90771429	38.938	34.23289713	0.0	26.55362712	17.24725705	23.72908475	22.0735786	29.10447761	0.0	43.11808955	29.37193548	31.894	35.35927072	38.96453951	20.748	20.11459195	31.80091954	31.81775758	20.60321608	33.9290051	28.7010574	27.60028	17.87315385	37.16505747	17.41774174	22.98850575	32.32082873	12.70261622	28.63113693	97.23	95.9642287	93.16287607	98.45	98.285	93.531	93.765	88.406	94.505	35.18502315	0.0	0.0	83.884	91.083	95.035	95.595	62.28696246	85.71383721	88.725	90.833	91.566	85.65405907	94.926	98.614	98.068	97.403	82.53977619	45.3532342	0.0	0.0	44.28617143	0.0	78.67449275	82.34	22.27809045	24.85693714	23.52920433	10.01621675	72.892	38.3233982	0.0	43.74971875	34.41816744	12.93107759	13.13426866	8.831181818	22.41351724	0.0	11.92500852	12.19130148	25.95381679	Mini
178114	72.64116981	33.06036885	36.23941962	35.80629677	26.67767114	29.39311821	27.61166418	35.75567442	22.42015302	22.56789105	27.51698658	71.18649153	84.043	30.98623239	32.38087619	32.0757283	23.36137311	39.233	32.37731872	70.89221127	26.55362712	24.54381095	22.59885876	21.23730936	28.35853731	0.0	43.44895522	29.71113922	32.55772425	34.80632044	39.23679564	0.0	0.0	31.03445211	29.16657955	21.10528476	32.39785714	29.00347432	26.39988	19.23108597	34.48272414	17.41756757	23.56287931	31.76787293	14.3244973	16.18244813	100.0	99.552	100.0	100.0	100.0	100.0	100.0	99.71	100.0	100.0	82.29467869	99.526	99.587	99.682	100.0	100.0	100.0	95.34883721	99.51	100.0	99.699	99.578	91.48961047	0.0	36.71480676	0.0	90.952	21.18956877	0.0	0.0	40.0003619	0.0	79.50263768	90.949	22.44572864	24.57112	21.672	10.67344828	74.096	38.3233982	0.0	44.14109375	33.48851163	12.50013793	12.83585075	19.22097403	22.9887069	7.786772541	11.24365417	11.36755519	28.24403053	Hebdomadis
138065	72.64116981	33.06036885	36.23941962	35.80629677	26.67767114	29.39311821	27.61166418	35.75567442	22.42015302	22.56789105	27.51698658	72.54269831	84.043	30.98623239	32.38087619	32.0757283	23.36137311	39.233	32.37731872	70.89221127	26.55362712	24.54381095	22.59885876	21.23730936	28.35853731	0.0	43.44895522	29.71113922	32.55772425	34.80632044	39.23679564	0.0	0.0	31.03445211	29.16657955	21.10528476	32.39785714	29.00347432	26.39988	19.23108597	34.48272414	17.41756757	23.56287931	31.76787293	14.3244973	16.18244813	100.0	99.552	100.0	100.0	100.0	100.0	100.0	99.71	100.0	100.0	82.29467869	99.526	99.587	99.682	100.0	100.0	99.829	95.34883721	99.51	99.722	99.699	99.578	91.48961047	0.0	36.71480676	0.0	90.952	40.14883271	0.0	0.0	40.0003619	0.0	79.50263768	90.949	22.44572864	25.14312857	21.672	10.67344828	74.096	38.3233982	0.0	43.74971875	33.48851163	12.50013793	12.83585075	19.22097403	22.9887069	7.786772541	11.24365417	11.36755519	28.24403053	Hebdomadis
