Strain,WP_017214685.1,WP_017214686.1,WP_017214689.1,WP_017214691.1,WP_017214692.1,WP_017214703.1,WP_017214711.1,WP_017214712.1,WP_017214714.1,WP_017214717.1,WP_017214718.1,WP_017214719.1,WP_017214720.1,WP_017214721.1,WP_017214722.1,WP_017214735.1,WP_017214737.1,WP_020981159.1,WP_020981199.1,WP_020981216.1,WP_020981230.1,WP_020981249.1,WP_020981272.1,WP_036057970.1,WP_155243473.1,WP_238323712.1,target
1051,21.66693974358974,23.707852049910873,21.791900726392253,13.245934497816593,0.0,78.12509374999999,35.03181174805379,100.0,100.0,99.248,97.5,100.0,46.513105566218805,99.683,99.539,54.36730124777184,80.13610612244898,33.53903395061728,43.0855587529976,39.93706918238994,62.28619444444445,59.119454926624734,39.54783474576271,80.60600000000001,40.70699573430835,33.27311510791367,0
1315,21.923088461538462,25.668430481283423,19.612285714285715,18.34046288209607,0.0,0.0,54.88293736730361,25.1368087431694,48.8235294117647,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.83648163265306,32.71597530864198,14.62852278177458,59.057,44.87220512820513,75.052,86.01666949152542,74.545,46.25212248628885,33.273041366906476,0
148231,21.923088461538462,25.133874331550803,25.908087167070217,13.536982532751091,0.0,0.0,16.984980891719744,0.0,0.0,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.83648163265306,32.71597530864198,16.786896882494002,59.057,45.19220512820513,42.5581215932914,0.0,45.45490909090909,11.700263254113345,0.0,0
148237,21.923088461538462,25.133874331550803,19.612285714285715,18.34046288209607,0.0,0.0,15.923535031847134,25.1368087431694,48.8235294117647,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.42871836734695,32.71597530864198,14.628338129496402,59.245,44.87220512820513,75.052,86.01666949152542,50.90934545454546,46.25212248628885,33.273041366906476,0
148260,21.923088461538462,25.133874331550803,19.612285714285715,18.34046288209607,0.0,0.0,15.923535031847134,25.1368087431694,48.8235294117647,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.42871836734695,32.71597530864198,14.628338129496402,51.69808490566038,44.87220512820513,75.052,86.01666949152542,50.90934545454546,46.25212248628885,33.273041366906476,0
148274,21.923088461538462,25.133874331550803,25.908087167070217,13.536982532751091,0.0,0.0,16.984980891719744,0.0,0.0,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.83648163265306,32.71597530864198,16.786896882494002,59.057,45.19220512820513,42.5581215932914,0.0,45.45490909090909,11.700263254113345,0.0,0
158130,21.15351923076923,25.133874331550803,26.634389830508475,13.536982532751091,0.0,0.0,26.751515923566878,0.0,0.0,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.70618181818182,91.83648163265306,32.71597530864198,16.78625659472422,59.245,46.15369230769231,42.13833962264151,0.0,47.27236363636363,8.043868372943328,0.0,0
158174,21.15351923076923,25.133874331550803,25.908087167070217,13.536982532751091,0.0,0.0,16.984980891719744,0.0,0.0,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.83648163265306,32.71597530864198,16.786896882494002,59.057,45.19220512820513,42.5581215932914,0.0,45.45490909090909,11.700263254113345,0.0,0
178081,21.923088461538462,25.133874331550803,19.612285714285715,18.34046288209607,0.0,0.0,15.923535031847134,25.1368087431694,48.8235294117647,0.0,0.0,0.0,18.233869481765836,0.0,0.0,64.17133689839572,91.42871836734695,32.71597530864198,14.628338129496402,59.245,44.87220512820513,75.052,86.01666949152542,50.90934545454546,46.25212248628885,33.273041366906476,0
200201189,21.538865384615384,24.064467914438502,25.18115738498789,13.536982532751091,0.0,0.0,11.677269639065818,0.0,0.0,0.0,0.0,0.0,19.961658349328214,0.0,0.0,0.0,0.0,33.024361111111105,13.908815347721823,0.0,43.58979166666667,41.71950524109015,11.016813559322033,0.0,7.3127056672760515,0.0,0
