Strain,WP_000378095.1,WP_000653659.1,WP_000797485.1,WP_000855241.1,WP_000883343.1,WP_000980525.1,WP_001968196.1,WP_002081174.1,WP_002081175.1,WP_232428240.1,target
1051,74.32420720720721,66.16461746987952,91.85,98.009,77.75618897637796,28.63085062240664,86.53834294871794,97.74,53.885969813744374,0.0,0
1315,66.89178378378378,99.398,0.0,0.0,0.0,29.0458755186722,100.0,0.0,13.101996146435454,0.0,0
148231,98.986,98.494,99.373,99.779,100.0,100.0,100.0,99.718,99.615,0.0,0
148237,66.89178378378378,99.398,0.0,0.0,0.0,29.0458755186722,100.0,0.0,13.101996146435454,0.0,0
148260,66.89178378378378,99.398,0.0,0.0,0.0,29.0458755186722,100.0,0.0,13.101996146435454,0.0,0
148274,98.986,98.494,99.373,99.779,100.0,100.0,100.0,99.718,99.615,0.0,0
158130,99.324,76.20506024096385,0.0,0.0,0.0,28.21563485477179,0.0,0.0,0.0,0.0,0
158174,98.986,87.04790963855423,99.373,99.779,100.0,100.0,100.0,99.718,99.615,0.0,0
178081,66.89178378378378,99.398,0.0,0.0,0.0,29.0458755186722,100.0,0.0,13.101996146435454,0.0,0
200201189,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
20021189,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
2006006962,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
2006006968,99.324,87.349,96.552,99.336,100.0,28.21563485477179,100.0,99.718,99.229,0.0,0
2006006986,99.324,98.494,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0
200702274,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.89727350427351,0.0,0.0,0.0,0
200703020,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
200703021,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
200801774,90.8780945945946,59.33722891566265,0.0,0.0,0.0,79.253,14.743589743589745,0.0,0.0,0.0,0
2008720116,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
2008720117,66.89178378378378,99.398,0.0,0.0,0.0,28.21563485477179,100.0,0.0,13.101996146435454,0.0,0
200901118,90.54071621621623,71.6871686746988,0.0,0.0,0.0,29.460174273858918,69.87184615384615,0.0,0.0,0.0,0
200901868,90.54071621621623,76.506,0.0,0.0,0.0,29.460174273858918,85.897,0.0,0.0,0.0,0
201102933,65.20281081081082,39.45784789156626,0.0,0.0,0.0,28.216120331950208,0.0,0.0,12.138895953757226,0.0,0
201401993,90.8780945945946,59.33722891566265,0.0,0.0,0.0,79.253,14.743589743589745,0.0,0.0,0.0,0
201402975,90.8780945945946,76.506,0.0,0.0,0.0,79.253,85.897,0.0,0.0,0.0,0
