Strain,WP_000093099.1,WP_000525968.1,WP_000776640.1,WP_001106774.1,WP_001255897.1,WP_002078515.1,WP_016689799.1,WP_223809837.1,target
012K,37.37363636363636,44.56869080779944,38.475747211895914,81.05551558752997,64.99963333333334,0.0,0.0,14.553915492957746,0
028K,37.37363636363636,44.56869080779944,38.475747211895914,81.05551558752997,64.99963333333334,0.0,0.0,14.553915492957746,0
080K,37.37363636363636,44.56869080779944,38.475747211895914,81.05551558752997,64.99963333333334,0.0,0.0,14.553915492957746,0
138034,39.393979797979796,45.40425626740947,38.662122676579926,58.2731654676259,100.0,60.0,0.0,70.89221126760563,0
1530d,97.98,99.443,38.662122676579926,98.321,100.0,100.0,93.54838709677419,99.53009389671362,1
158145,39.393979797979796,45.40425626740947,38.662122676579926,58.2731654676259,100.0,60.0,0.0,70.89221126760563,0
168079,39.393979797979796,45.40425626740947,38.662122676579926,58.2731654676259,100.0,60.0,0.0,70.89221126760563,0
168148,39.393979797979796,45.40425626740947,38.662122676579926,58.2731654676259,100.0,60.0,0.0,70.89221126760563,0
178047,39.393979797979796,45.40425626740947,38.662122676579926,58.2731654676259,100.0,60.0,0.0,70.89221126760563,0
178101,39.393979797979796,45.40425626740947,38.662122676579926,58.2731654676259,100.0,60.0,0.0,70.89221126760563,0
185K,37.37363636363636,44.56869080779944,38.475747211895914,81.05551558752997,64.99963333333334,0.0,0.0,14.553915492957746,0
189K,37.37363636363636,44.56869080779944,38.475747211895914,81.05551558752997,64.99963333333334,0.0,0.0,14.553915492957746,0
198076,98.99,45.40425626740947,100.0,99.76,100.0,60.0,0.0,99.531,1
198085,37.37363636363636,44.56869080779944,89.963,81.05551558752997,64.99963333333334,0.0,0.0,14.553915492957746,0
200010104,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
2002000634,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,89.90634507042253,1
2002009669,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,89.90634507042253,1
200201191,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
200202130,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
200208340,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
200209405,98.99,16.434540389972145,38.662122676579926,99.76,60.0,59.99994,100.0,99.531,1
200210329,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
200302438,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
200309516,98.99,51.810459610027856,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
200412424,98.99,99.443,38.662122676579926,99.76,60.0,60.0,100.0,99.531,1
2006006960,39.393979797979796,33.84421587743733,27.044835501858735,53.59689928057554,43.333200000000005,0.0,0.0,68.54483802816901,0
