Strain,WP_010578338.1,WP_010578351.1,WP_010578352.1,WP_010578362.1,WP_010578363.1,WP_010578364.1,WP_010578367.1,WP_010578386.1,WP_010578389.1,WP_010578390.1,WP_010578397.1,WP_020984822.1,WP_020984854.1,WP_020984865.1,WP_020984884.1,WP_020984929.1,WP_020984992.1,WP_020984998.1,WP_020985003.1,WP_020985009.1,WP_020985010.1,WP_039942433.1,WP_039942515.1,WP_039942517.1,WP_176082391.1,WP_244265121.1,target
012K,72.99195706371192,0.0,7.168387096774193,0.0,0.0,0.0,50.1398431372549,19.999790476190476,0.0,40.29884908789386,0.0,0.0,0.0,0.0,54.33558670520231,76.955,11.693395161290324,6.923015384615385,77.03027378190255,72.26885154061625,83.64224620573356,25.245294117647056,0.0,17.446808510638295,23.42928692699491,45.36456953642384,0
028K,49.86178254847645,0.0,7.168387096774193,0.0,0.0,0.0,50.1398431372549,19.999790476190476,0.0,40.29884908789386,0.0,0.0,0.0,0.0,54.33558670520231,76.955,11.693395161290324,6.923015384615385,77.03027378190255,72.26885154061625,83.64224620573356,25.245294117647056,0.0,17.446808510638295,23.42928692699491,45.36456953642384,0
080K,72.99195706371192,0.0,7.168387096774193,0.0,0.0,0.0,50.1398431372549,19.999790476190476,0.0,40.29884908789386,0.0,0.0,0.0,0.0,54.33558670520231,76.955,11.693395161290324,6.923015384615385,77.03027378190255,72.26885154061625,83.64224620573356,25.245294117647056,0.0,17.446808510638295,23.42928692699491,45.36456953642384,0
138034,68.69826869806094,82.35294117647058,8.243716845878135,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,40.13265671641791,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,6.666769230769231,74.01432946635731,28.571002801120446,57.67251602023609,20.83354656862745,0.0,17.446808510638295,84.8897674023769,42.384456953642385,0
1530d,68.97541551246537,82.35294117647058,61.29009318996416,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,45.77146268656716,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,13.589874358974358,74.01432946635731,28.151362745098037,57.58826644182125,82.59784926470587,0.0,17.446808510638295,82.85240152801359,45.69518874172186,0
158145,68.69826869806094,82.35294117647058,8.243716845878135,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,40.13265671641791,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,6.666769230769231,74.01432946635731,28.571002801120446,57.67251602023609,20.83354656862745,0.0,17.446808510638295,84.8897674023769,42.384456953642385,0
168079,68.69826869806094,82.35294117647058,8.243716845878135,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,40.13265671641791,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,6.666769230769231,74.01432946635731,28.571002801120446,57.67251602023609,20.83354656862745,0.0,17.446808510638295,84.8897674023769,42.384456953642385,0
168148,68.69826869806094,82.35294117647058,8.243716845878135,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,40.13265671641791,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,6.666769230769231,54.988146171693735,28.571002801120446,57.67251602023609,20.83354656862745,0.0,17.446808510638295,84.8897674023769,42.384456953642385,0
178047,68.69826869806094,82.35294117647058,8.243716845878135,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,40.13265671641791,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,6.666769230769231,74.01432946635731,28.571002801120446,57.67251602023609,20.83354656862745,0.0,17.446808510638295,84.8897674023769,42.384456953642385,0
178101,68.69826869806094,82.35294117647058,8.243716845878135,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,40.13265671641791,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,14.919354838709676,6.666769230769231,74.01432946635731,28.571002801120446,57.67251602023609,20.83354656862745,0.0,17.446808510638295,84.8897674023769,42.384456953642385,0
185K,72.99195706371192,0.0,7.168387096774193,0.0,0.0,0.0,50.1398431372549,19.999790476190476,0.0,40.29884908789386,0.0,0.0,0.0,0.0,54.33558670520231,76.955,11.693395161290324,6.923015384615385,77.03027378190255,72.26885154061625,83.64224620573356,25.245294117647056,0.0,17.446808510638295,23.42928692699491,45.36456953642384,0
189K,72.99195706371192,0.0,7.168387096774193,0.0,0.0,0.0,50.1398431372549,19.999790476190476,0.0,40.29884908789386,0.0,0.0,0.0,0.0,54.33558670520231,76.955,11.693395161290324,6.923015384615385,77.03027378190255,72.26885154061625,83.64224620573356,25.245294117647056,0.0,17.446808510638295,23.42928692699491,45.36456953642384,0
198076,68.83684210526317,82.35294117647058,29.74951971326165,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,45.77146268656716,0.0,0.0,0.0,0.0,87.86150289017341,33.74485596707819,0.0,13.589874358974358,73.55033874709977,28.29129411764706,57.67251602023609,82.843,0.0,17.446808510638295,84.88941256366722,46.35798675496689,0
198085,72.99195706371192,0.0,7.168387096774193,0.0,0.0,0.0,50.1398431372549,19.999790476190476,0.0,40.29884908789386,0.0,0.0,0.0,0.0,54.33558670520231,76.955,11.693395161290324,6.923015384615385,77.03027378190255,72.26885154061625,83.30555817875211,25.490661764705884,0.0,17.446808510638295,23.42928692699491,45.36456953642384,0
200010104,68.83684210526317,82.35294117647058,67.02521146953404,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,45.77146268656716,0.0,0.0,0.0,0.0,88.15040462427746,33.74485596707819,0.0,13.589874358974358,74.01432946635731,28.571733893557422,57.67251602023609,22.549083333333332,0.0,17.446808510638295,82.85270797962649,46.35798675496689,0
2002000634,60.80297783933518,82.35294117647058,67.02521146953404,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,45.77146268656716,0.0,0.0,0.0,0.0,88.15040462427746,33.74485596707819,0.0,13.589874358974358,74.01432946635731,28.571733893557422,57.75705059021922,22.549083333333332,0.0,17.446808510638295,82.85240152801359,46.35798675496689,0
2002009669,68.83684210526317,82.35294117647058,67.02521146953404,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,45.77146268656716,0.0,0.0,0.0,0.0,88.15040462427746,33.74485596707819,0.0,13.589874358974358,74.01432946635731,28.571733893557422,57.75705059021922,22.549083333333332,0.0,17.446808510638295,82.85240152801359,46.35798675496689,0
200201191,68.83684210526317,82.35294117647058,67.02521146953404,0.0,0.0,0.0,49.859764705882355,20.95230476190476,10.752774193548387,45.77146268656716,0.0,0.0,0.0,0.0,88.15040462427746,33.74485596707819,0.0,13.589874358974358,74.01432946635731,28.571733893557422,57.67251602023609,22.549083333333332,0.0,17.446808510638295,82.85270797962649,46.35798675496689,0
