Strain,WP_004753611.1,WP_004753843.1,WP_004754565.1,WP_004754967.1,WP_004777126.1,WP_016560398.1,WP_016560406.1,WP_016560426.1,WP_016560441.1,WP_016560449.1,WP_016560456.1,WP_016560457.1,WP_016560467.1,WP_016748630.1,WP_016748641.1,WP_016748654.1,WP_099046747.1,WP_162833666.1,WP_244266170.1,target
1051,82.68054457694491,16.18284232365145,81.36972809667674,98.21733333333333,6.0855098684210525,74.172797417272,23.384372448979594,80.93945764272559,49.42494636015326,50.946641152263375,0.0,0.0,39.457243686868686,16.416366366366365,58.15619858156028,63.81583552631578,32.81245833333333,64.77965283018868,18.648586486486487,0
1315,46.677803236797274,16.18284232365145,77.03904531722056,93.048,0.0,29.297457627118643,29.081249999999997,80.66255801104971,40.80451724137931,36.54327901234568,0.0,0.0,92.235,17.417567567567566,90.957,40.78934210526316,15.6248828125,41.88688301886792,0.0,0
148231,83.30447189097104,16.18284232365145,77.03904531722056,93.048,0.0,86.925,25.765790816326533,30.93875414364641,55.172,65.1854987654321,0.0,0.0,92.045,17.417567567567566,90.957,39.474131578947365,10.93748828125,50.943532075471694,13.78371891891892,0
148237,83.47491482112436,16.18284232365145,77.03904531722056,93.048,0.0,29.297457627118643,29.081249999999997,81.76749723756906,40.80451724137931,36.54327901234568,0.0,0.0,92.045,17.417567567567566,90.957,42.10494736842105,15.6248828125,51.698354716981136,0.0,0
148260,83.47491482112436,16.18284232365145,77.03904531722056,93.048,0.0,29.297457627118643,29.081249999999997,81.76749723756906,40.80451724137931,36.54327901234568,0.0,0.0,78.03057196969696,17.417567567567566,90.957,42.10494736842105,15.6248828125,51.698354716981136,0.0,0
148274,83.30447189097104,16.18284232365145,77.03904531722056,93.048,0.0,86.925,25.765790816326533,30.93875414364641,55.172,65.1854987654321,0.0,0.0,92.045,17.417567567567566,90.957,42.105,10.93748828125,50.943532075471694,13.78371891891892,0
158130,83.30447189097104,98.34,58.00595166163142,93.048,94.73657894736843,88.62,26.02008163265306,80.38712983425415,54.598,64.44407407407407,0.0,98.63,91.856,17.417567567567566,90.426,43.42157894736842,14.452984375,18.11320754716981,13.513427027027028,0
158174,72.06111073253832,16.18284232365145,67.3712990936556,93.048,0.0,86.925,25.765790816326533,30.93875414364641,55.172,65.1854987654321,0.0,0.0,92.045,17.417567567567566,90.957,42.105,10.93748828125,50.943532075471694,13.78371891891892,0
178081,83.47491482112436,16.18284232365145,77.03904531722056,93.048,0.0,29.297457627118643,29.081249999999997,81.76749723756906,40.80451724137931,36.54327901234568,0.0,0.0,92.045,17.417567567567566,90.957,42.10494736842105,15.6248828125,51.698354716981136,0.0,0
200201189,100.0,100.0,99.698,100.0,100.00020394736842,93.462,22.19395918367347,31.491687845303872,54.023,65.92581728395062,0.0,99.452,0.0,16.21595195195195,0.0,52.63184210526316,10.54694140625,35.094339622641506,11.621699999999999,0
