Unnamed: 0	WP_002725873.1	WP_002740826.1	WP_002740861.1	WP_032853071.1	WP_002740804.1	WP_002740724.1	WP_016749081.1	WP_002738232.1	WP_002740722.1	WP_002740041.1	WP_002738295.1	WP_002733661.1	WP_050547976.1	WP_002727927.1	WP_000406134.1	WP_000275679.1	WP_000799637.1	WP_000579813.1	WP_000600954.1	WP_004503087.1	WP_061236010.1	WP_004503102.1	WP_223809837.1	WP_001106774.1	WP_002733615.1	WP_039942433.1	WP_244265121.1	WP_010578390.1	WP_000667982.1	WP_003009953.1	WP_036096970.1	WP_003009503.1	WP_003009636.1	WP_036096962.1	WP_196221670.1	WP_003009473.1	WP_003009310.1	WP_282974009.1	WP_004479640.1	WP_282974006.1	WP_004479635.1	WP_282973988.1	WP_004434477.1	WP_004434773.1	WP_004434738.1	WP_004434663.1	WP_004434686.1	WP_004434935.1	WP_004421329.1	WP_004421044.1	WP_004448468.1	WP_036063888.1	WP_243817855.1	WP_004450690.1	WP_004450706.1	WP_004421460.1	WP_004450681.1	WP_036063866.1	WP_004450670.1	WP_016748630.1	WP_016560406.1	WP_016560441.1	WP_016560449.1	WP_016560426.1	WP_016560398.1	WP_244266170.1	WP_016560457.1	WP_000980525.1	WP_000653659.1	WP_017214689.1	WP_020981249.1	WP_001256699.1	WP_002076509.1	WP_000535865.1	WP_001117631.1	WP_000697351.1	WP_029781911.1	WP_000041234.1	WP_002108487.1	WP_002108506.1	WP_002108483.1	WP_025180280.1	WP_002108502.1	WP_002108526.1	WP_000651740.1	WP_000579360.1	WP_000723079.1	WP_002108504.1	WP_237578347.1	WP_100224632.1	WP_000361605.1	WP_000699347.1	WP_000623952.1	WP_000208484.1	WP_000723077.1	WP_000853941.1	WP_000125000.1	WP_000950837.1	WP_000952994.1	WP_000721297.1	WP_000358359.1	WP_000513413.1	WP_032921258.1_26	WP_004483359.1_59	WP_004462133.1_63	WP_004462125.1_70	WP_004478059.1_71	WP_016551793.1_72	WP_004462889.1_79	WP_004477915.1_81	WP_061209098.1	True_serogroup
2006006986	72.64116981	95.628	95.368	92.903	25.54756691	26.67767114	29.39311821	26.86525373	31.68630523	22.42015302	24.12432296	20.47004027	72.88122034	84.397	79.839	26.68295192	30.98623239	32.38087619	99.245	0.0	23.19327059	31.85853982	70.89221127	27.09815348	80.79105085	22.30433333	30.13266556	24.54381095	22.70504348	80.79105085	75.2019407	21.23730936	31.95146341	28.35853731	0.0	0.0	19.26887043	83.33309069	32.32066298	25.05877283	38.96453951	0.0	0.0	44.82763218	37.74069712	29.05530266	45.67489273	49.84968468	96.935	95.076	88.566	92.96501843	95.918	83.0	90.03	97.6	95.701	92.337	72.50739577	17.41756757	26.02008163	54.598	64.44417778	29.55769337	86.683	13.78371892	98.63	100.0	98.494	26.63438983	42.34775681	0.0	32.28668161	30.76888034	30.74911628	0.0	15.55964161	26.37851799	0.0	21.29652778	0.0	31.81780165	30.57334395	39.71591489	15.61447176	38.23522059	31.92795181	26.58253165	0.0	47.95525651	51.75884757	30.8568	0.0	21.672	28.6145	36.82622754	44.14109375	33.48851163	43.9865945	40.23	0.0	0.0	85.45422078	0.0	13.79295402	0.0	7.786772541	0.0	0.0	11.24365417	24.68181679	Grippotyphosa
ip1512014	72.64116981	95.628	95.64	93.871	25.06096837	26.67767114	29.39311821	27.61166418	31.39553779	22.42015302	23.73561479	20.47004027	72.54269831	83.688	0.0	28.12526202	30.98623239	32.38087619	99.623	48.05205195	23.36137311	32.44846018	70.89221127	26.61863309	53.67261017	54.65671569	30.46309934	24.54381095	24.1542029	52.54210169	0.0	21.23730936	29.51180488	29.10418657	0.0	0.0	19.26887043	63.23544118	75.96705801	26.22988525	39.23679564	0.0	0.0	41.37883908	36.53859375	29.29787409	46.0202699	51.6512973	96.935	95.455	65.69807558	92.46186265	95.663	83.0	90.03	97.2	95.701	91.954	76.737	86.18628228	99.745	90.805	94.815	96.133	66.586	92.703	0.0	28.21563485	87.349	24.69723971	41.29946541	100.0	31.83881166	30.76888034	30.74911628	0.0	15.38445804	26.37851799	0.0	21.29652778	0.0	32.23119008	30.89178344	39.71591489	15.61447176	38.72529412	29.81915964	21.09702532	0.0	44.23791822	51.92643216	30.8568	0.0	21.672	28.91559036	36.82634731	44.14109375	33.48851163	44.33021649	40.374	0.0	0.0	85.45422078	0.0	14.36786207	0.0	7.786772541	0.0	0.0	11.07311414	24.68181679	Pomona
pom_str68	72.64116981	95.628	95.64	93.871	25.06096837	26.67767114	29.39311821	27.61166418	31.39553779	22.42015302	23.73561479	20.47004027	72.54269831	83.688	0.0	28.12526202	30.98623239	32.38087619	99.623	48.05205195	23.36137311	32.44846018	70.89221127	26.61863309	53.67261017	54.65671569	30.46309934	24.54381095	24.1542029	52.54210169	0.0	21.23730936	29.51180488	29.10418657	0.0	0.0	19.26887043	63.23544118	75.96705801	26.22988525	39.23679564	0.0	0.0	41.37883908	36.53859375	29.29787409	46.0202699	51.6512973	96.935	95.455	65.69807558	92.46186265	95.663	83.0	90.03	97.2	95.701	91.954	76.737	86.18628228	99.745	90.805	94.815	96.133	66.586	92.703	0.0	28.21563485	87.349	24.69723971	41.29946541	100.0	31.83881166	30.76888034	30.74911628	0.0	15.38445804	26.37851799	0.0	21.29652778	0.0	32.23119008	30.89178344	39.71591489	15.61447176	38.72529412	29.81915964	21.09702532	0.0	39.40507807	51.92643216	30.8568	0.0	21.672	28.91559036	36.82634731	44.14109375	33.48851163	44.33021649	40.374	0.0	0.0	85.45422078	0.0	14.36786207	0.0	7.786772541	0.0	0.0	11.07311414	24.68181679	Pomona
2008720116	72.64116981	28.96139891	32.42500817	88.71	37.9566399	26.67767114	29.39311821	0.0	31.68630523	22.42015302	24.12432296	20.47004027	0.0	84.043	0.0	37.01953125	0.0	32.38087619	98.868	58.11659416	23.36137311	31.85853982	70.89221127	36.21131415	43.50262147	26.47096078	43.04606623	24.54381095	33.81638647	41.8079548	0.0	21.23730936	30.732	0.0	0.0	0.0	19.26887043	36.27469118	80.66345304	33.72329977	35.42215531	0.0	76.87105102	80.45943103	78.6055024	62.4695109	44.63692042	51.05135135	96.935	95.455	40.89143411	57.11859296	80.102	47.33338333	17.82467674	26.39988	29.185819	34.86576628	72.80930514	17.41756757	29.08125	40.80451724	36.54327901	80.3863232	29.29745763	0.0	0.0	28.21563485	99.398	14.04347942	74.63339203	0.0	31.83881166	30.34182051	24.54787597	0.0	15.03498776	22.06252278	0.0	21.29652778	0.0	31.81780165	30.57334395	39.71591489	15.61447176	38.72529412	29.51846386	21.09702532	0.0	44.23791822	50.25144054	49.429	0.0	21.672	28.6145	36.82622754	44.14109375	33.95333953	62.8861512	44.10883333	0.0	0.0	85.19512987	0.0	14.36786207	0.0	7.581987705	0.0	0.0	11.07311414	24.68181679	Australis
niid12	72.64116981	95.628	95.64	93.548	25.30374696	26.67767114	29.39311821	27.61166418	31.39553779	22.42015302	23.73561479	20.13408054	72.54269831	84.043	0.0	26.68248798	30.98623239	32.38087619	100.0	87.662	23.19327059	32.44846018	70.42220657	27.33841966	80.79105085	22.30433333	30.13266556	24.54381095	22.94686957	80.79105085	0.0	21.23730936	31.95146341	29.10418657	0.0	0.0	18.93694352	82.84335294	80.93886188	25.29288993	39.23679564	0.0	0.0	44.82763218	37.74	28.81341404	46.0202699	51.6512973	96.935	95.455	90.116	92.46186265	95.918	83.0	90.03	97.2	95.701	91.571	76.737	17.41756757	26.02008163	54.598	64.44407407	80.38712983	88.62	13.78371892	0.0	28.21563485	87.349	26.14966344	42.34775681	0.0	31.83881166	30.76888034	30.74911628	0.0	15.38445804	26.37851799	0.0	21.29652778	0.0	32.23119008	30.89178344	39.71591489	15.61447176	38.72529412	31.92795181	26.16007595	0.0	44.23791822	51.75884757	30.8568	0.0	21.672	28.91559036	36.82634731	44.14109375	33.48851163	44.33021649	40.374	0.0	0.0	85.45422078	0.0	14.36786207	0.0	7.786772541	0.0	0.0	11.24365417	24.68181679	Autumnalis
201801189	72.64116981	95.355	95.64	93.871	25.06051582	26.67767114	29.71286901	27.61166418	31.39553779	22.42015302	24.12432296	20.47004027	72.54269831	84.397	0.0	26.44252644	30.98623239	32.38087619	98.868	87.662	25.54621008	32.44846018	70.89221127	27.33841966	80.79105085	22.54908333	29.80099338	24.54381095	22.94686957	80.79105085	0.0	21.23730936	32.19497561	28.35853731	0.0	0.0	19.26887043	82.59788971	80.93886188	25.76073302	38.96453951	0.0	0.0	44.82763218	37.74	28.81341404	45.67489273	49.84968468	96.935	95.455	90.116	92.29514238	95.918	83.0	90.03	97.6	95.701	91.954	72.50739577	17.41756757	25.76579082	54.598	64.69122963	80.38712983	88.862	13.78371892	0.0	28.21563485	98.494	26.39202663	42.34775681	0.0	31.83881166	30.76888034	25.58114729	0.0	15.55964161	26.37851799	0.0	21.29652778	0.0	31.81780165	30.57334395	39.71591489	15.61447176	38.23522059	31.92795181	26.58253165	0.0	43.49424535	51.75884757	30.57094286	0.0	21.672	28.6145	36.82634731	44.14109375	33.48851163	43.9865945	40.23	0.0	0.0	85.71428571	0.0	14.3677069	0.0	11.27036885	0.0	0.0	11.24365417	24.68181679	Autumnalis
puo_1247	70.75439623	98.907	99.183	99.677	24.57405353	26.84550503	28.43484984	27.61164179	32.55821221	23.13135943	24.12432296	15.43645638	70.50880678	87.234	0.0	26.20191106	30.98630282	32.38087619	89.811	87.338	23.19327059	32.15294985	70.89221127	26.85870504	95.48	25.24529412	30.13253642	24.04629187	21.98052174	75.70585311	0.0	21.23730936	30.24421463	29.10447761	16.12908602	0.0	22.92329568	82.59811275	81.76767956	25.76147541	38.96453951	0.0	0.0	40.23	37.74013462	29.05566102	46.0202699	51.95182583	95.785	94.697	91.08518023	96.48268844	96.939	83.333	91.23851964	97.6	96.154	88.889	75.529	17.71756757	25.51067857	53.448	65.92601481	84.53084254	96.126	18.64858649	0.0	29.04553942	76.506	25.18148184	42.97706918	0.0	30.49377578	30.34182051	31.0073385	0.0	14.3358042	25.89939568	0.0	21.75935185	0.0	31.40542149	30.25490446	39.71591489	15.28237874	38.23522059	29.81915964	27.00394937	0.0	20.81800743	52.26142714	30.57140286	0.0	21.98164706	28.6145	37.12551497	44.14109375	33.95333953	45.36049485	39.51195259	0.0	0.0	84.6756	0.0	13.79312644	0.0	7.786772541	0.0	0.0	11.24365417	24.42774046	Autumnalis
valbuzzi	72.64116981	95.355	95.64	92.581	25.54756691	25.00005369	29.39311821	26.86525373	31.68630523	22.42015302	23.73561479	20.47004027	72.88122034	43.26259574	79.839	26.68295192	30.98623239	17.14304127	51.32089811	0.0	23.36137311	31.85853982	69.4831784	27.09815348	81.35621469	22.54908333	30.13266556	24.37843449	22.70504348	81.35621469	75.2019407	21.23730936	32.19497561	28.35853731	0.0	0.0	19.26887043	82.84316912	32.87264917	25.05877283	38.41964305	0.0	0.0	45.40192529	37.50021635	29.05530266	45.67489273	50.75063063	95.785	94.318	89.341	92.62958124	95.408	83.0	46.82798187	97.6	95.475	91.954	76.737	17.41756757	25.5104949	54.598	64.44417778	29.55769337	86.683	13.78371892	98.63	100.0	86.145	26.14966344	42.55812159	0.0	20.17914798	30.76888034	31.00768992	0.0	15.55964161	26.37851799	0.0	0.0	0.0	31.81780165	30.57334395	39.36174468	15.61447176	38.23522059	32.22878313	26.16007595	0.0	28.99628253	51.59126298	30.8568	0.0	18.26609907	28.31346084	36.82622754	43.74971875	33.48851163	43.9865945	40.374	0.0	0.0	44.41563636	0.0	14.36786207	0.0	7.786772541	0.0	0.0	10.73240204	24.68181679	Grippotyphosa
201601172	72.64116981	95.628	95.64	93.871	25.06096837	26.67767114	29.39311821	27.61166418	31.39553779	22.42015302	23.73561479	20.47004027	72.54269831	83.688	0.0	28.12526202	30.98623239	32.38087619	99.623	48.05205195	23.36137311	32.44846018	70.89221127	26.61863309	53.67261017	54.65671569	30.46309934	24.54381095	24.1542029	52.54210169	0.0	21.23730936	29.51180488	29.10418657	0.0	0.0	19.26887043	63.23544118	75.96705801	26.22988525	39.23679564	0.0	0.0	41.37883908	36.53859375	29.29787409	46.0202699	51.6512973	96.935	95.455	65.69807558	92.46186265	95.663	83.0	90.03	97.2	95.701	91.954	76.737	86.18628228	99.745	90.805	94.815	96.133	66.586	92.703	0.0	28.21563485	87.349	24.69723971	41.29946541	100.0	31.83881166	30.76888034	30.74911628	0.0	15.38445804	26.37851799	0.0	21.29652778	0.0	32.23119008	30.89178344	39.71591489	15.61447176	38.72529412	29.81915964	21.09702532	0.0	39.03363569	51.92643216	30.8568	0.0	21.672	28.91559036	36.82634731	44.14109375	33.48851163	44.33021649	40.374	0.0	0.0	85.45422078	0.0	14.36786207	0.0	7.786772541	0.0	0.0	11.07311414	24.68181679	Pomona
200703021	70.75439623	98.907	99.183	99.677	24.57405353	27.01355201	28.43484984	27.61164179	32.55821221	23.13135943	24.12432296	15.10055034	69.83013559	87.234	77.688	26.20191106	30.98630282	32.38087619	90.189	0.0	23.36151261	32.15294985	70.89221127	26.85870504	97.175	22.54921078	30.13253642	24.04629187	23.67163043	75.14106215	74.393531	21.23730936	30.24421463	29.10447761	16.12908602	0.0	23.2557907	82.35324755	33.14881768	25.76147541	38.96453951	0.0	0.0	40.80491379	36.53804808	28.57179661	46.36663668	51.95182583	95.785	94.697	90.5040562	95.98037688	96.684	83.667	90.93643505	97.6	96.38	88.889	75.529	16.21595195	22.19395918	54.023	65.92581728	31.49168785	93.462	18.64858649	99.452	79.253	76.506	25.18148184	41.71950524	0.0	28.2509417	30.34182051	31.0073385	0.0	14.3358042	25.89939568	0.0	21.75935185	0.0	31.40542149	30.25490446	39.71591489	15.28237874	38.23522059	32.22856928	27.00394937	0.0	23.0480855	52.26142714	30.57140286	0.0	22.29129412	29.21673193	37.12551497	44.14109375	33.95333953	45.01707216	39.51195259	0.0	0.0	50.64964156	0.0	14.65527874	0.0	7.786772541	0.0	0.0	11.24365417	24.42774046	Grippotyphosa
