Strain,WP_004421460.1,WP_004448468.1,WP_004450670.1,WP_004450672.1,WP_004450681.1,WP_004450690.1,WP_004450693.1,WP_004450706.1,WP_004450713.1,WP_036063866.1,WP_036063888.1,WP_157226958.1,WP_232724681.1,WP_232724703.1,WP_243817842.1,WP_243817847.1,WP_243817854.1,WP_243817855.1,WP_243817856.1,WP_243817857.1,WP_279575096.1,target
1051,74.26666666666667,74.22468475452197,65.45853776435045,46.3274011299435,72.77552941176471,69.9997,88.38089333333333,68.3784390735146,80.645,61.55797956577266,83.41734338358458,75.47175471698114,26.95638260869565,23.39758846153846,68.08525531914893,58.333378787878786,72.3652935483871,87.6701581632653,31.849869109947644,49.152813559322034,36.69470494864612,1
1315,26.39988,40.697271317829454,72.80930513595167,93.22,29.185819004524888,47.33338333333333,92.857,22.356244712990936,79.355,34.865766283524906,57.118592964824124,33.01887735849057,34.7826695652174,90.57685192307693,0.0,36.36351515151515,19.35483870967742,80.102,76.30906282722512,50.84786440677966,15.40623529411765,0
148231,97.6,88.76,72.50739577039276,0.0,95.02264253393665,83.0,90.85666571428571,90.332,79.355,91.571,92.96501842546063,39.62249056603774,0.0,13.653692307692308,0.0,54.544848484848494,68.38689354838709,95.918,49.73805235602094,0.0,15.686319327731091,0
148237,26.39988,40.697271317829454,72.80930513595167,93.22,29.185819004524888,47.33338333333333,92.571,22.356244712990936,79.355,34.865766283524906,57.118592964824124,32.075490566037736,34.7826695652174,90.57685192307693,0.0,42.42454545454545,19.35483870967742,80.102,54.18875392670157,50.84786440677966,15.966302521008405,0
148260,26.39988,40.697271317829454,72.80930513595167,93.22,29.185819004524888,47.33338333333333,92.571,22.356244712990936,79.355,34.865766283524906,57.118592964824124,32.075490566037736,34.7826695652174,90.57685192307693,0.0,42.42454545454545,19.35483870967742,80.102,41.099418848167545,50.84786440677966,15.966302521008405,0
148274,97.6,88.76,72.50739577039276,0.0,95.02264253393665,83.0,90.85666571428571,90.332,79.355,91.571,92.96501842546063,39.62249056603774,0.0,13.653692307692308,0.0,54.544848484848494,68.38689354838709,95.918,43.45570680628272,0.0,15.686319327731091,0
158130,97.6,90.31,54.0783081570997,0.0,94.79619004524888,83.0,89.42874285714285,90.332,0.0,91.188,92.62958123953098,39.62301886792453,0.0,0.0,0.0,42.424166666666665,38.38732258064516,95.663,64.65939267015706,0.0,20.44847619047619,1
158174,97.6,88.76,62.839613293051364,0.0,95.02264253393665,83.0,90.85666571428571,90.332,79.355,91.571,92.79729983249581,39.62249056603774,0.0,13.653692307692308,0.0,54.544848484848494,68.38689354838709,95.918,49.73805235602094,0.0,15.686319327731091,0
178081,26.39988,40.697271317829454,72.80930513595167,93.22,29.185819004524888,47.33338333333333,92.571,22.356244712990936,79.355,34.865766283524906,57.118592964824124,32.075490566037736,34.7826695652174,90.57685192307693,0.0,42.42454545454545,19.35483870967742,80.102,54.450146596858644,50.84786440677966,15.966302521008405,0
200201189,97.6,90.50405620155038,75.529,0.0,96.38,83.667,92.00038857142856,91.23851963746223,80.0,88.889,96.14781407035177,54.71675471698113,19.999721739130436,0.0,55.31940425531914,48.4849393939394,67.09674516129031,96.684,13.612502617801047,0.0,47.61913725490196,0
20021189,97.6,90.50405620155038,75.529,0.0,96.38,83.667,92.00038857142856,91.23851963746223,80.0,88.889,96.14781407035177,54.71675471698113,20.86973913043478,0.0,57.447,48.4849393939394,67.09674516129031,96.684,13.612502617801047,0.0,47.61913725490196,0
2006006962,97.2,65.69807558139534,76.737,0.0,95.36182126696832,83.0,90.57148285714285,90.03,79.355,91.954,92.46186264656616,39.62301886792453,0.0,13.653692307692308,0.0,37.87909090909091,14.838716129032258,95.663,51.57070680628272,0.0,16.52672268907563,0
