Strain,WP_002721297.1,WP_002721301.1,WP_002725873.1,WP_002727913.1,WP_002727921.1,WP_002727923.1,WP_002727925.1,WP_002727927.1,WP_002733534.1,WP_002733546.1,WP_002733548.1,WP_002733553.1,WP_002733572.1,WP_002733582.1,WP_002733599.1,WP_002733600.1,WP_002733603.1,WP_002733611.1,WP_002733618.1,WP_002733619.1,WP_002733627.1,WP_002733636.1,WP_002733638.1,WP_002733646.1,WP_002733661.1,WP_002733711.1,WP_002733722.1,WP_002733757.1,WP_002738232.1,WP_002738295.1,WP_002740024.1,WP_002740041.1,WP_002740063.1,WP_002740235.1,WP_002740242.1,WP_002740249.1,WP_002740294.1,WP_002740298.1,WP_002740692.1,WP_002740695.1,WP_002740721.1,WP_002740722.1,WP_002740724.1,WP_002740726.1,WP_002740729.1,WP_002740804.1,WP_002740808.1,WP_002740826.1,WP_002740848.1,WP_002740861.1,WP_002740862.1,WP_002740875.1,WP_002740902.1,WP_002740917.1,WP_002740926.1,WP_002740938.1,WP_002740998.1,WP_002741071.1,WP_002742128.1,WP_002744551.1,WP_016749081.1,WP_016749097.1,WP_026054882.1,WP_032853071.1,WP_050547976.1,WP_078313319.1,WP_139363593.1,WP_228029599.1,WP_230456805.1,WP_230456811.1,target
012K,99.747,99.734,100.0,100.0,100.0,100.0,100.0,98.582,99.088,100.0,100.0,100.0,99.728,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.27507163323781,55.51603558718862,99.346,99.731,23.53962886597938,99.278,99.174,99.777,11.30752296819788,0.0,99.091,99.709,42.784892617449664,99.602,100.0,39.17235766423358,39.30155895196507,100.0,100.0,100.0,25.90936363636364,99.612,25.000186507936508,100.0,98.575,99.02,100.0,98.701,98.577,100.0,100.0,100.0,99.726,99.677,98.30463050847457,0.0,73.97821189591077,90.613559566787,99.194,16.494835051546392,0
028K,99.747,99.734,100.0,100.0,100.0,100.0,100.0,98.582,99.088,100.0,100.0,100.0,99.728,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.27507163323781,55.51603558718862,99.346,99.731,23.53962886597938,99.278,99.174,99.777,11.30752296819788,0.0,99.091,99.709,42.784892617449664,99.602,100.0,39.17235766423358,39.30155895196507,100.0,100.0,100.0,25.90936363636364,99.612,25.000186507936508,100.0,98.575,99.02,100.0,98.701,98.577,100.0,100.0,100.0,99.726,99.677,98.30463050847457,0.0,73.97821189591077,90.613559566787,99.194,16.494835051546392,0
080K,99.747,99.734,100.0,100.0,100.0,100.0,100.0,98.582,99.088,100.0,100.0,100.0,99.728,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.127,100.0,99.697,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.27507163323781,55.51603558718862,99.346,99.731,23.53962886597938,99.278,99.174,99.777,11.30752296819788,0.0,99.091,99.709,42.784892617449664,99.602,100.0,39.17235766423358,39.30155895196507,100.0,100.0,100.0,25.90936363636364,99.612,25.000186507936508,100.0,98.575,99.02,100.0,98.701,98.577,100.0,100.0,100.0,99.726,99.677,98.30463050847457,0.0,73.97821189591077,90.613559566787,99.194,16.494835051546392,0
138034,92.911,96.011,72.64116981132076,33.58483018867924,95.918,86.01356643356642,85.802,84.397,98.176,79.17950788643533,23.505364948453607,92.287,90.21701086956521,33.333419753086424,36.744944881889765,36.078,0.0,88.068,88.449,81.4566225165563,92.884,95.487,29.696648484848488,95.676,82.215,82.126,0.0,86.226,88.06,87.93736964980545,89.6850429799427,55.872,86.601,17.473064516129035,40.0346649484536,45.12653429602888,86.226,89.30940534521159,81.97852296819788,0.0,95.455,80.233,41.77872483221477,92.43,91.728,37.71328467153285,37.9912751091703,95.628,92.04501136363636,95.368,32.72690909090909,82.55783720930232,94.444,95.023,88.604,87.58214705882354,94.717,86.49372987012987,65.83660498220641,92.926,90.415,0.0,85.479,93.548,72.54269830508474,0.0,27.137427509293683,77.97807942238268,0.0,86.856,0
1530d,92.911,95.745,72.64116981132076,33.58483018867924,95.918,86.71321678321678,85.494,84.397,98.48,79.17950788643533,23.505364948453607,45.345511968085106,89.94549456521739,33.538989711934164,36.744944881889765,36.078,0.0,41.47772727272727,88.119,81.4566225165563,92.884,95.487,29.696648484848488,95.676,82.215,81.884,0.0,86.226,38.8059552238806,87.93736964980545,89.6850429799427,55.516,87.255,17.33882795698925,39.347525773195876,42.05785018050541,86.501,88.64139420935412,14.487462897526504,0.0,95.455,81.105,63.926110738255026,92.43,91.728,39.41629197080292,37.55412663755458,95.628,92.61350568181818,95.368,0.0,0.0,0.0,95.023,88.604,0.0,94.717,86.23377142857143,65.48073665480428,28.295363344051445,29.39311821086262,0.0,85.479,92.581,72.88122033898306,0.0,30.111799256505577,77.97807942238268,0.0,13.401958762886599,0
158145,92.911,96.011,72.64116981132076,33.58483018867924,95.918,86.01356643356642,85.802,84.397,98.176,79.17950788643533,23.505364948453607,92.287,90.21701086956521,33.333419753086424,36.744944881889765,36.078,0.0,88.068,88.449,81.4566225165563,92.884,95.487,29.696648484848488,95.676,82.215,82.126,0.0,86.226,88.06,87.93736964980545,89.6850429799427,55.872,86.601,17.473064516129035,40.0346649484536,45.12653429602888,86.226,89.30940534521159,81.97852296819788,0.0,95.455,80.233,41.77872483221477,92.43,91.728,37.71328467153285,37.9912751091703,95.628,92.04501136363636,95.368,32.72690909090909,82.55783720930232,94.444,95.023,88.604,87.58214705882354,94.717,86.49372987012987,65.83660498220641,92.926,90.415,0.0,85.479,93.548,72.54269830508474,0.0,27.137427509293683,77.97807942238268,0.0,86.856,0
168079,92.911,96.011,72.64116981132076,33.58483018867924,95.918,86.01356643356642,85.802,84.397,98.176,79.17950788643533,23.505364948453607,92.287,90.21701086956521,33.333419753086424,36.744944881889765,36.078,0.0,88.068,88.449,81.4566225165563,92.884,95.487,29.696648484848488,95.676,82.215,82.126,0.0,86.226,88.06,87.93736964980545,89.6850429799427,55.872,86.601,17.473064516129035,40.0346649484536,45.12653429602888,86.226,89.30940534521159,81.97852296819788,0.0,95.455,80.233,41.77872483221477,92.43,91.728,37.71328467153285,37.9912751091703,95.628,92.04501136363636,95.368,32.72690909090909,82.55783720930232,94.444,95.023,88.604,87.58214705882354,94.717,86.49372987012987,65.83660498220641,92.926,90.415,0.0,85.479,93.548,72.54269830508474,0.0,27.137427509293683,77.97807942238268,0.0,86.856,0
168148,92.911,95.479,72.64116981132076,33.58483018867924,95.918,86.01356643356642,85.494,84.752,98.176,79.17950788643533,23.505364948453607,92.287,90.21701086956521,33.333419753086424,36.744944881889765,36.078,0.0,88.068,88.449,81.4566225165563,92.884,95.487,29.696648484848488,95.676,82.215,53.381550724637684,0.0,86.226,88.06,87.93736964980545,89.6850429799427,55.872,86.601,17.473064516129035,40.0346649484536,45.12653429602888,86.501,88.86439643652561,81.97852296819788,0.0,95.455,80.233,41.77872483221477,92.43,91.728,37.71328467153285,37.9912751091703,95.628,92.04501136363636,95.368,32.72690909090909,82.55783720930232,94.444,95.023,88.604,87.58214705882354,94.717,86.49372987012987,65.83660498220641,92.926,90.415,0.0,85.479,93.548,72.54269830508474,0.0,27.137427509293683,77.97807942238268,0.0,86.856,0
178047,92.911,95.479,72.64116981132076,33.58483018867924,95.918,86.01356643356642,85.494,84.752,98.176,79.17950788643533,23.505364948453607,92.287,90.21701086956521,33.333419753086424,36.744944881889765,36.078,0.0,88.068,88.449,81.4566225165563,92.884,95.487,29.696648484848488,95.676,78.52375167785235,81.884,0.0,86.226,88.06,87.93736964980545,89.6850429799427,55.872,86.601,17.473064516129035,40.0346649484536,45.12653429602888,86.501,88.86439643652561,81.97852296819788,0.0,95.455,80.233,41.77872483221477,92.43,91.728,37.71328467153285,37.9912751091703,95.628,92.04501136363636,95.368,32.72690909090909,82.55783720930232,94.444,95.023,88.604,87.58214705882354,94.717,86.49372987012987,65.83660498220641,92.926,90.415,0.0,85.479,93.548,72.54269830508474,0.0,27.137427509293683,77.97807942238268,0.0,86.856,0
178101,92.911,95.479,72.64116981132076,33.58483018867924,95.918,86.01356643356642,85.494,84.752,98.176,79.17950788643533,23.505364948453607,92.287,90.21701086956521,33.333419753086424,36.744944881889765,36.078,0.0,88.068,88.449,81.4566225165563,92.884,95.487,29.696648484848488,95.676,82.215,81.884,0.0,86.226,88.06,87.93736964980545,89.6850429799427,55.872,86.601,17.473064516129035,40.0346649484536,45.12653429602888,86.501,88.86439643652561,81.97852296819788,0.0,95.455,80.233,41.77872483221477,92.43,91.728,37.71328467153285,37.9912751091703,95.628,92.04501136363636,95.368,32.72690909090909,82.55783720930232,94.444,95.023,88.604,87.58214705882354,94.717,86.49372987012987,65.83660498220641,92.926,90.415,0.0,85.479,93.548,72.54269830508474,0.0,27.137427509293683,77.97807942238268,0.0,86.856,0
185K,99.747,99.734,100.0,100.0,100.0,100.0,100.0,98.582,99.088,100.0,100.0,100.0,99.728,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.27507163323781,55.51603558718862,99.346,99.731,23.53962886597938,99.278,99.449,99.777,11.30752296819788,0.0,99.091,99.709,42.784892617449664,99.602,100.0,39.17235766423358,39.30155895196507,100.0,100.0,100.0,25.90936363636364,99.612,25.000186507936508,100.0,98.575,99.02,100.0,98.701,98.577,100.0,100.0,100.0,99.726,99.677,98.30463050847457,0.0,73.97821189591077,90.613559566787,99.194,16.494835051546392,0
189K,99.747,99.734,100.0,100.0,100.0,100.0,100.0,98.582,99.088,100.0,100.0,100.0,99.728,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.127,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.27507163323781,55.51603558718862,99.346,99.731,23.53962886597938,99.278,99.174,99.777,11.30752296819788,0.0,99.091,99.709,42.784892617449664,99.602,100.0,39.17235766423358,39.30155895196507,100.0,100.0,100.0,25.90936363636364,99.612,25.000186507936508,100.0,98.575,99.02,100.0,98.701,98.577,100.0,100.0,100.0,99.726,99.677,98.30463050847457,0.0,73.97821189591077,90.613559566787,99.194,16.494835051546392,0
