Strain,WP_004498219.1,WP_004503036.1,WP_004503046.1,WP_004503062.1,WP_004503087.1,WP_004503102.1,WP_004503130.1,WP_004503150.1,WP_004503514.1,WP_004503982.1,WP_016758916.1,WP_016759267.1,WP_025185097.1,WP_061217626.1,WP_061217842.1,WP_061217850.1,WP_061217853.1,WP_061236010.1,WP_198288176.1,WP_239244854.1,WP_239245559.1,WP_239248136.1,WP_239248140.1,WP_239248141.1,WP_239248147.1,WP_239248148.1,WP_239248149.1,WP_239248150.1,WP_239248151.1,WP_239248154.1,WP_239248155.1,WP_239248166.1,WP_239248167.1,target
012K,86.58919825072886,67.17,8.670511560693642,0.0,87.338,55.75249557522124,73.28808219178082,0.0,83.56143561643836,97.342,35.955,88.54149305555555,19.99989565217391,0.0,68.97840145985401,75.04417112299465,68.261,94.958,54.7800826873385,49.47372631578948,4.081647495361781,0.0,0.0,0.0,87.36811578947369,90.0,87.54863813229572,88.364,75.199552,94.72201666666668,93.051,35.471298113207546,76.241,0
028K,86.58919825072886,67.17,8.670511560693642,0.0,87.338,55.75249557522124,73.28808219178082,0.0,83.56143561643836,97.342,35.955,88.54149305555555,19.99989565217391,0.0,68.97840145985401,75.04417112299465,68.261,94.958,54.7800826873385,49.47372631578948,4.081647495361781,0.0,0.0,0.0,87.36811578947369,90.0,87.54863813229572,88.364,75.199552,94.72201666666668,93.051,35.471298113207546,76.241,0
080K,86.58919825072886,67.17,8.670511560693642,0.0,87.338,55.75249557522124,73.28808219178082,0.0,83.56143561643836,97.342,35.955,88.54149305555555,19.99989565217391,0.0,68.97840145985401,75.04417112299465,68.261,94.958,54.7800826873385,49.47372631578948,4.081647495361781,0.0,0.0,0.0,87.36811578947369,90.0,87.54863813229572,88.364,75.199552,94.72201666666668,93.051,35.471298113207546,76.241,0
138034,82.21579008746356,67.547,8.959630057803468,0.0,0.0,54.572377581120946,72.60246575342465,0.0,16.712520547945207,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,97.647,54.78018604651164,0.0,3.5250278293135433,0.0,0.0,0.0,0.0,0.0,22.17935019455253,24.95822259696459,0.0,31.110933333333335,67.06957703927492,77.736,75.887,0
1530d,82.21579008746356,67.547,8.959630057803468,0.0,89.286,54.27759292035398,73.9727397260274,0.0,22.191534246575344,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,43.86578823529412,53.48885788113695,0.0,3.246776437847866,0.0,0.0,0.0,0.0,0.0,0.0,24.283237774030354,0.0,30.555555555555554,67.06957703927492,77.736,75.887,0
158145,82.21579008746356,67.547,8.959630057803468,0.0,0.0,54.572377581120946,72.60246575342465,0.0,16.712520547945207,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,97.647,54.78018604651164,0.0,3.5250278293135433,0.0,0.0,0.0,0.0,0.0,22.17935019455253,24.95822259696459,0.0,31.110933333333335,67.06957703927492,77.736,75.887,0
168079,82.21579008746356,67.547,8.959630057803468,0.0,0.0,54.572377581120946,72.60246575342465,0.0,16.712520547945207,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,97.647,54.78018604651164,0.0,3.5250278293135433,0.0,0.0,0.0,0.0,0.0,22.17935019455253,24.95822259696459,0.0,31.110933333333335,67.06957703927492,77.736,75.887,0
168148,82.21579008746356,67.547,8.959630057803468,0.0,0.0,54.572377581120946,72.60246575342465,0.0,16.712520547945207,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,97.647,54.78018604651164,0.0,3.5250278293135433,0.0,0.0,0.0,0.0,0.0,22.17935019455253,24.95822259696459,0.0,31.110933333333335,67.06957703927492,77.736,75.532,0
178047,82.21579008746356,67.547,8.959630057803468,0.0,0.0,54.572377581120946,72.60246575342465,0.0,16.712520547945207,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,97.647,54.78018604651164,0.0,3.5250278293135433,0.0,0.0,0.0,0.0,0.0,22.17935019455253,24.95822259696459,0.0,31.110933333333335,67.06957703927492,77.736,75.532,0
178101,82.21579008746356,67.547,8.959630057803468,0.0,0.0,54.572377581120946,72.60246575342465,0.0,16.712520547945207,0.0,37.07861797752808,78.125,25.217373913043478,0.0,83.21214598540146,0.0,0.0,97.647,54.78018604651164,0.0,3.5250278293135433,0.0,0.0,0.0,0.0,0.0,22.17935019455253,24.95822259696459,0.0,31.110933333333335,67.06957703927492,77.736,75.532,0
