Strain,WP_000037677.1,WP_000048849.1,WP_000049575.1,WP_000114571.1,WP_000125000.1,WP_000155110.1,WP_000208484.1,WP_000275582.1,WP_000358359.1,WP_000361605.1,WP_000373631.1,WP_000377752.1,WP_000432841.1,WP_000445586.1,WP_000492105.1,WP_000513413.1,WP_000615098.1,WP_000623348.1,WP_000623952.1,WP_000652101.1,WP_000656817.1,WP_000673831.1,WP_000688060.1,WP_000692851.1,WP_000697617.1,WP_000699347.1,WP_000701360.1,WP_000703222.1,WP_000721297.1,WP_000723077.1,WP_000804582.1,WP_000808025.1,WP_000824284.1,WP_000833255.1,WP_000853941.1,WP_000862006.1,WP_000869621.1,WP_000890278.1,WP_000950837.1,WP_000952994.1,WP_001005151.1,WP_001019760.1,WP_001031896.1,WP_001055393.1,WP_001168408.1,WP_002102575.1,WP_002102576.1,WP_002102578.1,WP_002102581.1,WP_002102582.1,WP_002102584.1,WP_002102764.1,WP_002102767.1,WP_002102773.1,WP_061230225.1,WP_154643354.1,WP_192504988.1,WP_225740483.1,target
1342KT,33.924103797468355,40.09004204204204,38.81293150684931,74.20356687898091,96.484,59.52388392857142,30.650043343653252,36.67587965616046,97.40232467532468,93.30005025125628,32.67622167487685,47.17526129943503,39.255189111747846,0.0,30.573248407643312,0.0,16.61761764705882,25.360224783861675,45.749085020242916,37.939210772833725,87.8643932038835,37.541308970099664,34.926647058823534,0.0,46.6455910543131,54.57137142857143,33.85781102362205,11.044674626865671,16.307477011494253,97.289,29.945126373626373,7.9365986394557835,97.668,41.582323232323226,94.91,0.0,50.57927413127413,0.0,94.884,0.0,33.21787197231834,13.407737430167597,9.695368421052631,45.42347597254005,33.77233187134503,0.0,20.23365758754864,25.30838888888889,41.239520215633426,37.022088797814206,30.22518649517685,31.47408764940239,39.067540192926046,45.637248322147656,17.63082644628099,72.91679166666667,46.1535,41.55252511415526,0
1489,61.89864430379747,70.19528528528528,100.0,100.0,71.972703125,67.48509970238095,61.06789551083591,68.05159957020058,100.0,61.30652973199331,56.69138382594417,73.44627048022599,72.77930444126075,61.89895673076923,100.0,100.0,59.8529875,62.824189481268014,68.01631781376517,99.766,76.57766990291262,100.0,100.0,99.587,74.36103274760383,65.28547142857143,66.66687664041996,53.1343223880597,64.33194719827587,78.08734789156627,65.04110576923077,100.0,81.08812046632124,66.16154587542087,82.9342874251497,56.808979674796745,74.61379536679537,100.0,66.97666976744186,100.0,67.12798356401385,71.32216014897578,55.05536149584487,100.0,66.22797587719297,96.63093415007657,60.01942412451362,64.0432175925926,66.71160849056604,69.05744945355191,65.19306832797427,64.6413187250996,61.65599035369775,73.32228523489934,59.090871212121215,100.0,73.4615576923077,99.543,1
1548,100.0,100.0,100.0,100.0,99.609,100.0,99.69,99.713,100.0,100.0,100.0,99.718,99.713,100.0,100.0,100.0,100.0,29.683054755043226,100.0,99.766,99.515,100.0,100.0,99.587,100.0,100.0,92.6509186351706,94.02985074626866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.614,0.0,100.0,100.0,100.0,100.0,100.0,100.0,31.57916666666667,75.95712098009189,20.622568093385215,25.30838888888889,95.95698113207547,36.88479508196721,30.22536655948553,100.0,100.0,99.329,18.18173553719008,100.0,99.744,99.087,1
201502616,100.0,100.0,100.0,100.0,99.609,100.0,99.69,99.713,100.0,100.0,100.0,99.718,99.713,100.0,100.0,100.0,100.0,29.395057636887607,100.0,99.766,99.515,100.0,100.0,99.587,100.0,100.0,93.7007874015748,94.02985074626866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.614,0.0,100.0,100.0,100.0,100.0,100.0,100.0,31.57916666666667,75.95712098009189,20.622568093385215,22.22232098765432,95.95698113207547,36.88479508196721,30.22536655948553,100.0,100.0,99.329,18.18173553719008,100.0,99.744,98.17317808219178,1
201700296,30.632967088607597,40.84084084084084,52.05522831050228,58.27985987261147,84.37511718750001,55.356851190476185,31.57848297213623,36.10330659025788,82.684,81.23914572864322,49.09694581280789,46.89303107344633,39.255197707736386,0.0,63.694108280254774,0.0,16.47050294117647,26.801429394812683,46.15419028340081,18.032651053864168,87.86450970873786,36.21229235880399,69.11795220588236,0.0,48.882,54.28601142857143,33.595590551181104,11.044877611940299,17.241488505747125,93.373,30.494728021978027,7.7096598639455785,89.119,41.41413468013468,89.521,0.0,50.19280308880309,0.0,83.72088837209303,0.0,33.563951557093425,13.966625698324021,59.55668975069253,45.995,31.871520467836252,0.0,19.45512840466926,25.30838888888889,43.1264474393531,38.79811475409836,30.867935691318326,31.47408764940239,55.62681672025724,47.650872483221484,18.181749311294766,60.416916666666665,45.89787179487179,18.2648401826484,0
201801179,100.0,100.0,100.0,100.0,100.0,99.702,99.69,99.713,100.0,100.0,100.0,100.0,99.713,100.0,100.0,100.0,100.0,99.712,100.0,99.766,100.0,100.0,100.0,99.587,100.0,100.0,100.0,94.02985074626866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.614,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.63093415007657,100.0,100.0,96.22641509433963,100.0,100.0,100.0,100.0,99.329,99.725,100.0,99.744,87.67123287671232,1
201801751,100.0,100.0,100.0,100.0,100.0,100.0,99.69,100.0,100.0,100.0,100.0,100.0,99.713,100.0,100.0,100.0,100.0,99.712,100.0,99.766,100.0,100.0,100.0,99.587,100.0,100.0,100.0,94.02985074626866,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.614,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.63093415007657,100.0,100.0,96.22641509433963,100.0,100.0,100.0,100.0,99.329,100.0,100.0,99.744,99.087,1
202100064,87.848,41.14102102102102,87.671,60.828,82.422,88.69026785714286,32.8170092879257,35.8163782234957,79.221,75.87973199329984,50.08198522167488,46.328135593220345,38.68211461318052,0.0,63.05773248407644,0.0,16.470485294117648,26.801342939481266,46.558542510121455,4.4496487119437935,69.41743689320388,34.21974418604651,69.85323897058824,87.19028925619835,48.88132907348242,53.428937142857144,33.59582677165354,10.7464,16.954297413793103,86.145,89.286010989011,7.7096598639455785,77.97886010362694,42.0875,78.144,0.0,49.03437837837838,0.0,85.58141860465118,0.0,31.83413494809688,12.849067039106146,47.36829362880886,43.93628375286041,33.041105263157895,0.0,20.23365758754864,25.30838888888889,42.04847978436658,37.43212568306011,30.86820578778135,27.888227091633464,21.543395498392282,44.2948322147651,19.00845730027548,56.25029166666666,47.43622307692308,0.0,0
202100065,33.924103797468355,40.54066066066067,39.269406392694066,74.84058917197453,96.875,59.821848214285716,30.650043343653252,36.10358166189112,99.134,93.30005025125628,32.67622167487685,46.892881355932204,39.255197707736386,0.0,93.631,0.0,16.76475,25.93670893371758,45.749085020242916,88.05654800936769,89.32029126213592,38.20550830564784,35.66220588235295,0.0,46.6455910543131,54.85673142857143,34.12077165354331,11.044674626865671,16.379367816091953,97.59,29.670681318681314,7.9365986394557835,97.668,41.75111616161617,95.21,0.0,50.57927413127413,0.0,93.023,0.0,33.21787197231834,12.290346368715083,9.972324099722991,45.766640732265444,33.62619883040935,0.0,20.23365758754864,25.30838888888889,42.04847978436658,38.25186338797814,30.22518649517685,31.07518326693227,28.617363344051448,45.637248322147656,17.355322314049584,72.91679166666667,46.1535,75.34287671232877,0
202200045,95.443,40.54066066066067,94.064,92.357,96.875,95.238,30.960173374613003,36.38973065902579,95.671,93.30005025125628,50.246789819376026,47.457641242937854,39.541977077363896,0.0,94.268,0.0,17.058470588235295,25.93670893371758,45.749085020242916,56.90840983606557,89.32029126213592,37.20914285714286,95.221,93.80205371900827,46.964504792332264,54.57137142857143,34.12077165354331,10.746128358208956,16.379367816091953,97.892,94.231,7.9365986394557835,97.927,41.7510202020202,94.91,18.292552845528455,50.57927413127413,0.0,92.558,0.0,34.25570588235294,12.290346368715083,9.972324099722991,45.766640732265444,34.21076023391812,0.0,19.45512840466926,25.30838888888889,41.23962803234501,35.79231420765027,30.22518649517685,31.07518326693227,95.82,45.637248322147656,17.63082644628099,72.91679166666667,46.1535,62.100611872146125,0
202202775,33.924103797468355,40.54066066066067,9.58904109589041,74.84058917197453,96.484,32.440125,21.052801857585138,36.67587965616046,0.0,92.96502512562815,50.903279146141216,46.892881355932204,39.255189111747846,0.0,65.60480891719745,0.0,16.76475,25.93670893371758,44.534137651821865,35.128805620608894,88.3490291262136,33.88704318936877,35.66220588235295,0.0,46.6455910543131,54.57137142857143,34.12077165354331,11.044674626865671,16.810168103448277,96.988,29.670681318681314,7.9365986394557835,97.668,41.75111616161617,94.91,0.0,50.57927413127413,0.0,93.023,0.0,35.64020761245675,12.290346368715083,9.972324099722991,45.53821967963387,33.62619883040935,0.0,20.23365758754864,25.30838888888889,25.336646900269542,38.25186338797814,30.22518649517685,31.07518326693227,28.617305466237944,45.637248322147656,17.63082644628099,72.91679166666667,46.1535,75.34287671232877,0
202202782,96.456,96.99684084084083,93.607,92.994,97.656,98.512,99.69,99.427,99.567,95.142,98.522,97.74,97.994,93.99,94.904,94.581,99.412,97.695,99.595,97.658,15.534218446601942,98.339,95.588,97.107,94.569,99.714,96.325,91.94050746268658,96.983,97.289,96.429,99.773,97.409,93.771,95.509,97.154,99.228,98.271,96.279,96.907,98.27,99.441,99.446,99.085,97.953,95.09933384379787,98.054,98.148,88.94881132075471,98.907,97.106,98.008,95.82,97.987,71.34955371900826,93.75,97.692,89.041,1
202303413,31.645134177215187,41.14102102102102,50.68485844748859,61.465,84.375,56.845285714285716,31.888606811145515,35.52984240687679,80.519,76.3817755443886,33.662187192118225,46.60977401129944,32.37830659025788,0.0,64.33080891719746,0.0,16.470717647058823,24.495982708933717,46.963846153846156,11.9437868852459,69.41743689320388,34.883372093023254,68.75030882352942,21.48748347107438,49.84,54.28601142857143,33.5956220472441,11.940208955223879,16.52305603448276,87.048,30.76955494505494,7.256301587301587,77.720207253886,41.91873063973064,77.844,0.0,50.19280308880309,0.0,86.51168372093024,0.0,33.21774394463667,14.24567877094972,17.451523545706372,44.39401372997712,33.33352046783626,0.0,21.40070038910506,24.073833333333337,42.04847978436658,36.06543442622951,30.546906752411576,29.482326693227094,21.5435884244373,44.966040268456375,19.283595041322315,58.33360416666667,46.41063333333334,0.0,0
56274,95.443,40.39047447447447,93.607,92.994,97.266,95.238,30.650043343653252,36.67587965616046,93.9395670995671,93.46747236180904,50.246789819376026,47.17526129943503,39.255189111747846,0.0,30.573248407643312,0.0,17.058470588235295,25.93670893371758,45.749085020242916,56.90840983606557,89.32029126213592,37.20914285714286,95.221,93.38885950413223,46.964504792332264,54.57137142857143,34.12077165354331,10.746128358208956,16.307477011494253,97.892,94.231,7.9365986394557835,97.409,41.91911279461279,94.91,18.292552845528455,50.57927413127413,0.0,92.558,0.0,34.25570588235294,17.59767877094972,33.79510526315789,45.42347597254005,34.06452485380117,0.0,19.45512840466926,25.30838888888889,41.23962803234501,37.022088797814206,30.22518649517685,31.07518326693227,96.141,45.637248322147656,17.63082644628099,72.91679166666667,45.89733333333333,62.100611872146125,0
