Strain,WP_004472242.1,WP_004472309.1,WP_004472333.1,WP_004479521.1,WP_004479530.1,WP_004479550.1,WP_004479575.1,WP_004479635.1,WP_004479640.1,WP_004479657.1,WP_004479675.1,WP_004479683.1,WP_004479718.1,WP_004479723.1,WP_004479740.1,WP_004479742.1,WP_004481573.1,WP_004494236.1,WP_032912999.1,WP_032918765.1,WP_032921295.1,WP_046690007.1,WP_050558826.1,WP_230457147.1,WP_230457148.1,WP_230457149.1,WP_282973983.1,WP_282973985.1,WP_282973986.1,WP_282973988.1,WP_282973997.1,WP_282974003.1,WP_282974006.1,WP_282974009.1,WP_282974011.1,WP_282974802.1,target
012K,57.692653846153846,7.299295620437956,0.0,89.36788793103449,79.801,0.0,0.0,80.65424795640327,81.76767955801104,74.806,12.22707423580786,38.34541353383458,26.666942857142857,0.0,70.83375000000001,0.0,0.0,76.2214983713355,84.828,79.56703125,76.43109090909091,80.19371014492754,49.29612676056338,18.947463157894738,0.0,0.0,73.55984293193718,10.188671698113206,10.967580645161291,36.709177215189875,85.635,78.409,66.27596721311475,82.1075294117647,66.66648226950355,81.006,0
028K,57.692653846153846,7.299295620437956,0.0,89.36788793103449,79.801,0.0,0.0,80.65424795640327,81.76767955801104,74.806,12.22707423580786,38.34541353383458,25.714057142857143,0.0,79.16697222222223,0.0,0.0,76.2214983713355,84.828,79.56703125,76.43109090909091,80.19371014492754,49.29612676056338,18.947463157894738,0.0,0.0,73.55984293193718,10.188671698113206,10.967580645161291,36.709177215189875,85.635,78.409,66.27596721311475,82.1075294117647,66.66648226950355,81.006,0
080K,57.692653846153846,7.299295620437956,0.0,89.36788793103449,79.801,0.0,0.0,80.65424795640327,81.76767955801104,74.806,12.22707423580786,38.34541353383458,25.714057142857143,0.0,79.16697222222223,0.0,0.0,76.2214983713355,84.828,79.56703125,76.43109090909091,80.19371014492754,49.29612676056338,18.947463157894738,0.0,0.0,73.55984293193718,10.188671698113206,10.967580645161291,36.709177215189875,85.635,78.409,66.27596721311475,82.1075294117647,66.66648226950355,81.006,0
138034,40.38478846153846,0.0,0.0,53.161344827586205,77.38252489331435,0.0,78.13,79.29180926430517,32.87264917127072,68.99222093023256,60.26161135371179,75.1883909774436,18.0952380952381,75.113,0.0,0.0,0.0,76.87328990228013,83.448,74.2785576923077,70.37,88.40584541062802,0.0,66.3161052631579,88.732,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,85.083,80.114,51.05374707259953,30.39249019607843,64.53923404255319,11.173162011173186,0
1530d,38.4615,55.10960583941606,0.0,53.161344827586205,77.38252489331435,0.0,78.13,38.964539509536785,81.49154696132597,0.0,60.69852183406113,75.1883909774436,18.0952380952381,79.638,0.0,0.0,0.0,76.87328990228013,84.828,74.2785576923077,71.044,88.40584541062802,46.47878873239437,73.68438947368422,89.43667605633803,0.0,71.98905235602093,8.67933962264151,0.0,37.13032911392405,16.021839779005525,39.77284090909091,68.61856674473069,82.10794117647058,0.0,11.173162011173186,0
158145,40.38478846153846,0.0,0.0,53.161344827586205,77.38252489331435,0.0,78.13,79.29180926430517,32.87264917127072,68.99222093023256,60.26161135371179,75.1883909774436,18.0952380952381,75.113,0.0,0.0,0.0,76.87328990228013,83.448,74.2785576923077,70.37,88.40584541062802,0.0,66.3161052631579,88.732,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,85.083,80.114,51.05374707259953,30.39249019607843,64.53923404255319,11.173162011173186,0
168079,38.4615,0.0,0.0,53.161344827586205,77.38252489331435,0.0,78.13,79.29180926430517,32.87264917127072,68.99222093023256,60.26161135371179,75.1883909774436,18.0952380952381,75.113,0.0,0.0,0.0,76.87328990228013,83.448,74.2785576923077,70.37,88.40584541062802,0.0,66.3161052631579,88.732,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,85.083,80.114,51.05374707259953,30.39249019607843,64.53923404255319,11.173162011173186,0
168148,38.4615,0.0,0.0,53.161344827586205,77.38252489331435,0.0,78.13,79.29180926430517,32.87264917127072,68.99222093023256,60.26161135371179,75.1883909774436,18.0952380952381,75.113,0.0,0.0,0.0,76.87328990228013,83.448,46.15367548076923,70.707,88.40584541062802,0.0,66.3161052631579,88.732,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,85.083,80.114,51.05374707259953,30.39249019607843,64.53923404255319,11.173162011173186,0
178047,38.4615,0.0,0.0,53.161344827586205,77.38252489331435,0.0,78.13,79.29180926430517,32.87264917127072,68.99222093023256,60.26161135371179,75.1883909774436,18.0952380952381,75.113,0.0,0.0,0.0,76.87328990228013,83.448,74.0380889423077,70.707,88.40584541062802,0.0,66.3161052631579,88.732,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,85.083,80.114,51.05374707259953,30.39249019607843,64.53923404255319,11.173162011173186,0
178101,40.38478846153846,0.0,0.0,53.161344827586205,77.38252489331435,0.0,78.13,79.29180926430517,32.87264917127072,68.99222093023256,60.26161135371179,75.1883909774436,18.0952380952381,75.113,0.0,0.0,0.0,76.87328990228013,83.448,74.0380889423077,70.707,88.40584541062802,0.0,66.3161052631579,88.732,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,85.083,80.114,51.05374707259953,30.39249019607843,64.53923404255319,11.173162011173186,0
185K,57.692653846153846,7.299295620437956,0.0,89.36788793103449,79.801,0.0,0.0,80.65424795640327,81.76767955801104,74.806,12.22707423580786,38.34541353383458,25.714057142857143,0.0,79.16697222222223,0.0,0.0,76.2214983713355,84.828,79.56703125,76.43109090909091,80.19371014492754,49.29612676056338,18.947463157894738,0.0,0.0,73.55984293193718,10.188671698113206,10.967580645161291,36.709177215189875,85.635,78.409,66.27596721311475,82.1075294117647,66.66648226950355,81.006,0
189K,57.692653846153846,7.299295620437956,0.0,89.36788793103449,79.801,0.0,0.0,80.65424795640327,81.76767955801104,74.806,12.22707423580786,38.34541353383458,25.714057142857143,0.0,79.16697222222223,0.0,0.0,76.2214983713355,84.828,79.56703125,76.43109090909091,80.19371014492754,49.29612676056338,18.947463157894738,0.0,0.0,73.55984293193718,10.188671698113206,10.967580645161291,36.709177215189875,85.635,78.409,66.27596721311475,82.1075294117647,66.66648226950355,81.006,0
198076,63.461423076923076,27.372474452554744,0.0,53.161344827586205,77.52492887624466,0.0,78.13,38.964539509536785,81.49154696132597,0.0,60.26161135371179,75.1883909774436,0.0,75.113,0.0,0.0,0.0,76.87328990228013,84.828,74.0380889423077,70.707,88.40584541062802,46.47878873239437,65.263,87.324,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,16.021839779005525,39.77284090909091,69.08620140515222,81.86247794117646,0.0,11.173162011173186,0
198085,57.692653846153846,7.299295620437956,0.0,89.36788793103449,79.801,0.0,0.0,80.65424795640327,81.76767955801104,74.806,12.22707423580786,38.34541353383458,21.90489523809524,0.0,79.16697222222223,0.0,0.0,76.2214983713355,84.138,79.56703125,77.10438047138047,80.19371014492754,49.29612676056338,17.894747368421054,0.0,0.0,73.29821989528796,10.188671698113206,10.967580645161291,36.709177215189875,85.912,78.409,66.27596721311475,81.373,60.9932340425532,74.30167597765363,0
200010104,38.4615,56.93388686131387,0.0,53.161344827586205,77.38252489331435,0.0,78.13,38.964539509536785,81.49154696132597,0.0,60.26224454148471,75.1883909774436,0.0,79.638,0.0,0.0,0.0,76.87328990228013,83.448,74.2785576923077,70.37,88.40584541062802,46.47878873239437,65.263,91.549,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,16.021839779005525,39.77284090909091,69.08620140515222,82.10794117647058,0.0,11.173162011173186,0
2002000634,38.46167307692308,56.93388686131387,0.0,53.161344827586205,77.38252489331435,0.0,78.13,38.964539509536785,81.49154696132597,0.0,60.261962882096064,75.1883909774436,0.0,79.638,0.0,0.0,0.0,76.87328990228013,83.448,74.2785576923077,70.37,88.40584541062802,46.47878873239437,58.94737368421053,58.45055633802817,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,16.021839779005525,39.77284090909091,69.08620140515222,82.10794117647058,0.0,11.173162011173186,0
2002009669,38.46167307692308,56.93388686131387,0.0,53.161344827586205,77.38252489331435,0.0,78.13,38.964539509536785,81.49154696132597,0.0,60.261962882096064,75.1883909774436,0.0,79.638,0.0,0.0,0.0,76.87328990228013,83.448,74.2785576923077,70.37,88.40584541062802,46.47878873239437,58.94737368421053,58.45055633802817,0.0,71.98905235602093,8.67933962264151,0.0,37.5526582278481,16.021839779005525,39.77284090909091,69.08620140515222,82.10794117647058,0.0,0.0,0
