Unnamed: 0	WP_002725873.1	WP_002740826.1	WP_002740861.1	WP_032853071.1	WP_002740724.1	WP_016749081.1	WP_002738232.1	WP_002740722.1	WP_002741071.1	WP_002740041.1	WP_002738295.1	WP_002733661.1	WP_050547976.1	WP_002727927.1	WP_000799637.1	WP_000579813.1	WP_000600954.1	WP_061236010.1	WP_198288176.1	WP_004503102.1	WP_239248150.1	WP_223809837.1	WP_002733615.1	WP_039942433.1	WP_010578390.1	WP_003009953.1	WP_003009503.1	WP_003009636.1	WP_036096962.1	WP_196221670.1	WP_003009473.1	WP_003009523.1	WP_003009310.1	WP_282974009.1	WP_004479640.1	WP_004479635.1	WP_282973988.1	WP_004434477.1	WP_004434773.1	WP_004434738.1	WP_004434686.1	WP_004434935.1	WP_004421044.1	WP_036063888.1	WP_243817855.1	WP_004450690.1	WP_004450706.1	WP_004421460.1	WP_004450681.1	WP_036063866.1	WP_004450670.1	WP_016748630.1	WP_016560406.1	WP_016560441.1	WP_016560449.1	WP_016560426.1	WP_000980525.1	WP_000653659.1	WP_017214689.1	WP_002076509.1	WP_000535865.1	WP_001117631.1	WP_000697351.1	WP_029781911.1	WP_000041234.1	WP_002108506.1	WP_002108483.1	WP_025180280.1	WP_002108502.1	WP_002108526.1	WP_000665193.1	WP_000651740.1	WP_000579360.1	WP_000723079.1	WP_002108504.1	WP_237578347.1	WP_100224632.1	WP_000361605.1	WP_000699347.1	WP_000808025.1	WP_000623952.1	WP_000208484.1	WP_000373631.1	WP_000673831.1	WP_000723077.1	WP_000853941.1	WP_000824284.1	WP_001055393.1	WP_000125000.1	WP_000950837.1	WP_002102575.1	WP_000952994.1	WP_000721297.1	WP_000358359.1	WP_000703222.1	WP_000513413.1	WP_032921258.1_26	WP_004483359.1_59	WP_004462134.1_62	WP_004462133.1_63	WP_004462126.1_69	WP_004462125.1_70	WP_004478059.1_71	WP_016551793.1_72	WP_016551804.1_73	WP_004477829.1_74	WP_004462889.1_79	WP_004477915.1_81	WP_061208429.1	WP_061209096.1	WP_228039699.1	WP_061209098.1	WP_228008733.1	WP_061208037.1	True_serogroup
d64	71.69816981	34.42604918	35.69481199	35.80629677	26.67767114	29.39311821	27.61164179	64.53485174	37.9216987	22.06419929	50.19492607	31.87941275	70.50880678	84.397	30.98630282	32.38087619	98.868	25.54621008	54.2631137	58.11193805	21.24831535	70.89221127	26.55362712	15.19603431	26.36826866	22.59885876	21.23730936	23.65836098	29.10447761	0.0	0.0	20.54361969	36.87710963	25.49003676	32.87310497	39.50905177	37.13096203	0.0	0.0	22.83684615	41.17598616	22.22198498	29.16657955	52.26142714	81.63237245	41.33351	30.51340483	26.39988	28.73264932	34.86576628	23.26310574	17.41756757	17.60212245	23.56287931	26.41985185	32.04437017	29.04587552	24.09636145	53.9949322	31.83881166	35.04271795	30.49054264	0.0	15.5593007	25.41960671	21.29652778	0.0	35.12405785	30.57334395	39.71591489	12.62804096	41.52815947	38.23522059	74.398	33.33346835	0.0	32.34218587	100.0	100.0	100.0	100.0	99.69	100.0	100.0	100.0	100.0	100.0	100.0	99.609	100.0	75.95712098	100.0	100.0	100.0	94.02985075	100.0	46.7528961	90.17138462	51.16908052	39.368	36.75500662	0.0	11.27036885	0.0	32.463	0.0	35.4978355	19.25046678	0.0	49.25871499	35.94807843	89.56751145	41.29320896	69.62993704	Bataviae
202202775	75.47171698	30.60096175	34.05967302	36.45207097	22.98643792	30.35131629	26.11974627	64.53446512	20.25967792	22.06394306	95.72	86.577	77.2884339	79.078	28.87288732	33.01572698	33.20712453	28.23526387	54.2631137	57.81759587	12.31019224	0.0	25.98856497	16.6665098	17.24725705	22.59861017	18.22759866	0.0	27.6123806	0.0	28.85556219	0.0	71.09626578	0.0	32.87312155	38.96453951	37.13099156	0.0	0.0	0.0	0.0	23.72352553	29.16657955	52.59677052	75.76545918	0.0	32.6287432	25.600176	19.68307692	36.01547893	23.26277341	17.41774174	15.56141837	21.83875287	0.0	31.21568785	26.97074689	24.6986747	0.0	45.73966816	27.35025641	29.19867442	43.22457976	10.31454545	24.22038129	0.0	0.0	28.92609917	0.0	35.46065248	11.09231229	28.90327575	36.27455882	74.699	33.75561181	31.75151555	40.89225279	92.96502513	54.57137143	0.0	44.53413765	21.05280186	50.90327915	33.88704319	96.988	94.91	97.668	45.53821968	96.484	93.023	0.0	0.0	16.8101681	0.0	0.0	0.0	99.481	99.145	99.74	99.713	69.53637086	0.0	0.0	0.0	33.44234584	74.80655039	99.567	37.64906303	75.16345752	85.008	58.49652941	90.58491603	48.25880597	39.62938519	Tarassovi
202200045	75.47171698	30.60096175	34.05967302	35.48374194	22.81898993	30.03225559	26.11974627	65.11660465	34.80567273	22.41978648	95.72	86.577	77.2884339	79.078	28.87288732	33.01572698	33.20712453	28.40329916	54.52177003	57.81759587	12.47876223	0.0	25.98856497	0.0	17.41308126	22.59882486	18.06035117	0.0	27.6123806	0.0	28.5238408	0.0	70.76460465	0.0	32.87264917	38.96453951	36.7085865	0.0	0.0	0.0	0.0	21.32162162	29.16657955	52.42918593	75.76545918	0.0	32.62870091	25.600176	19.68307692	36.01547893	23.56456798	17.41774174	0.0	21.83875287	0.0	31.21568785	26.97074689	23.49406627	0.0	45.73966816	27.35025641	29.19867442	43.05299657	10.31454545	24.22038129	0.0	27.96222749	28.92609917	0.0	36.16971631	11.09231229	28.57132226	36.27455882	75.0	32.91181435	32.24268412	39.77685874	93.30005025	54.57137143	0.0	45.74908502	30.96017337	50.24678982	37.20914286	97.892	94.91	97.927	45.76664073	96.875	92.558	0.0	0.0	16.37936782	95.671	0.0	0.0	99.481	97.863	99.74	98.851	82.78184768	0.0	11.88534836	0.0	33.93190375	98.45	100.0	99.83	75.81680392	84.84319275	65.68660131	90.33056489	86.81560448	70.74103704	Tarassovi
lt821	75.47171698	30.60096175	34.05967302	35.80633871	24.49640772	30.03225559	26.11974627	64.82553488	16.36371948	22.41978648	24.90311284	23.15431208	77.2884339	79.078	28.87288732	33.01572698	33.20712453	28.23526387	54.52177003	57.81759587	0.0	0.0	25.98856497	0.0	27.36315589	22.59861017	21.23765217	0.0	27.6123806	0.0	28.68970149	0.0	31.22956811	0.0	32.59648066	38.96453951	37.55240506	0.0	0.0	0.0	0.0	0.0	30.68181818	52.59677052	33.41828571	0.0	32.02422356	25.600176	19.68307692	35.63195402	0.0	17.41774174	0.0	21.83875287	0.0	30.93888398	0.0	0.0	0.0	45.29169955	27.35025641	29.19867442	43.05299657	10.31454545	24.22038129	0.0	26.54025592	28.92609917	0.0	38.29795035	0.0	23.58811628	36.27455882	74.699	33.75561181	31.58706383	40.89225279	93.30005025	54.57137143	0.0	45.74908502	30.65004334	32.67622167	37.54130897	97.289	94.91	97.668	45.76664073	96.484	94.884	0.0	0.0	16.37936782	0.0	0.0	0.0	18.96128571	99.573	100.0	100.0	96.02649007	100.0	83.60655738	99.877	100.0	100.0	100.0	100.0	75.16345752	33.77291269	74.18326797	90.58491603	41.54224876	0.0	Shermani
t74	100.0	33.3334235	36.7843733	37.41945806	22.65091946	29.7120607	29.10474627	64.53446512	34.80542338	20.99641281	99.611	98.993	97.96578305	98.227	31.68982394	33.65044762	32.45257358	28.90771429	53.2294832	57.22687316	12.81641147	0.0	25.98856497	0.0	17.24725705	23.16366102	18.22759866	0.0	29.10447761	0.0	23.54927197	0.0	70.43195349	0.0	32.87264917	39.23679564	35.02135443	20.748	0.0	0.0	0.0	24.9248048	32.19742803	53.60128643	76.27584184	0.0	32.02422356	27.19984	17.87315385	36.39800766	25.37783384	17.11725526	18.87736735	23.5632069	0.0	32.59670718	28.21563485	26.20455723	0.0	45.29169955	27.7774359	29.71578295	35.50603259	0.0	27.09841727	0.0	0.0	28.92609917	0.0	34.04207092	24.57294881	26.91033887	38.2354902	74.096	34.17693671	24.22296727	49.44271747	81.23914573	54.28601143	0.0	46.15419028	31.57848297	49.09694581	36.21229236	93.373	89.521	89.119	45.995	84.37511719	83.72088837	0.0	0.0	6.178175287	82.684	11.04487761	0.0	84.41525455	79.915	95.844	91.379	71.52287086	0.0	0.0	0.0	33.44234584	0.0	83.117	79.04576491	100.0	100.0	100.0	100.0	100.0	100.0	Tarassovi
tar10	100.0	33.3334235	36.7843733	37.41945806	22.65091946	29.7120607	29.10474627	64.53446512	34.80542338	20.99641281	99.611	98.993	97.96578305	98.227	31.68982394	33.65044762	32.45257358	28.90771429	53.2294832	57.22687316	12.81641147	0.0	25.98856497	0.0	17.24725705	23.16366102	18.22759866	0.0	29.10447761	0.0	23.54927197	0.0	70.43195349	0.0	32.87264917	39.23679564	35.02135443	20.748	0.0	0.0	0.0	24.9248048	32.19742803	53.60128643	76.27584184	0.0	32.02422356	27.19984	17.87315385	36.39800766	25.37783384	17.11725526	18.87736735	23.5632069	0.0	32.59670718	28.21563485	26.20455723	0.0	45.29169955	27.7774359	29.71578295	35.50603259	0.0	23.26164508	0.0	0.0	28.92609917	0.0	34.04207092	24.57294881	26.91033887	38.2354902	74.096	34.17693671	24.22296727	17.84396654	81.23914573	54.28601143	0.0	46.15419028	31.57848297	49.09694581	36.21229236	93.373	89.521	89.119	45.995	84.37511719	83.72088837	0.0	0.0	6.178175287	82.684	11.04487761	0.0	84.41525455	79.915	95.844	91.379	71.52287086	0.0	0.0	0.0	33.44234584	0.0	83.117	79.04576491	100.0	100.0	100.0	100.0	100.0	100.0	Tarassovi
fiocruz_lv3954	75.47171698	30.60096175	34.05967302	36.45207097	22.98643792	29.71240895	26.86561194	64.53446512	34.28602597	22.41978648	95.72	86.577	76.9492678	79.078	28.87288732	33.01572698	33.20712453	28.23526387	54.2631137	57.81759587	0.0	0.0	25.98856497	0.0	17.24725705	22.59882486	18.22759866	0.0	26.86561194	0.0	28.68970149	0.0	70.76460465	0.0	32.32044199	38.96453951	36.7085865	0.0	0.0	0.0	0.0	23.72352553	29.16657955	52.59677052	75.76545918	0.0	32.6287432	25.600176	19.68307692	36.01547893	23.26277341	17.41774174	0.0	21.83891954	0.0	31.21568785	26.97074689	24.6986747	0.0	45.73966816	27.35025641	29.19867442	43.05299657	0.0	24.22038129	0.0	72.98582938	28.51271074	0.0	36.8795	11.09231229	28.57132226	36.27455882	74.699	33.75561181	31.42363993	42.00731599	93.46706868	54.57137143	0.0	45.74908502	30.65004334	32.67622167	37.87340864	97.59	94.91	97.668	45.53821968	96.875	94.419	0.0	0.0	16.37936782	96.97009957	0.0	0.0	99.481	98.291	99.74	99.713	79.47056291	97.96835214	99.385	98.529	99.511	100.0	100.0	99.659	75.16345752	33.60837232	66.01353268	90.33056489	86.56690299	40.00035926	Shermani
u164	75.47171698	30.60096175	34.05967302	36.45207097	24.49640772	30.03225559	26.11974627	64.53446512	34.54577922	22.41978648	95.72	86.913	76.61042034	79.078	28.87288732	33.01572698	33.20712453	28.23526387	54.2631137	57.81759587	12.31019224	0.0	25.98856497	0.0	27.36315589	22.59861017	21.23765217	0.0	27.6123806	0.0	28.85556219	0.0	71.42891694	0.0	32.04414365	38.96453951	37.13099156	0.0	0.0	0.0	0.0	0.0	30.68181818	52.42918593	33.16318367	0.0	32.6287432	25.200348	19.45692308	35.63195402	0.0	17.41774174	0.0	21.83875287	0.0	30.93888398	26.97074689	0.0	0.0	45.73966816	27.35025641	29.45706977	43.22457976	0.0	24.22038129	0.0	27.96222749	28.51271074	0.0	37.94305674	0.0	28.90327575	36.27455882	74.699	33.33324895	31.58706383	50.18600743	93.13204355	54.28601143	0.0	45.74908502	21.36213622	50.41070608	37.54188704	97.59	94.91	97.668	45.53821968	96.484	94.419	0.0	0.0	16.23552299	0.0	0.0	0.0	18.96128571	99.145	99.74	99.425	82.45039073	0.0	0.0	0.0	33.44234584	34.49607752	100.0	62.18057922	70.9147451	85.338	65.68660131	90.58491603	87.81076866	0.0	Tarassovi
jet	75.47171698	36.06576776	37.60209264	36.45207097	22.98643792	30.03225559	26.11974627	64.53446512	39.22038701	22.41978648	50.19492607	32.21445973	77.2884339	79.078	28.87288732	33.01572698	75.84869434	28.23526387	54.52177003	57.81759587	11.46730523	0.0	25.98856497	23.28421078	17.24725705	22.59882486	18.22759866	23.65836098	27.6123806	0.0	28.68970149	19.86457385	32.89063123	27.20551716	33.7018895	40.05487738	36.70837975	0.0	0.0	22.83651202	41.8683737	22.22258258	29.16657955	52.42918593	80.61196429	41.0002	32.6287432	25.600176	30.09100452	36.01547893	22.96042296	17.41774174	23.97989286	21.83875287	27.40785185	31.49194751	26.97074689	23.1925512	55.20546247	45.73966816	33.33346154	28.424	43.05299657	15.5595	24.46040048	0.0	27.96222749	34.29795455	0.0	36.16971631	13.48117406	41.19603987	42.6467549	74.699	33.75500422	31.58706383	40.89215242	92.96502513	54.57137143	0.0	45.74908502	30.65004334	58.94877011	92.359	97.289	94.91	97.668	99.085	97.656	94.884	94.33401685	97.251	97.126	97.40232468	90.44731343	93.842	46.4934026	94.01680342	51.42840519	39.368	38.41016556	0.0	0.0	0.0	32.62689723	0.0	100.0	100.0	75.16345752	50.24689456	36.60121569	90.58491603	41.29320896	70.74103704	Tarassovi
l1111	71.69816981	36.06576776	36.23943597	35.80629677	26.50975839	29.39311821	0.0	64.53485174	37.9216987	22.42015302	50.19492607	31.87941275	70.50880678	51.41870213	0.0	17.14304127	90.566	23.52914118	54.2631137	58.11193805	21.24831535	62.44098592	26.55362712	15.19603431	24.54381095	22.59885876	21.06999164	23.65836098	0.0	0.0	0.0	20.54361969	36.87710963	25.49003676	34.25443094	39.5093733	37.13096203	0.0	0.0	22.83684615	41.17598616	21.32162162	29.16657955	52.26142714	81.63237245	41.33351	30.51340483	26.39988	29.63789593	34.48272414	22.35643505	17.41756757	17.60212245	23.56287931	26.41985185	32.04437017	28.63083817	23.49420482	53.9949322	24.66356502	35.04271795	28.94064599	0.0	15.5593007	25.41960671	21.29652778	0.0	35.12405785	30.57334395	36.8793156	12.62804096	41.52815947	38.23522059	74.398	33.33346835	0.0	44.23791822	100.0	100.0	100.0	100.0	99.69	45.64873563	61.46160797	100.0	100.0	100.0	100.0	100.0	100.0	96.63093415	100.0	62.21264368	66.23374026	94.02985075	100.0	46.7528961	90.17138462	51.16908052	39.368	24.5033245	0.0	7.786772541	0.0	13.86636052	0.0	35.4978355	19.25046678	0.0	25.70011532	24.18277124	67.68425954	41.29320896	69.62993704	Bataviae
