Strain,WP_000206940.1,WP_004766690.1,WP_004766738.1,WP_232426365.1,target
1051,38.68211031518625,85.62205472636816,82.68830430107528,21.496721088435375,0
1315,38.9683782234957,82.23852835820897,19.677467741935484,21.632767346938778,0
148231,19.197618911174786,98.955,94.83907741935485,21.632767346938778,1
148237,58.165959885386826,99.552,19.677467741935484,21.632767346938778,0
148260,78.79656160458453,99.552,19.677467741935484,21.632767346938778,0
148274,13.180424068767909,98.955,94.83907741935485,21.632767346938778,1
158130,40.114727793696275,98.955,52.5804,100.0,0
158174,8.309441260744984,98.955,94.83907741935485,21.632767346938778,1
178081,100.0,99.552,19.677467741935484,21.632767346938778,0
200201189,0.0,0.0,97.419,21.632767346938778,1
20021189,0.0,86.269,97.419,21.632767346938778,1
2006006962,84.8138452722063,90.29831641791044,14.838787096774196,22.04090612244898,0
2006006968,69.6275988538682,90.29831641791044,14.838787096774196,22.04090612244898,0
2006006986,67.90818051575931,98.806,95.16103548387096,22.04090612244898,1
200702274,0.0,85.17433333333334,97.742,21.632767346938778,1
200703020,0.0,86.269,97.742,21.632767346938778,1
200703021,0.0,85.97,97.742,21.632767346938778,1
200801774,7.7364040114613175,85.373,82.25812903225807,96.327,1
2008720116,62.17776504297994,98.955,19.677467741935484,21.632767346938778,0
2008720117,11.7477664756447,98.955,19.677467741935484,21.632767346938778,0
200901118,4.584527220630372,65.6713343283582,54.51620645161291,26.1222,0
200901868,4.584527220630372,85.97,97.742,26.1222,0
201102933,66.9056518624642,85.5221641791045,67.41978387096775,21.22462857142857,0
201401993,7.7364040114613175,85.373,74.19330645161291,96.327,1
201402975,0.0,86.269,97.419,21.632767346938778,1
201600670,7.7364040114613175,0.0,82.25812903225807,96.327,1
201601171,84.8138452722063,0.0,14.838787096774196,22.04090612244898,0
201601172,84.8138452722063,98.955,14.838787096774196,22.04090612244898,0
201700039,68.48128080229226,57.611940298507456,14.838787096774196,22.04090612244898,0
201700043,84.8138452722063,98.955,14.838787096774196,22.04090612244898,0
201700045,38.10856160458453,86.567,98.387,21.632767346938778,1
201700301,84.8138452722063,98.955,14.838787096774196,22.04090612244898,0
201700303,84.95706590257879,98.955,14.838787096774196,22.04090612244898,0
201700306,84.8138452722063,0.0,14.838787096774196,22.04090612244898,0
201700316,85.67316905444126,98.955,14.838787096774196,22.04090612244898,0
201800570,48.137406876790834,0.0,19.677467741935484,21.632767346938778,0
201800888,84.52740401146131,98.955,14.838787096774196,22.04090612244898,0
201800890,7.7364040114613175,86.567,98.387,21.632767346938778,0
201801158bis,100.0,99.104,19.677467741935484,21.632767346938778,1
201801162,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801165,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801167,30.65902865329513,99.4775,94.51612258064517,22.04090612244898,0
201801172bis,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801176ter,30.65902865329513,99.552,94.51612258064517,22.04090612244898,0
201801189,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801190,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801191,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801219,66.76218911174784,34.92520895522388,19.677467741935484,21.632767346938778,0
201801752,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801753,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801755,84.8138452722063,98.955,14.838787096774196,22.04090612244898,0
201801758,34.38386246418339,0.0,19.677467741935484,21.632767346938778,0
201801761,100.0,99.104,19.677467741935484,21.632767346938778,1
201902969,80.80255300859599,98.955,14.838787096774196,22.04090612244898,0
202000070,26.647504297994267,99.851,19.677467741935484,21.632767346938778,0
202001526,67.33545558739254,98.955,19.677467741935484,21.632767346938778,0
