Strain,WP_000075880.1,WP_000694279.1,WP_001018782.1,WP_001256699.1,WP_002072219.1,WP_228003844.1,WP_230665944.1,WP_230665945.1,WP_230665946.1,target
1051,81.91523404255318,21.886437735849054,72.72739393939393,11.730960419647117,0.0,71.56833333333333,50.72828155339806,31.50687671232877,0.0,0
1315,65.4254414893617,24.151313207547172,48.701389610389604,12.160403433476395,0.0,50.0,91.99017961165049,0.0,0.0,0
148231,96.809,0.0,83.11702597402598,12.160403433476395,56.81836363636364,50.0,63.10664077669903,0.0,0.0,0
148237,36.17021276595745,24.528437735849057,81.818,12.303339055793993,56.81836363636364,82.353,62.621398058252424,0.0,0.0,0
148260,36.17021276595745,24.528437735849057,81.818,12.303339055793993,56.81836363636364,82.353,62.621398058252424,0.0,0.0,0
148274,96.809,0.0,83.11702597402598,12.160403433476395,56.81836363636364,50.0,95.63073786407767,0.0,0.0,0
158130,87.23361702127659,0.0,24.675324675324674,12.160403433476395,54.54559090909091,49.999558823529405,64.56302912621359,0.0,0.0,0
158174,96.809,0.0,83.11702597402598,12.160403433476395,56.81836363636364,50.0,95.63073786407767,0.0,0.0,0
178081,36.17021276595745,24.528437735849057,81.818,12.303339055793993,56.81836363636364,82.353,62.621398058252424,0.0,0.0,0
200201189,0.0,0.0,64.93527272727273,11.874002861230329,0.0,73.529,14.07766990291262,0.0,0.0,0
20021189,0.0,0.0,81.81781818181818,11.874002861230329,40.90909090909091,73.529,14.07766990291262,35.61649315068493,0.0,0
2006006962,86.17021276595744,95.84905660377359,83.11702597402598,99.857,100.0,79.41211764705882,97.81554611650486,98.63,95.833,1
2006006968,86.17021276595744,95.84905660377359,37.66242857142857,99.857,100.0,97.059,99.029,98.63,95.833,1
2006006986,36.17021276595745,0.0,43.50658441558441,12.160403433476395,56.81836363636364,49.999779411764706,96.35935679611651,0.0,0.0,0
200702274,0.0,0.0,81.81781818181818,11.874002861230329,40.90909090909091,73.52927450980393,14.07766990291262,35.61649315068493,0.0,0
200703020,0.0,0.0,81.81781818181818,11.874002861230329,40.90909090909091,73.529,14.07766990291262,35.61649315068493,0.0,0
200703021,0.0,0.0,81.81781818181818,11.874002861230329,40.90909090909091,73.529,14.07766990291262,35.61649315068493,0.0,0
200801774,0.0,0.0,81.16875324675325,11.874002861230329,45.454772727272726,72.0585,14.07766990291262,23.287602739726026,0.0,0
2008720116,51.5956329787234,95.84905660377359,29.870545454545457,12.160403433476395,56.81836363636364,49.999558823529405,94.41774514563106,0.0,0.0,0
