Strain,WP_004779550.1,WP_004779559.1,WP_004779589.1,WP_011669928.1,WP_011669929.1,WP_011669942.1,WP_011669944.1,WP_011669951.1,WP_011669961.1,WP_020780101.1,WP_020780102.1,WP_307898047.1,WP_307898194.1,target
112_IZSLER,100.0,100.0,100.0,100.0,95.23809523809523,100.0,99.559,100.0,100.0,99.708,100.0,48.818897637795274,94.5273631840796,1
128024,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
128042,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
138065,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
148248,0.0,90.949,40.0003619047619,8.011160220994476,79.71036853002072,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,52.736318407960205,0
148250,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
148333,0.0,90.949,40.0003619047619,8.011160220994476,79.71036853002072,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,65.35403937007874,48.258805970149254,0
158128,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
158133,0.0,90.949,40.0003619047619,8.011160220994476,79.71036853002072,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,65.35403937007874,48.258805970149254,0
158143,0.0,90.949,40.0003619047619,8.011160220994476,79.71036853002072,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,65.35403937007874,48.258805970149254,0
168036,93.852,93.598,95.714,90.608,87.37060248447204,79.9211062992126,83.70084581497798,96.325,84.31356862745098,93.2753216374269,91.2431440677966,73.22844881889763,83.08482587064677,1
172_IZSLER,100.0,99.117,99.524,99.448,93.78857142857142,92.12586614173227,99.119,96.588,59.068477941176475,98.83,98.588,54.33099212598425,94.5273631840796,1
178112,0.0,90.949,40.0003619047619,8.011160220994476,79.71036853002072,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,65.35403937007874,48.258805970149254,0
178114,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
178119,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
178122,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
188058,0.0,90.949,40.0003619047619,8.011160220994476,79.71036853002072,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,65.35403937007874,48.258805970149254,0
188072,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
188076,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
188083,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.276,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
188104,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
198035,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
198045,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
198056,0.0,90.949,40.0003619047619,8.011160220994476,79.50263768115943,81.49588188976378,83.25977973568283,95.013,76.2257794117647,11.110956140350877,91.80831355932204,70.07848818897638,48.258805970149254,0
200112227,75.0003606557377,0.0,99.524,99.448,0.0,92.12586614173227,99.119,96.588,59.068477941176475,98.83,9.887,54.33099212598425,94.5273631840796,1
200403458,0.0,75.93838410596027,43.57152857142857,8.01106906077348,85.09323395445135,83.07065748031496,85.46217621145375,96.588,72.1813088235294,7.8946315789473696,55.50833474576272,67.7163622047244,85.07462686567165,0
200701203,0.0,61.47902428256071,27.381195238095238,9.254060773480663,62.52569358178053,92.12586614173227,99.119,91.46943307086613,47.67155637254902,8.187061403508773,93.92660169491525,79.13419291338582,88.3084577114428,0
200702252,0.0,79.91176710816777,44.76227142857143,8.01106906077348,85.09323395445135,83.07065748031496,85.46217621145375,96.588,72.1813088235294,7.8946315789473696,92.65507627118645,71.65322047244095,80.34817164179105,0
200801925,0.0,89.625,40.00011428571428,8.287162983425414,91.3048115942029,90.157,98.678,95.801,59.55876470588235,9.94166081871345,99.153,67.7163622047244,53.23351243781095,0
200803703,0.0,89.625,40.00011428571428,8.287162983425414,93.68562939958592,90.157,98.678,95.801,59.55876470588235,9.94166081871345,99.153,68.5038031496063,31.592179104477612,0
200901116,10.65577868852459,79.52549889624724,44.0480619047619,7.182453038674033,79.91719099378882,88.1894251968504,87.22479845814978,95.801,81.74024938725492,9.72223903508772,94.35058474576272,79.52797637795275,47.26394029850747,0
200901263,10.65577868852459,82.561,44.28617142857143,7.182453038674033,81.98760869565217,88.1894251968504,87.22490308370044,95.801,92.40196813725491,10.233964912280701,94.63316949152542,76.37826771653543,47.26394029850747,0
200901485,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,0.0,8.187061403508773,98.588,77.95288188976377,94.5273631840796,0
201000851,0.0,82.34,43.80995238095238,8.83977900552486,80.64148861283644,92.12586614173227,99.119,96.85,42.401875000000004,8.187061403508773,77.26015254237288,79.52797637795275,94.5273631840796,0
201101058,0.0,0.0,44.28617142857143,10.773480662983426,0.0,92.12586614173227,99.119,96.85,0.0,8.187061403508773,98.588,78.7404094488189,94.5273631840796,0
201101154,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,59.068477941176475,8.187061403508773,98.588,77.95288188976377,94.5273631840796,0
201101282,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,0.0,8.187061403508773,98.588,74.01612598425197,94.5273631840796,0
201102019,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,59.068477941176475,8.187061403508773,98.588,74.8027716535433,94.5273631840796,0
2013_VF52,93.033,90.949,97.143,90.608,90.062,83.46410236220473,85.46217621145375,96.588,92.40175,93.86,93.22024576271187,40.944472440944885,85.07462686567165,1
201400667,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,59.068477941176475,8.187061403508773,98.588,74.01612598425197,94.5273631840796,0
201401473,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,59.068477941176475,8.187061403508773,98.588,77.95288188976377,94.5273631840796,0
2014_VF66,93.033,90.949,97.143,90.608,90.062,83.46410236220473,85.46217621145375,96.588,92.40175,93.86,93.22024576271187,33.8585905511811,85.07462686567165,1
201501058,10.65577868852459,82.561,44.28617142857143,7.182453038674033,81.98760869565217,88.1894251968504,87.22490308370044,95.801,92.40196813725491,10.233964912280701,94.63316949152542,79.52797637795275,47.26394029850747,0
201501063,10.65577868852459,82.561,44.28617142857143,7.182453038674033,81.98760869565217,88.1894251968504,87.22490308370044,95.801,92.40196813725491,10.233964912280701,94.63316949152542,79.52797637795275,47.26394029850747,0
201501069,0.0,82.34,44.28617142857143,10.773480662983426,78.67449275362318,92.12586614173227,99.119,96.85,59.068477941176475,8.187061403508773,98.588,78.7404094488189,94.5273631840796,0
