Unnamed: 0	WP_002725873.1	WP_002740826.1	WP_002740861.1	WP_032853071.1	WP_002740902.1	WP_002740804.1	WP_002740724.1	WP_078313319.1	WP_016749081.1	WP_002738232.1	WP_002740722.1	WP_002741071.1	WP_002740041.1	WP_230456805.1	WP_002738295.1	WP_002733661.1	WP_050547976.1	WP_002727927.1	WP_000406134.1	WP_000275679.1	WP_000799637.1	WP_000579813.1	WP_001052314.1	WP_002115474.1	WP_000600954.1	WP_004503087.1	WP_061236010.1	WP_198288176.1	WP_004503102.1	WP_239248150.1	WP_223809837.1	WP_001106774.1	WP_002733615.1	WP_039942433.1	WP_244265121.1	WP_010578390.1	WP_000667982.1	WP_003009953.1	WP_036096970.1	WP_003009503.1	WP_003009636.1	WP_036096962.1	WP_196221670.1	WP_003009473.1	WP_003009529.1	WP_003009523.1	WP_003009310.1	WP_282974009.1	WP_004479640.1	WP_282974006.1	WP_004479635.1	WP_282973988.1	WP_004434477.1	WP_004434773.1	WP_004434738.1	WP_004434663.1	WP_004421329.1	WP_004421044.1	WP_004448468.1	WP_036063888.1	WP_243817855.1	WP_004450706.1	WP_004421460.1	WP_004450681.1	WP_036063866.1	WP_016748630.1	WP_016560406.1	WP_016560441.1	WP_016560449.1	WP_016560426.1	WP_016560398.1	WP_000980525.1	WP_017214689.1	WP_020981249.1	WP_000020777.1	WP_002076509.1	WP_000535865.1	WP_001117631.1	WP_000697351.1	WP_029781911.1	WP_000041234.1	WP_002108487.1	WP_002108506.1	WP_002108483.1	WP_025180280.1	WP_002108502.1	WP_002108526.1	WP_000665193.1	WP_000651740.1	WP_000579360.1	WP_000723079.1	WP_002108504.1	WP_237578347.1	WP_004280058.1	WP_100224632.1	WP_004779589.1	WP_000361605.1	WP_000699347.1	WP_000623952.1	WP_000208484.1	WP_000373631.1	WP_000723077.1	WP_000853941.1	WP_000824284.1	WP_000125000.1	WP_000950837.1	WP_000721297.1	WP_000703222.1	WP_032921258.1_26	WP_004483359.1_59	WP_004462133.1_63	WP_004478059.1_71	WP_004462889.1_79	WP_004477915.1_81	WP_061209096.1	WP_061209098.1	WP_228008733.1	True_serogroup
441_izsler	72.64116981	95.628	95.368	92.258	0.0	39.41629197	63.92611074	0.0	29.71286901	38.80632836	81.105	87.01265455	55.872	0.0	87.93736965	82.215	72.20318644	84.043	0.0	72.83649038	99.296	96.50793651	99.82	98.606223	99.245	89.286	43.86578824	53.48885788	54.27759292	13.32226644	99.531	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0.0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0.0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0.0	44.82763218	37.01963942	35.10915254	31.03445211	29.16657955	0.0	21.10531658	32.39785714	29.30557704	26.39988	19.00486425	34.86576628	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	29.04587552	25.42365617	12.78839413	41.55132687	32.28668161	25.21333333	27.13203101	29.67433276	0.0	27.81766187	0.0	21.29652778	0.0	29.7517686	30.57334395	36.17068085	11.60394198	30.89704319	38.23522059	73.795	29.1138481	41.89813748	57.46007143	23.04856506	0.0	22.2779397	30.57094286	36.43755061	21.672	13.9575665	83.735	66.16785629	60.36297668	44.14109375	33.48851163	17.67260345	0.0	47.27286234	41.88057692	38.21851149	7.786772541	35.49806061	15.67297615	0.0	64.88525191	32.58705473	Icterohaemorrhagiae
mm0342ck	100.0	100.0	100.0	100.0	100.0	99.757	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.597	100.0	100.0	100.0	99.645	76.882	38.46184615	36.62005634	33.65044762	0.0	54.00682927	33.20712453	0.0	74.45355294	54.78008269	55.75249558	21.75426307	0.0	40.04783933	26.55362712	23.28400735	75.828	45.7715058	38.16426087	23.72908475	73.04552022	75.7526689	89.02460488	79.104	53.76329749	29.35272968	27.98392593	24.10873854	71.42891694	29.65727451	33.42498619	35.59689696	80.65424796	36.70917722	20.748	20.11459195	28.36564904	39.22557869	0.0	31.81775758	12.79068605	20.77037186	33.9290051	29.90898489	27.60028	17.87315385	37.16505747	17.11725526	24.23479592	22.98850575	29.87614815	31.7678453	26.15011622	27.38582988	22.76047458	14.04592034	0.0	26.45717489	27.7774359	29.71578295	42.02452487	0.0	25.89939568	0.0	0.0	0.0	28.92609917	0.0	36.52488298	21.84340444	26.91	38.2354902	29.51846386	31.22331646	31.09679214	0.0	39.77685502	0.0	22.11075377	30.57094286	35.22280567	20.43341176	0.0	28.6145	66.16785629	62.69415803	43.74971875	34.41816744	16.95378879	12.53727761	85.71396623	42.73459829	39.94224713	0.0	37.66192208	15.33202726	0.0	35.62305344	33.33355224	Ballum
202102996	72.64116981	95.628	95.368	92.258	0.0	39.41629197	63.92611074	0.0	29.71286901	38.80632836	81.105	87.01265455	55.872	0.0	87.93736965	82.215	72.20318644	84.043	0.0	72.83649038	99.296	96.50793651	99.82	98.606223	98.868	89.286	43.86578824	53.48885788	54.27759292	13.32226644	99.531	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0.0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0.0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0.0	44.82763218	37.01963942	35.10915254	31.03445211	29.16657955	0.0	21.10531658	32.39785714	29.30557704	26.39988	19.00486425	34.86576628	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	29.04587552	25.42365617	12.78839413	41.55132687	31.83809865	25.21333333	27.13203101	29.67433276	0.0	27.81766187	0.0	21.29652778	0.0	29.7517686	30.57334395	36.17068085	11.60394198	30.89704319	38.23522059	73.795	29.1138481	41.89813748	57.46007143	23.04856506	0.0	22.2779397	30.57094286	36.43755061	21.672	13.9575665	83.735	66.16785629	60.36297668	44.14109375	33.48851163	17.67260345	0.0	47.27286234	41.88057692	38.21851149	7.786772541	35.49806061	15.67297615	0.0	64.88525191	32.58705473	Icterohaemorrhagiae
2006006972	72.64116981	95.628	95.368	92.258	0.0	39.41629197	63.92611074	0.0	29.71286901	38.80632836	81.105	87.01265455	55.872	0.0	87.93736965	82.215	72.20318644	84.043	0.0	72.83649038	99.296	96.50793651	99.82	98.606223	99.245	89.286	43.86578824	53.48885788	54.27759292	13.32226644	70.89221127	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0.0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0.0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0.0	44.82763218	37.01963942	35.10915254	31.03445211	29.16657955	0.0	21.10531658	32.39785714	29.30557704	26.39988	19.00486425	34.86576628	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	29.04587552	25.42365617	12.78839413	41.55132687	32.28668161	25.21333333	27.13203101	29.67433276	0.0	27.81766187	0.0	21.29652778	0.0	29.7517686	30.57334395	36.17068085	11.60394198	30.89704319	38.23522059	73.494	29.1138481	41.89813748	57.46007143	23.04856506	0.0	22.2779397	30.57094286	36.43755061	21.672	13.9575665	83.735	66.16785629	60.36297668	44.14109375	33.48851163	17.67260345	0.0	47.27286234	41.88057692	38.21851149	7.786772541	35.49806061	15.67297615	0.0	64.88525191	32.58705473	Icterohaemorrhagiae
k56	72.64116981	33.60671585	38.96502452	87.742	94.444	37.71328467	41.94630201	0.0	90.096	88.06	80.523	81.55810909	55.516	0.0	87.93736965	81.544	72.20318644	84.043	0.0	53.36561538	35.91521127	32.38087619	0.0	98.606	98.868	0.0	97.311	54.78018605	54.27759292	12.47873356	69.9531831	58.27316547	26.55362712	20.83354657	42.71523179	39.80120564	99.758	22.59885876	0.0	41.97311037	89.99972927	79.851	75.98567025	44.9418209	24.27967078	11.5451511	68.43901661	30.1474902	32.87264917	51.05374707	79.83628883	37.55265823	0.0	0.0	27.88461538	32.9299322	31.03445211	29.16657955	0.0	21.10528476	32.39785714	29.30539577	26.39988	19.00486425	34.86576628	17.41756757	24.74507653	23.56287931	29.3830963	30.93875414	27.36060533	29.04587552	24.21289104	11.11124528	41.55132687	32.28668161	25.21333333	30.74911628	15.26598113	0.0	27.81766187	0.0	19.44438889	0.0	29.33905785	30.57334395	36.17068085	23.03799147	30.56465116	38.23522059	73.795	29.95782278	22.74971522	57.45984444	28.99628253	0.0	22.11055276	30.8568	36.84246559	21.672	13.95755501	83.434	65.86807186	62.43533161	43.74971875	33.48851163	17.81613793	0.0	85.45422078	41.88057692	37.93089943	7.786772541	36.36351515	15.67297615	0.0	64.63120611	33.08503234	Pyrogenes
hs006	72.64116981	95.628	95.368	93.871	94.444	37.95582482	64.26138926	0.0	29.39311821	38.80632836	80.814	85.45488831	55.16	0.0	87.93736965	81.544	72.88122034	84.043	100.0	100.0	100.0	96.50793651	100.0	100.0	100.0	0.0	44.03341176	55.55518346	53.98182891	12.47873356	70.42220657	72.66182254	26.55362712	0.0	45.03274172	45.77146269	53.62342029	22.59885876	76.81963342	63.88004013	0.0	37.31320896	75.26924731	85.24040464	24.27967078	11.5451511	68.43901661	0.0	32.87264917	62.99780796	39.23679564	37.1306962	0.0	0.0	0.0	35.10938015	31.03445211	29.16657955	12.98432558	21.10528476	32.39785714	29.30557704	26.39988	19.23108597	34.48272414	17.41756757	0.0	23.56287931	0.0	29.55754144	27.60319855	28.21563485	0.0	13.62700839	41.55132687	31.83881166	25.21333333	30.74911628	29.67433276	0.0	26.37851799	0.0	21.29652778	0.0	29.7517686	30.89178344	36.17068085	10.75085324	27.57447508	38.72529412	73.494	29.1138481	42.22579051	57.30185397	36.80288476	0.0	22.44572864	30.8568	36.03230769	21.672	13.79320525	83.434	66.16785629	61.65832383	44.14109375	33.48851163	17.81613793	0.0	85.71428571	41.45291453	37.93089943	7.786772541	35.49806061	15.67297615	0.0	64.63149364	32.83557463	Canicola
185k	100.0	100.0	100.0	99.677	25.00018651	39.17235766	42.78489262	0.0	100.0	100.0	99.709	98.701	55.51603559	99.194	100.0	100.0	98.30463051	98.582	0.0	68.2694375	36.62005634	33.65044762	0.0	89.54689895	33.20712453	87.338	94.958	54.78008269	55.75249558	88.364	0.0	81.05551559	100.0	25.24529412	45.36456954	40.29884909	56.03878261	76.83642938	0.0	41.97311037	90.24362927	79.104	77.419	84.74299337	79.835	64.85570119	71.42891694	82.10752941	81.76767956	66.27596721	80.65424796	36.70917722	20.748	40.80491379	37.98088462	33.65640678	0.0	31.81775758	13.56608721	20.77037186	33.9290051	30.21172205	27.60028	17.87315385	37.16505747	17.41774174	25.51067857	53.448	65.92601481	84.53084254	28.81341404	27.38582988	24.93909927	14.25598742	40.4434349	26.45782063	27.7774359	25.83941085	42.19508062	0.0	27.33835731	26.92345055	0.0	0.0	28.92609917	0.0	36.52488298	31.39883447	26.91	38.2354902	32.83088554	30.80179747	42.22579051	0.0	54.6470855	0.0	22.11075377	30.8568	33.19806073	20.43341176	0.0	28.91539157	66.16785629	62.69415803	43.74971875	34.41816744	16.95378879	12.53727761	85.71396623	42.73459829	39.65560345	0.0	37.66192208	15.33202726	12.52080231	35.62305344	33.58207214	Javanica
611	72.64116981	95.628	95.368	93.871	94.444	37.95582482	64.26138926	0.0	29.39311821	38.80632836	80.814	85.45488831	55.16	0.0	87.93736965	81.544	72.88122034	84.043	100.0	100.0	100.0	96.50793651	100.0	100.0	100.0	0.0	44.03341176	55.55518346	53.98182891	12.47873356	70.42220657	72.66182254	26.55362712	0.0	45.03274172	45.77146269	53.62342029	22.59885876	76.81963342	63.88004013	0.0	37.31320896	75.26924731	85.24040464	24.27967078	11.5451511	68.43901661	0.0	32.87264917	62.99780796	39.23679564	37.1306962	0.0	0.0	0.0	35.10938015	31.03445211	29.16657955	12.98432558	21.10528476	32.39785714	29.30557704	26.39988	19.23108597	34.48272414	17.41756757	0.0	23.56287931	0.0	30.93875414	27.60319855	28.21563485	0.0	13.62700839	41.55132687	31.83881166	25.21333333	30.74911628	29.67433276	0.0	27.81766187	0.0	21.29652778	0.0	29.7517686	30.89178344	39.71591489	10.75085324	27.57447508	38.72529412	73.494	29.1138481	42.22579051	57.30185397	48.69888476	0.0	22.44572864	30.8568	36.03230769	21.672	13.79320525	83.434	66.16785629	61.65832383	44.14109375	33.48851163	17.81613793	0.0	85.71428571	41.45291453	37.93089943	11.27036885	35.49806061	15.67297615	0.0	64.63149364	32.83557463	Canicola
fiocruz_lv4118	72.64116981	95.628	95.368	92.258	0.0	39.41629197	63.92611074	0.0	29.71286901	38.80632836	81.105	87.01265455	55.872	0.0	87.93736965	82.215	72.20318644	84.043	0.0	72.83649038	99.296	96.50793651	99.82	98.606223	99.245	89.286	43.86578824	53.48885788	54.27759292	13.32226644	99.531	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0.0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0.0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0.0	44.82763218	37.01963942	35.10915254	31.03445211	29.16657955	0.0	21.10531658	32.39785714	29.30557704	26.39988	19.00486425	34.86576628	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	29.04587552	25.42365617	12.78839413	41.55132687	32.28668161	25.21333333	27.13203101	29.67433276	0.0	27.81766187	0.0	21.29652778	0.0	29.7517686	30.57334395	36.17068085	11.60394198	30.89704319	38.23522059	73.795	29.1138481	41.89813748	57.46007143	23.04856506	0.0	22.2779397	30.57094286	36.43755061	21.672	13.9575665	83.735	66.16785629	60.36297668	44.14109375	33.48851163	17.67260345	0.0	47.27286234	41.88057692	38.21851149	7.786772541	35.49806061	15.67297615	0.0	64.88525191	32.58705473	Icterohaemorrhagiae
fiocruz_lv4212	72.64116981	95.628	95.368	92.258	0.0	39.41629197	63.92611074	0.0	29.71286901	38.80632836	81.105	87.01265455	55.872	0.0	87.93736965	82.215	72.20318644	84.043	0.0	72.83649038	99.296	96.50793651	99.82	98.606223	99.245	89.286	43.86578824	53.48885788	54.27759292	13.32226644	99.531	99.76	80.79105085	22.54908333	46.35798675	45.77146269	58.45365459	80.79105085	0.0	63.54547157	32.68283171	37.31320896	76.344	84.90895522	0.0	11.71483871	68.77067774	82.10794118	81.49154696	69.08620141	38.96453951	37.55265823	0.0	44.82763218	37.01963942	35.10915254	31.03445211	29.16657955	0.0	21.10531658	32.39785714	29.30557704	26.39988	19.00486425	34.86576628	17.41756757	25.5104949	54.598	64.93838519	80.11001105	27.84496368	29.04587552	25.42365617	12.78839413	41.55132687	32.28668161	25.21333333	27.13203101	29.67433276	0.0	27.81766187	0.0	21.29652778	0.0	29.7517686	30.57334395	36.17068085	11.60394198	30.89704319	38.23522059	73.795	29.1138481	41.89813748	57.46007143	23.04856506	0.0	22.2779397	30.57094286	36.43755061	21.672	13.9575665	83.735	66.16785629	60.36297668	44.14109375	33.48851163	17.67260345	0.0	47.27286234	41.88057692	38.21851149	7.786772541	35.49806061	15.67297615	0.0	64.88525191	32.58705473	Icterohaemorrhagiae
