WP_000340713.1	lcl|NZ_RQGN01000071.1_cds_WP_100762083.1_647	93.023	86	106
WP_000412665.1	lcl|NZ_RQGN01000071.1_cds_WP_135671424.1_648	89.490	314	314
WP_000412665.1	lcl|NZ_RQGN01000013.1_cds_WP_135669626.1_460	25.915	328	314
WP_000412665.1	lcl|NZ_RQGN01000071.1_cds_WP_135671478.1_711	23.214	336	314
WP_000412665.1	lcl|NZ_RQGN01000071.1_cds_WP_135671436.1_661	22.727	286	314
WP_000412665.1	lcl|NZ_RQGN01000001.1_cds_WP_135669201.1_4074	21.765	170	314
WP_000361605.1	lcl|NZ_RQGN01000071.1_cds_WP_135671425.1_649	53.195	579	597
WP_000361605.1	lcl|NZ_RQGN01000012.1_cds_WP_167882949.1_948	42.424	264	597
WP_000361605.1	lcl|NZ_RQGN01000003.1_cds_WP_135669318.1_787	32.840	405	597
WP_000361605.1	lcl|NZ_RQGN01000013.1_cds_WP_135669691.1_547	31.591	421	597
WP_000361605.1	lcl|NZ_RQGN01000104.1_cds_WP_246846893.1_2192	33.953	215	597
WP_000361605.1	lcl|NZ_RQGN01000083.1_cds_WP_135671764.1_1204	28.326	233	597
WP_000361605.1	lcl|NZ_RQGN01000017.1_cds_WP_135669761.1_1580	26.772	254	597
WP_000361605.1	lcl|NZ_RQGN01000046.1_cds_WP_100737282.1_3921	27.404	208	597
WP_000361605.1	lcl|NZ_RQGN01000091.1_cds_WP_135672017.1_3896	31.507	219	597
WP_000361605.1	lcl|NZ_RQGN01000019.1_cds_WP_135669841.1_2928	31.873	251	597
WP_000361605.1	lcl|NZ_RQGN01000044.1_cds_WP_135670536.1_17	28.512	242	597
WP_000361605.1	lcl|NZ_RQGN01000088.1_cds_WP_135671946.1_2750	27.473	273	597
WP_000361605.1	lcl|NZ_RQGN01000012.1_cds_WP_135669580.1_882	30.126	239	597
WP_000361605.1	lcl|NZ_RQGN01000029.1_cds_WP_135670134.1_1716	30.622	209	597
WP_000361605.1	lcl|NZ_RQGN01000089.1_cds_WP_135671973.1_2959	28.070	228	597
WP_000361605.1	lcl|NZ_RQGN01000088.1_cds_WP_135671940.1_2741	26.068	234	597
WP_000361605.1	lcl|NZ_RQGN01000102.1_cds_WP_165783321.1_1926	27.778	216	597
WP_000361605.1	lcl|NZ_RQGN01000002.1_cds_WP_135669243.1_2111	30.131	229	597
WP_000361605.1	lcl|NZ_RQGN01000002.1_cds_WP_135669230.1_2092	26.496	234	597
WP_000361605.1	lcl|NZ_RQGN01000029.1_cds_WP_135670101.1_1676	28.723	188	597
WP_000361605.1	lcl|NZ_RQGN01000042.1_cds_WP_135670510.1_2364	27.014	211	597
WP_000361605.1	lcl|NZ_RQGN01000099.1_cds_WP_135672225.1_1344	29.557	203	597
WP_000361605.1	lcl|NZ_RQGN01000012.1_cds_WP_135669557.1_925	28.814	236	597
WP_000361605.1	lcl|NZ_RQGN01000035.1_cds_WP_135670273.1_3548	22.596	208	597
WP_000361605.1	lcl|NZ_RQGN01000092.1_cds_WP_135672029.1_2615	25.882	255	597
WP_000361605.1	lcl|NZ_RQGN01000092.1_cds_WP_135672029.1_2615	25.893	224	597
WP_000361605.1	lcl|NZ_RQGN01000108.1_cds_WP_135672662.1_1111	26.667	225	597
WP_000361605.1	lcl|NZ_RQGN01000029.1_cds_WP_135670095.1_1669	24.883	213	597
WP_000361605.1	lcl|NZ_RQGN01000083.1_cds_WP_135671763.1_1203	24.294	177	597
WP_000361605.1	lcl|NZ_RQGN01000101.1_cds_WP_135672377.1_1819	23.868	243	597
WP_000361605.1	lcl|NZ_RQGN01000091.1_cds_WP_135672016.1_3895	35.714	84	597
WP_000361605.1	lcl|NZ_RQGN01000003.1_cds_WP_135669310.1_776	25.641	234	597
WP_000361605.1	lcl|NZ_RQGN01000035.1_cds_WP_100761110.1_3531	23.671	207	597
WP_000361605.1	lcl|NZ_RQGN01000019.1_cds_WP_100760944.1_2915	28.000	225	597
WP_000361605.1	lcl|NZ_RQGN01000108.1_cds_WP_135672614.1_1053	36.486	74	597
WP_000361605.1	lcl|NZ_RQGN01000012.1_cds_WP_135669574.1_952	47.273	55	597
WP_000361605.1	lcl|NZ_RQGN01000012.1_cds_WP_135669574.1_952	23.118	186	597
WP_000361605.1	lcl|NZ_RQGN01000071.1_cds_WP_135671425.1_649	53.195	579	597
WP_000361605.1	lcl|NZ_RQGN01000012.1_cds_WP_167882949.1_948	42.424	264	597
WP_000361605.1	lcl|NZ_RQGN01000003.1_cds_WP_135669318.1_787	32.840	405	597
WP_000361605.1	lcl|NZ_RQGN01000013.1_cds_WP_135669691.1_547	31.591	421	597
WP_000361605.1	lcl|NZ_RQGN01000104.1_cds_WP_246846893.1_2192	33.953	215	597
WP_000361605.1	lcl|NZ_RQGN01000083.1_cds_WP_135671764.1_1204	28.326	233	597
WP_000361605.1	lcl|NZ_RQGN01000017.1_cds_WP_135669761.1_1580	26.772	254	597
WP_000361605.1	lcl|NZ_RQGN01000046.1_cds_WP_100737282.1_3921	27.404	208	597
WP_000361605.1	lcl|NZ_RQGN01000091.1_cds_WP_135672017.1_3896	31.507	219	597
