WP_000340713.1	lcl|NZ_AHPU01000126.1_cds_WP_000340715.1_2236	95.349	86	106
WP_000412665.1	lcl|NZ_AHPU01000126.1_cds_WP_000712240.1_2235	94.551	312	314
WP_000412665.1	lcl|NZ_AHPU01000149.1_cds_WP_000744700.1_1531	24.925	333	314
WP_000412665.1	lcl|NZ_AHPU01000126.1_cds_WP_000646251.1_2232	26.394	269	314
WP_000412665.1	lcl|NZ_AHPU01000049.1_cds_WP_000723084.1_3194	23.024	291	314
WP_000412665.1	lcl|NZ_AHPU01000126.1_cds_WP_000600886.1_2204	26.425	193	314
WP_000361605.1	lcl|NZ_AHPU01000092.1_cds_WP_000172199.1_2350	35.200	375	597
WP_000361605.1	lcl|NZ_AHPU01000148.1_cds_WP_000667645.1_1540	33.083	399	597
WP_000361605.1	lcl|NZ_AHPU01000130.1_cds_WP_000828451.1_2036	31.591	421	597
WP_000361605.1	lcl|NZ_AHPU01000126.1_cds_WP_000797355.1_2206	30.688	378	597
WP_000361605.1	lcl|NZ_AHPU01000202.1_cds_WP_000510774.1_649	28.372	215	597
WP_000361605.1	lcl|NZ_AHPU01000041.1_cds_WP_001161019.1_3483	31.579	209	597
WP_000361605.1	lcl|NZ_AHPU01000054.1_cds_WP_001052492.1_3063	25.301	249	597
WP_000361605.1	lcl|NZ_AHPU01000147.1_cds_WP_000619178.1_1564	29.555	247	597
WP_000361605.1	lcl|NZ_AHPU01000092.1_cds_WP_000942282.1_2364	30.568	229	597
WP_000361605.1	lcl|NZ_AHPU01000004.1_cds_WP_000433115.1_3795	28.947	228	597
WP_000361605.1	lcl|NZ_AHPU01000068.1_cds_WP_001141161.1_2704	31.532	222	597
WP_000361605.1	lcl|NZ_AHPU01000005.1_cds_WP_001982953.1_3708	24.779	226	597
WP_000361605.1	lcl|NZ_AHPU01000147.1_cds_WP_000218838.1_1563	28.980	245	597
WP_000361605.1	lcl|NZ_AHPU01000004.1_cds_WP_000666552.1_3743	27.778	234	597
WP_000361605.1	lcl|NZ_AHPU01000004.1_cds_WP_001089501.1_3763	30.876	217	597
WP_000361605.1	lcl|NZ_AHPU01000137.1_cds_WP_000184524.1_1824	27.979	193	597
WP_000361605.1	lcl|NZ_AHPU01000141.1_cds_WP_000047473.1_1738	26.977	215	597
WP_000361605.1	lcl|NZ_AHPU01000166.1_cds_WP_000052667.1_1222	26.201	229	597
WP_000361605.1	lcl|NZ_AHPU01000150.1_cds_WP_000651459.1_1477	26.984	252	597
WP_000361605.1	lcl|NZ_AHPU01000297.1_cds_WP_000603361.1_27	25.000	228	597
WP_000361605.1	lcl|NZ_AHPU01000064.1_cds_WP_000590871.1_2769	24.651	215	597
