WP_000340713.1	lcl|NZ_JQRW01000164.1_cds_WP_002725873.1_3331	90.698	86	106
WP_000412665.1	lcl|NZ_JQRW01000164.1_cds_WP_002733579.1_3332	91.083	314	314
WP_000412665.1	lcl|NZ_JQRW01000008.1_cds_WP_002722638.1_281	24.615	325	314
WP_000412665.1	lcl|NZ_JQRW01000080.1_cds_WP_002727919.1_2414	23.891	293	314
WP_000412665.1	lcl|NZ_JQRW01000102.1_cds_WP_061298650.1_2704	20.714	280	314
WP_000412665.1	lcl|NZ_JQRW01000024.1_cds_WP_002729504.1_719	22.941	170	314
WP_000412665.1	lcl|NZ_JQRW01000199.1_cds_WP_002728309.1_3410	23.151	311	314
WP_000652101.1	lcl|NZ_JQRW01000006.1_cds_JG05_RS21100_237	44.086	279	427
WP_000652101.1	lcl|NZ_JQRW01000006.1_cds_JG05_RS21100_237	53.333	90	427
WP_000652101.1	lcl|NZ_JQRW01000006.1_cds_JG05_RS21100_237	66.667	30	427
WP_000652101.1	lcl|NZ_JQRW01000006.1_cds_JG05_RS21100_237	51.429	105	427
WP_000361605.1	lcl|NZ_JQRW01000006.1_cds_WP_061298113.1_238	82.203	590	597
WP_000361605.1	lcl|NZ_JQRW01000112.1_cds_WP_002735243.1_2911	35.946	370	597
WP_000361605.1	lcl|NZ_JQRW01000096.1_cds_WP_002723347.1_2605	31.436	404	597
WP_000361605.1	lcl|NZ_JQRW01000018.1_cds_WP_002741286.1_468	32.542	421	597
WP_000361605.1	lcl|NZ_JQRW01000120.1_cds_WP_002739451.1_2994	27.830	212	597
WP_000361605.1	lcl|NZ_JQRW01000042.1_cds_WP_002726143.1_1250	31.081	222	597
WP_000361605.1	lcl|NZ_JQRW01000035.1_cds_WP_061209299.1_919	26.407	231	597
WP_000361605.1	lcl|NZ_JQRW01000156.1_cds_WP_016757988.1_3278	30.303	231	597
WP_000361605.1	lcl|NZ_JQRW01000015.1_cds_WP_002732862.1_436	30.319	188	597
WP_000361605.1	lcl|NZ_JQRW01000021.1_cds_WP_002721914.1_606	27.935	247	597
WP_000361605.1	lcl|NZ_JQRW01000004.1_cds_WP_016757782.1_188	28.879	232	597
WP_000361605.1	lcl|NZ_JQRW01000021.1_cds_WP_002721827.1_573	29.302	215	597
WP_000361605.1	lcl|NZ_JQRW01000021.1_cds_WP_002729296.1_554	28.704	216	597
WP_000361605.1	lcl|NZ_JQRW01000062.1_cds_WP_002728388.1_1891	27.778	216	597
WP_000361605.1	lcl|NZ_JQRW01000050.1_cds_WP_002725984.1_1545	24.779	226	597
WP_000361605.1	lcl|NZ_JQRW01000035.1_cds_WP_002729758.1_928	32.273	220	597
WP_000361605.1	lcl|NZ_JQRW01000088.1_cds_WP_002733837.1_2522	28.235	255	597
WP_000361605.1	lcl|NZ_JQRW01000088.1_cds_WP_002733837.1_2522	26.230	183	597
WP_000361605.1	lcl|NZ_JQRW01000004.1_cds_WP_002730493.1_200	25.581	215	597
WP_000361605.1	lcl|NZ_JQRW01000004.1_cds_WP_002724311.1_187	25.911	247	597
WP_000361605.1	lcl|NZ_JQRW01000064.1_cds_WP_032851236.1_2028	26.293	232	597
WP_000361605.1	lcl|NZ_JQRW01000064.1_cds_WP_032851236.1_2028	27.389	157	597
WP_000361605.1	lcl|NZ_JQRW01000035.1_cds_WP_002729133.1_912	27.234	235	597
WP_000361605.1	lcl|NZ_JQRW01000109.1_cds_WP_002733736.1_2832	26.587	252	597
WP_000361605.1	lcl|NZ_JQRW01000036.1_cds_WP_061298269.1_1012	25.714	210	597
WP_000361605.1	lcl|NZ_JQRW01000004.1_cds_WP_002724740.1_167	26.364	220	597
WP_000361605.1	lcl|NZ_JQRW01000007.1_cds_WP_061298126.1_260	25.641	234	597
