WP_000340713.1	lcl|NZ_ANMZ01000011.1_cds_WP_000340715.1_188	95.349	86	106
WP_000412665.1	lcl|NZ_ANMZ01000011.1_cds_WP_000410266.1_189	94.872	312	314
WP_000412665.1	lcl|NZ_ANMZ01000078.1_cds_WP_000744698.1_1602	24.925	333	314
WP_000412665.1	lcl|NZ_ANMZ01000011.1_cds_WP_000646254.1_192	26.394	269	314
WP_000412665.1	lcl|NZ_ANMZ01000058.1_cds_WP_000723091.1_1085	23.024	291	314
WP_000361605.1	lcl|NZ_ANMZ01000046.1_cds_WP_002072224.1_849	52.365	592	597
WP_000361605.1	lcl|NZ_ANMZ01000087.1_cds_WP_002192580.1_1778	35.450	378	597
WP_000361605.1	lcl|NZ_ANMZ01000065.1_cds_WP_000667646.1_1266	32.832	399	597
WP_000361605.1	lcl|NZ_ANMZ01000021.1_cds_WP_000828456.1_402	31.591	421	597
WP_000361605.1	lcl|NZ_ANMZ01000081.1_cds_WP_000510770.1_1697	28.372	215	597
WP_000361605.1	lcl|NZ_ANMZ01000148.1_cds_WP_000619182.1_2954	29.960	247	597
WP_000361605.1	lcl|NZ_ANMZ01000042.1_cds_WP_001161019.1_755	31.579	209	597
WP_000361605.1	lcl|NZ_ANMZ01000007.1_cds_WP_001052496.1_118	25.703	249	597
WP_000361605.1	lcl|NZ_ANMZ01000087.1_cds_WP_002071818.1_1764	30.131	229	597
WP_000361605.1	lcl|NZ_ANMZ01000103.1_cds_WP_000433117.1_2095	28.947	228	597
WP_000361605.1	lcl|NZ_ANMZ01000099.1_cds_WP_001982953.1_1954	24.779	226	597
WP_000361605.1	lcl|NZ_ANMZ01000109.1_cds_WP_001141162.1_2260	31.364	220	597
WP_000361605.1	lcl|NZ_ANMZ01000151.1_cds_WP_000666552.1_3040	27.778	234	597
WP_000361605.1	lcl|NZ_ANMZ01000148.1_cds_WP_000218832.1_2953	28.980	245	597
WP_000361605.1	lcl|NZ_ANMZ01000151.1_cds_WP_001089503.1_3020	29.091	220	597
WP_000361605.1	lcl|NZ_ANMZ01000031.1_cds_WP_000184524.1_534	27.979	193	597
WP_000361605.1	lcl|NZ_ANMZ01000033.1_cds_WP_000047473.1_608	26.977	215	597
