WP_000340713.1	lcl|NZ_AKWT02000035.1_cds_WP_004462903.1_1826	94.186	86	106
WP_000412665.1	lcl|NZ_AKWT02000035.1_cds_WP_004477867.1_1827	92.357	314	314
WP_000412665.1	lcl|NZ_AKWT02000032.1_cds_WP_004476620.1_2107	25.460	326	314
WP_000412665.1	lcl|NZ_AKWT02000035.1_cds_WP_004462127.1_1842	21.661	277	314
WP_000412665.1	lcl|NZ_AKWT02000035.1_cds_WP_004491542.1_1902	23.549	293	314
WP_000412665.1	lcl|NZ_AKWT02000051.1_cds_WP_004472946.1_1379	24.699	332	314
WP_000412665.1	lcl|NZ_AKWT02000040.1_cds_WP_004468319.1_1717	22.353	170	314
WP_225740483.1	lcl|NZ_AKWT02000035.1_cds_WP_230458073.1_1828	85.526	152	219
WP_225740483.1	lcl|NZ_AKWT02000035.1_cds_WP_230458073.1_1828	90.909	22	219
WP_000652101.1	lcl|NZ_AKWT02000035.1_cds_WP_032923325.1_1829	97.892	427	427
WP_000361605.1	lcl|NZ_AKWT02000035.1_cds_WP_004491563.1_1830	94.237	590	597
WP_000361605.1	lcl|NZ_AKWT02000026.1_cds_WP_004457781.1_2579	35.389	373	597
WP_000361605.1	lcl|NZ_AKWT02000051.1_cds_WP_017863782.1_1311	32.346	405	597
WP_000361605.1	lcl|NZ_AKWT02000032.1_cds_WP_004459265.1_2266	32.304	421	597
WP_000361605.1	lcl|NZ_AKWT02000048.1_cds_WP_004461439.1_1579	28.326	233	597
WP_000361605.1	lcl|NZ_AKWT02000055.1_cds_WP_004464005.1_990	32.057	209	597
WP_000361605.1	lcl|NZ_AKWT02000032.1_cds_WP_004491379.1_2238	25.862	232	597
WP_000361605.1	lcl|NZ_AKWT02000018.1_cds_WP_004491087.1_2991	30.233	215	597
WP_000361605.1	lcl|NZ_AKWT02000051.1_cds_WP_004469508.1_1487	31.963	219	597
WP_000361605.1	lcl|NZ_AKWT02000038.1_cds_WP_004466497.1_1787	26.786	224	597
WP_000361605.1	lcl|NZ_AKWT02000018.1_cds_WP_004460086.1_2957	28.340	247	597
WP_000361605.1	lcl|NZ_AKWT02000055.1_cds_WP_004464119.1_904	30.319	188	597
WP_000361605.1	lcl|NZ_AKWT02000003.1_cds_WP_004480113.1_3657	29.258	229	597
WP_000361605.1	lcl|NZ_AKWT02000018.1_cds_WP_004473583.1_3010	27.778	216	597
WP_000361605.1	lcl|NZ_AKWT02000052.1_cds_WP_004460645.1_1094	27.315	216	597
WP_000361605.1	lcl|NZ_AKWT02000048.1_cds_WP_004462026.1_1535	24.336	226	597
WP_000361605.1	lcl|NZ_AKWT02000033.1_cds_WP_004461802.1_2040	23.438	256	597
