WP_000340713.1	lcl|NZ_AHNJ02000016.1_cds_WP_000340715.1_3317	95.349	86	106
WP_000412665.1	lcl|NZ_AHNJ02000016.1_cds_WP_000410273.1_3316	95.192	312	314
WP_000412665.1	lcl|NZ_AHNJ02000009.1_cds_WP_000744700.1_3617	24.925	333	314
WP_000412665.1	lcl|NZ_AHNJ02000016.1_cds_WP_000646251.1_3313	26.394	269	314
WP_000412665.1	lcl|NZ_AHNJ02000016.1_cds_WP_000723086.1_3246	22.680	291	314
WP_000361605.1	lcl|NZ_AHNJ02000016.1_cds_WP_002106376.1_3294	52.196	592	597
WP_000361605.1	lcl|NZ_AHNJ02000024.1_cds_WP_042710234.1_3025	35.714	378	597
WP_000361605.1	lcl|NZ_AHNJ02000022.1_cds_WP_000667646.1_3088	32.832	399	597
WP_000361605.1	lcl|NZ_AHNJ02000009.1_cds_WP_000828456.1_3707	31.591	421	597
WP_000361605.1	lcl|NZ_AHNJ02000042.1_cds_WP_000510777.1_1955	28.372	215	597
WP_000361605.1	lcl|NZ_AHNJ02000042.1_cds_WP_001161019.1_1855	31.579	209	597
WP_000361605.1	lcl|NZ_AHNJ02000005.1_cds_WP_001052495.1_3895	25.301	249	597
WP_000361605.1	lcl|NZ_AHNJ02000005.1_cds_WP_000619177.1_3849	29.555	247	597
WP_000361605.1	lcl|NZ_AHNJ02000024.1_cds_WP_000942282.1_3011	30.568	229	597
WP_000361605.1	lcl|NZ_AHNJ02000062.1_cds_WP_000433117.1_758	28.947	228	597
WP_000361605.1	lcl|NZ_AHNJ02000005.1_cds_WP_000218830.1_3848	29.388	245	597
WP_000361605.1	lcl|NZ_AHNJ02000057.1_cds_WP_001982953.1_1293	24.779	226	597
WP_000361605.1	lcl|NZ_AHNJ02000073.1_cds_WP_001141162.1_247	31.364	220	597
WP_000361605.1	lcl|NZ_AHNJ02000062.1_cds_WP_000666552.1_811	27.778	234	597
WP_000361605.1	lcl|NZ_AHNJ02000062.1_cds_WP_001089499.1_790	29.091	220	597
WP_000361605.1	lcl|NZ_AHNJ02000034.1_cds_WP_000184524.1_2385	27.979	193	597
WP_000361605.1	lcl|NZ_AHNJ02000076.1_cds_WP_000047473.1_104	26.977	215	597
WP_000361605.1	lcl|NZ_AHNJ02000009.1_cds_WP_000052667.1_3808	26.201	229	597
WP_000361605.1	lcl|NZ_AHNJ02000016.1_cds_WP_000651459.1_3203	26.984	252	597
WP_000361605.1	lcl|NZ_AHNJ02000042.1_cds_WP_000603361.1_1737	25.000	228	597
WP_000361605.1	lcl|NZ_AHNJ02000015.1_cds_WP_000590871.1_3436	24.651	215	597
