WP_000340713.1	lcl|NZ_AHQK01000326.1_cds_WP_004462903.1_1338	94.186	86	106
WP_000412665.1	lcl|NZ_AHQK01000326.1_cds_WP_004472299.1_1337	92.581	310	314
WP_000412665.1	lcl|NZ_AHQK01000146.1_cds_WP_004461583.1_2969	25.460	326	314
WP_000412665.1	lcl|NZ_AHQK01000326.1_cds_WP_004470124.1_1334	26.394	269	314
WP_000412665.1	lcl|NZ_AHQK01000467.1_cds_WP_004465060.1_436	23.549	293	314
WP_000412665.1	lcl|NZ_AHQK01000298.1_cds_WP_004472946.1_1801	24.699	332	314
WP_000412665.1	lcl|NZ_AHQK01000093.1_cds_WP_004472347.1_3252	27.564	156	314
WP_225740483.1	lcl|NZ_AHQK01000497.1_cds_WP_004472382.1_62	26.267	217	219
WP_000361605.1	lcl|NZ_AHQK01000333.1_cds_WP_016755137.1_1300	35.657	373	597
WP_000361605.1	lcl|NZ_AHQK01000215.1_cds_WP_004467560.1_2065	32.750	400	597
WP_000361605.1	lcl|NZ_AHQK01000021.1_cds_WP_004459265.1_3872	32.304	421	597
WP_000361605.1	lcl|NZ_AHQK01000093.1_cds_WP_016754021.1_3256	25.912	521	597
WP_000361605.1	lcl|NZ_AHQK01000305.1_cds_WP_004461439.1_1679	28.326	233	597
WP_000361605.1	lcl|NZ_AHQK01000313.1_cds_WP_004464005.1_1569	32.057	209	597
WP_000361605.1	lcl|NZ_AHQK01000385.1_cds_WP_004476400.1_838	26.222	225	597
WP_000361605.1	lcl|NZ_AHQK01000165.1_cds_WP_004460145.1_2614	30.233	215	597
WP_000361605.1	lcl|NZ_AHQK01000025.1_cds_WP_026053168.1_3825	25.431	232	597
WP_000361605.1	lcl|NZ_AHQK01000031.1_cds_WP_004460086.1_3707	28.340	247	597
WP_000361605.1	lcl|NZ_AHQK01000022.1_cds_WP_016753682.1_3848	30.319	188	597
WP_000361605.1	lcl|NZ_AHQK01000240.1_cds_WP_016754786.1_1945	31.507	219	597
WP_000361605.1	lcl|NZ_AHQK01000143.1_cds_WP_004480113.1_3138	29.258	229	597
