WP_000340713.1	lcl|NZ_JAMQQA010000002.1_cds_WP_135633099.1_3576	64.103	78	106
WP_000412665.1	lcl|NZ_JAMQQA010000002.1_cds_WP_135633097.1_3575	79.677	310	314
WP_000412665.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392300.1_3572	24.370	238	314
WP_000412665.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390701.1_999	23.795	332	314
WP_000412665.1	lcl|NZ_JAMQQA010000001.1_cds_WP_135634215.1_1026	26.498	317	314
WP_000412665.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392244.1_3514	26.667	180	314
WP_000412665.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392272.1_3542	24.017	229	314
WP_000412665.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265391932.1_2954	22.941	170	314
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392301.1_3573	49.217	575	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265391380.1_2102	43.265	245	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_135634674.1_1300	40.083	242	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265391087.1_1610	35.897	273	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390848.1_1236	38.912	239	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265391088.1_1612	30.084	359	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390067.1_13	27.252	433	597
WP_000361605.1	lcl|NZ_JAMQQA010000003.1_cds_WP_265392483.1_3845	28.378	222	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265391919.1_2926	30.667	225	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390311.1_426	27.230	213	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265391072.1_1586	33.182	220	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390574.1_798	31.280	211	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265391023.1_1522	29.646	226	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_135631661.1_507	26.316	228	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_135631402.1_333	31.132	212	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_135631806.1_2895	28.750	240	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392224.1_3446	27.083	240	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392185.1_3379	27.948	229	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_135636197.1_1755	28.000	200	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_135632378.1_2810	28.829	222	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_265392405.1_2837	26.339	224	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390135.1_157	28.636	220	597
WP_000361605.1	lcl|NZ_JAMQQA010000002.1_cds_WP_135632139.1_3420	26.147	218	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390261.1_341	27.103	214	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390362.1_508	27.329	161	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390362.1_508	25.592	211	597
WP_000361605.1	lcl|NZ_JAMQQA010000001.1_cds_WP_265390980.1_1453	28.634	227	597
