WP_000340713.1	lcl|NZ_LLJK01000020.1_cds_WP_004753574.1_1951	98.837	86	106
WP_000412665.1	lcl|NZ_LLJK01000020.1_cds_WP_016751141.1_1952	96.474	312	314
WP_000412665.1	lcl|NZ_LLJK01000009.1_cds_WP_004753565.1_682	24.925	333	314
WP_000412665.1	lcl|NZ_LLJK01000020.1_cds_WP_004755430.1_1955	25.157	318	314
WP_000412665.1	lcl|NZ_LLJK01000015.1_cds_WP_016750836.1_1051	23.208	293	314
WP_000361605.1	lcl|NZ_LLJK01000021.1_cds_WP_025179090.1_1984	52.792	591	597
WP_000361605.1	lcl|NZ_LLJK01000006.1_cds_WP_004754744.1_576	35.185	378	597
WP_000361605.1	lcl|NZ_LLJK01000017.1_cds_WP_004752998.1_1311	32.178	404	597
WP_000361605.1	lcl|NZ_LLJK01000009.1_cds_WP_004755367.1_768	31.591	421	597
WP_000361605.1	lcl|NZ_LLJK01000001.1_cds_WP_004750725.1_139	27.907	215	597
WP_000361605.1	lcl|NZ_LLJK01000015.1_cds_WP_057162258.1_1139	29.600	250	597
WP_000361605.1	lcl|NZ_LLJK01000001.1_cds_WP_004759288.1_47	32.057	209	597
WP_000361605.1	lcl|NZ_LLJK01000031.1_cds_WP_004754327.1_2741	30.736	231	597
WP_000361605.1	lcl|NZ_LLJK01000015.1_cds_WP_004754759.1_1102	25.207	242	597
WP_000361605.1	lcl|NZ_LLJK01000041.1_cds_WP_004752581.1_3384	29.386	228	597
WP_000361605.1	lcl|NZ_LLJK01000015.1_cds_WP_004751619.1_1140	27.530	247	597
WP_000361605.1	lcl|NZ_LLJK01000019.1_cds_WP_004753899.1_1740	30.052	193	597
WP_000361605.1	lcl|NZ_LLJK01000040.1_cds_WP_004752322.1_3199	29.091	220	597
WP_000361605.1	lcl|NZ_LLJK01000040.1_cds_WP_004752570.1_3179	27.778	234	597
WP_000361605.1	lcl|NZ_LLJK01000017.1_cds_WP_004755898.1_1575	24.413	213	597
WP_000361605.1	lcl|NZ_LLJK01000017.1_cds_WP_004753339.1_1401	30.909	220	597
WP_000361605.1	lcl|NZ_LLJK01000020.1_cds_WP_004753839.1_1854	23.276	232	597
WP_000361605.1	lcl|NZ_LLJK01000023.1_cds_WP_016749953.1_2115	26.512	215	597
WP_000361605.1	lcl|NZ_LLJK01000043.1_cds_WP_004761397.1_3471	27.542	236	597
WP_000361605.1	lcl|NZ_LLJK01000029.1_cds_WP_004754310.1_2633	25.764	229	597
WP_000361605.1	lcl|NZ_LLJK01000025.1_cds_WP_004753756.1_2250	24.506	253	597
WP_000361605.1	lcl|NZ_LLJK01000019.1_cds_WP_004755856.1_1666	23.457	243	597
WP_000361605.1	lcl|NZ_LLJK01000028.1_cds_WP_004752046.1_2382	26.908	249	597
WP_000361605.1	lcl|NZ_LLJK01000028.1_cds_WP_004752046.1_2382	25.764	229	597
